sample,universe,target,horizon,outcome,metric,n,spearman
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,20,top,FH_B_NET_BREADTH,291,-0.1606502835094179
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,20,top,FH_C_CONTINUOUS,291,-0.17783042527599358
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,20,spread,FH_A_HEALTHY_BREADTH,291,0.017209289057975096
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,20,spread,FH_B_NET_BREADTH,291,0.05803377332386719
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,20,spread,FH_C_CONTINUOUS,291,0.025760047528841146
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,5,top,FH_A_HEALTHY_BREADTH,291,0.0007325913191390776
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,5,top,FH_B_NET_BREADTH,291,0.04040522234428383
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,5,top,FH_C_CONTINUOUS,291,0.020576189803700042
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,5,spread,FH_A_HEALTHY_BREADTH,291,0.013231871923574438
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,5,spread,FH_B_NET_BREADTH,291,0.040294030843733536
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,5,spread,FH_C_CONTINUOUS,291,0.03799823714749037
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,20,top,FH_A_HEALTHY_BREADTH,291,-0.05047911807028342
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,20,top,FH_B_NET_BREADTH,291,-0.07604967950932479
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,20,top,FH_C_CONTINUOUS,291,-0.08794101748730211
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,20,spread,FH_A_HEALTHY_BREADTH,291,0.012739095135323673
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,20,spread,FH_B_NET_BREADTH,291,0.026932603096925953
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,20,spread,FH_C_CONTINUOUS,291,0.07590638376617369
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,5,top,FH_A_HEALTHY_BREADTH,291,0.09665266573700587
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,5,top,FH_B_NET_BREADTH,291,0.05995885970726385
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,5,top,FH_C_CONTINUOUS,291,0.001805706382792222
