sample,spec,split_rule,universe,forward_horizon,contrast,value,min_state_n
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,5,A_MINUS_D,0.005273899676710512,15
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,5,C_MINUS_B,0.011891035714429824,15
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,5,LIQ_EFFECT_WHEN_FACTOR_HIGH_A_MINUS_B,-0.0016011992201625564,15
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,5,LIQ_EFFECT_WHEN_FACTOR_LOW_C_MINUS_D,0.01876613461130289,15
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,5,FACTOR_EFFECT_WHEN_LIQ_HIGH_A_MINUS_C,-0.01349223493459238,15
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,5,FACTOR_EFFECT_WHEN_LIQ_LOW_B_MINUS_D,0.006875098896873068,15
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,5,INTERACTION_DID,-0.020367333831465446,15
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,20,A_MINUS_D,-0.006675578397730151,15
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,20,C_MINUS_B,0.016120131010211695,15
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,20,LIQ_EFFECT_WHEN_FACTOR_HIGH_A_MINUS_B,-0.008082583058524427,15
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,20,LIQ_EFFECT_WHEN_FACTOR_LOW_C_MINUS_D,0.017527135671005972,15
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,20,FACTOR_EFFECT_WHEN_LIQ_HIGH_A_MINUS_C,-0.024202714068736125,15
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,20,FACTOR_EFFECT_WHEN_LIQ_LOW_B_MINUS_D,0.0014070046607942777,15
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,20,INTERACTION_DID,-0.025609718729530398,15
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,1,A_MINUS_D,-0.0022071849563528993,18
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,1,C_MINUS_B,-0.002675761830541477,18
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,1,LIQ_EFFECT_WHEN_FACTOR_HIGH_A_MINUS_B,0.0012579180112002883,18
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,1,LIQ_EFFECT_WHEN_FACTOR_LOW_C_MINUS_D,-0.006140864798094664,18
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,1,FACTOR_EFFECT_WHEN_LIQ_HIGH_A_MINUS_C,0.0039336798417417655,18
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,1,FACTOR_EFFECT_WHEN_LIQ_LOW_B_MINUS_D,-0.0034651029675531876,18
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,1,INTERACTION_DID,0.007398782809294953,18
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,5,A_MINUS_D,0.014913197418242114,18
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,5,C_MINUS_B,0.018762459213428118,18
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,5,LIQ_EFFECT_WHEN_FACTOR_HIGH_A_MINUS_B,0.033843333586388205,18
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,5,LIQ_EFFECT_WHEN_FACTOR_LOW_C_MINUS_D,-0.0001676769547179751,18
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,5,FACTOR_EFFECT_WHEN_LIQ_HIGH_A_MINUS_C,0.01508087437296009,18
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,5,FACTOR_EFFECT_WHEN_LIQ_LOW_B_MINUS_D,-0.018930136168146094,18
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,5,INTERACTION_DID,0.03401101054110618,18
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,20,A_MINUS_D,0.023901119168601777,18
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,20,C_MINUS_B,0.05697626221651887,18
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,20,LIQ_EFFECT_WHEN_FACTOR_HIGH_A_MINUS_B,0.06594307653496292,18
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,20,LIQ_EFFECT_WHEN_FACTOR_LOW_C_MINUS_D,0.014934304850157717,18
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,20,FACTOR_EFFECT_WHEN_LIQ_HIGH_A_MINUS_C,0.00896681431844406,18
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,20,FACTOR_EFFECT_WHEN_LIQ_LOW_B_MINUS_D,-0.042041957366361155,18
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,20,INTERACTION_DID,0.05100877168480521,18
OOS,MAIN_F20_L5_20,MEDIAN,K200,1,A_MINUS_D,9.267876985810967e-05,20
OOS,MAIN_F20_L5_20,MEDIAN,K200,1,C_MINUS_B,-0.003848326010834683,20
OOS,MAIN_F20_L5_20,MEDIAN,K200,1,LIQ_EFFECT_WHEN_FACTOR_HIGH_A_MINUS_B,0.0019181226368074245,20
OOS,MAIN_F20_L5_20,MEDIAN,K200,1,LIQ_EFFECT_WHEN_FACTOR_LOW_C_MINUS_D,-0.005673769877783998,20
OOS,MAIN_F20_L5_20,MEDIAN,K200,1,FACTOR_EFFECT_WHEN_LIQ_HIGH_A_MINUS_C,0.005766448647642107,20
OOS,MAIN_F20_L5_20,MEDIAN,K200,1,FACTOR_EFFECT_WHEN_LIQ_LOW_B_MINUS_D,-0.0018254438669493148,20
OOS,MAIN_F20_L5_20,MEDIAN,K200,1,INTERACTION_DID,0.007591892514591423,20
OOS,MAIN_F20_L5_20,MEDIAN,K200,5,A_MINUS_D,0.014930409947123384,20
OOS,MAIN_F20_L5_20,MEDIAN,K200,5,C_MINUS_B,-0.0010722474854013442,20
OOS,MAIN_F20_L5_20,MEDIAN,K200,5,LIQ_EFFECT_WHEN_FACTOR_HIGH_A_MINUS_B,0.013706812161598877,20
OOS,MAIN_F20_L5_20,MEDIAN,K200,5,LIQ_EFFECT_WHEN_FACTOR_LOW_C_MINUS_D,0.0001513503001231623,20
OOS,MAIN_F20_L5_20,MEDIAN,K200,5,FACTOR_EFFECT_WHEN_LIQ_HIGH_A_MINUS_C,0.014779059647000221,20
OOS,MAIN_F20_L5_20,MEDIAN,K200,5,FACTOR_EFFECT_WHEN_LIQ_LOW_B_MINUS_D,0.0012235977855245064,20
OOS,MAIN_F20_L5_20,MEDIAN,K200,5,INTERACTION_DID,0.013555461861475715,20
OOS,MAIN_F20_L5_20,MEDIAN,K200,20,A_MINUS_D,0.030481726147417027,20
OOS,MAIN_F20_L5_20,MEDIAN,K200,20,C_MINUS_B,-0.00638872747331884,20
OOS,MAIN_F20_L5_20,MEDIAN,K200,20,LIQ_EFFECT_WHEN_FACTOR_HIGH_A_MINUS_B,0.03795525857384252,20
OOS,MAIN_F20_L5_20,MEDIAN,K200,20,LIQ_EFFECT_WHEN_FACTOR_LOW_C_MINUS_D,-0.013862259899744336,20
OOS,MAIN_F20_L5_20,MEDIAN,K200,20,FACTOR_EFFECT_WHEN_LIQ_HIGH_A_MINUS_C,0.04434398604716136,20
OOS,MAIN_F20_L5_20,MEDIAN,K200,20,FACTOR_EFFECT_WHEN_LIQ_LOW_B_MINUS_D,-0.007473532426425495,20
OOS,MAIN_F20_L5_20,MEDIAN,K200,20,INTERACTION_DID,0.05181751847358686,20
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ,1,A_MINUS_D,-0.007371321067753174,22
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ,1,C_MINUS_B,-0.0013459975788879287,22
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ,1,LIQ_EFFECT_WHEN_FACTOR_HIGH_A_MINUS_B,-0.001327835754539077,22
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ,1,LIQ_EFFECT_WHEN_FACTOR_LOW_C_MINUS_D,-0.007389482892102025,22
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ,1,FACTOR_EFFECT_WHEN_LIQ_HIGH_A_MINUS_C,1.8161824348851812e-05,22
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ,1,FACTOR_EFFECT_WHEN_LIQ_LOW_B_MINUS_D,-0.0060434853132140965,22
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ,1,INTERACTION_DID,0.006061647137562949,22
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ,5,A_MINUS_D,-0.00023179287653801034,22
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ,5,C_MINUS_B,0.008492686378597424,22
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ,5,LIQ_EFFECT_WHEN_FACTOR_HIGH_A_MINUS_B,0.015056687584700475,22
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ,5,LIQ_EFFECT_WHEN_FACTOR_LOW_C_MINUS_D,-0.0067957940826410615,22
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ,5,FACTOR_EFFECT_WHEN_LIQ_HIGH_A_MINUS_C,0.006564001206103051,22
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ,5,FACTOR_EFFECT_WHEN_LIQ_LOW_B_MINUS_D,-0.015288480461238485,22
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ,5,INTERACTION_DID,0.021852481667341536,22
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ,20,A_MINUS_D,-0.004269842909201037,22
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ,20,C_MINUS_B,0.027429311961096166,22
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ,20,LIQ_EFFECT_WHEN_FACTOR_HIGH_A_MINUS_B,0.017980470917073808,22
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ,20,LIQ_EFFECT_WHEN_FACTOR_LOW_C_MINUS_D,0.005178998134821323,22
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ,20,FACTOR_EFFECT_WHEN_LIQ_HIGH_A_MINUS_C,-0.00944884104402236,22
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ,20,FACTOR_EFFECT_WHEN_LIQ_LOW_B_MINUS_D,-0.022250313826274844,22
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ,20,INTERACTION_DID,0.012801472782252485,22
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ_PLUS_KOSPI_EX_K200,1,A_MINUS_D,-0.00528638657048521,24
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ_PLUS_KOSPI_EX_K200,1,C_MINUS_B,0.0017828637333218013,24
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ_PLUS_KOSPI_EX_K200,1,LIQ_EFFECT_WHEN_FACTOR_HIGH_A_MINUS_B,-0.0009312321168437868,24
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ_PLUS_KOSPI_EX_K200,1,LIQ_EFFECT_WHEN_FACTOR_LOW_C_MINUS_D,-0.002572290720319622,24
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ_PLUS_KOSPI_EX_K200,1,FACTOR_EFFECT_WHEN_LIQ_HIGH_A_MINUS_C,-0.002714095850165588,24
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ_PLUS_KOSPI_EX_K200,1,FACTOR_EFFECT_WHEN_LIQ_LOW_B_MINUS_D,-0.004355154453641424,24
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ_PLUS_KOSPI_EX_K200,1,INTERACTION_DID,0.0016410586034758354,24
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ_PLUS_KOSPI_EX_K200,5,A_MINUS_D,-0.0035244533684400275,24
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ_PLUS_KOSPI_EX_K200,5,C_MINUS_B,0.018754670975308713,24
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ_PLUS_KOSPI_EX_K200,5,LIQ_EFFECT_WHEN_FACTOR_HIGH_A_MINUS_B,0.008297985690892662,24
OOS,MAIN_F20_L5_20,MEDIAN,KOSDAQ_PLUS_KOSPI_EX_K200,5,LIQ_EFFECT_WHEN_FACTOR_LOW_C_MINUS_D,0.006932231915976026,24
