sample,spec,split_rule,universe,forward_horizon,state,n,mean_fwd_return,median_fwd_return,positive_share,mean_trailing20_return,median_trailing20_return,mean_factor_breadth,mean_liquidity_breadth,factor_low_cut,factor_high_cut,liq_low_cut,liq_high_cut
TRAIN,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,5,B_FHIGH_LLOW,58,-0.0017812820665290762,0.0005989965578526062,0.5,-0.019827168157596286,-0.01463078859409526,0.7241379310344828,0.24540166903672486,0.375,0.625,0.3012048192771084,0.4003831417624521
TRAIN,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,5,C_FLOW_LHIGH,45,0.00026383100238462387,0.007951411834148768,0.6222222222222222,0.028191663522141662,0.033253557569275345,0.29444444444444445,0.4892024385606993,0.375,0.625,0.3012048192771084,0.4003831417624521
TRAIN,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,5,D_FLOW_LLOW,35,-0.002632853774377136,-0.0048179635792301966,0.42857142857142855,-0.013866163601135668,-0.011956599016557868,0.31785714285714284,0.23536106073479135,0.375,0.625,0.3012048192771084,0.4003831417624521
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,5,A_FHIGH_LHIGH,31,-0.0012176197992779542,0.0007178048863250456,0.5161290322580645,0.045673545802777146,0.05013953627207943,0.7096774193548387,0.5144991797837377,0.375,0.625,0.3012048192771084,0.4003831417624521
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,5,B_FHIGH_LLOW,33,0.00038357942088460207,0.009300705902800762,0.6363636363636364,-0.028039866423869766,-0.020940942350353885,0.7424242424242424,0.2529341152454292,0.375,0.625,0.3012048192771084,0.4003831417624521
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,5,C_FLOW_LHIGH,15,0.012274615135314425,0.014532831328968468,0.6666666666666666,0.044133144999307386,0.04552880494693262,0.31666666666666665,0.4518914244672551,0.375,0.625,0.3012048192771084,0.4003831417624521
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,5,D_FLOW_LLOW,16,-0.006491519475988466,-0.00504331978611767,0.4375,-0.014852044302189206,-0.002486317929083169,0.2890625,0.23058615761100504,0.375,0.625,0.3012048192771084,0.4003831417624521
TRAIN,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,20,A_FHIGH_LHIGH,42,0.011586313375463503,0.004659493570435356,0.6428571428571429,0.018999369260938738,0.033121319409377785,0.7083333333333334,0.4939407817188489,0.375,0.625,0.3012048192771084,0.4003831417624521
TRAIN,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,20,B_FHIGH_LLOW,58,-0.00883847606738921,-0.0031088077335838372,0.46551724137931033,-0.019827168157596286,-0.01463078859409526,0.7241379310344828,0.24540166903672486,0.375,0.625,0.3012048192771084,0.4003831417624521
TRAIN,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,20,C_FLOW_LHIGH,45,0.007453586003141063,0.014210509604551155,0.6,0.028191663522141662,0.033253557569275345,0.29444444444444445,0.4892024385606993,0.375,0.625,0.3012048192771084,0.4003831417624521
TRAIN,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,20,D_FLOW_LLOW,35,0.003519763882119976,-0.005038752190332942,0.45714285714285713,-0.013866163601135668,-0.011956599016557868,0.31785714285714284,0.23536106073479135,0.375,0.625,0.3012048192771084,0.4003831417624521
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,20,A_FHIGH_LHIGH,31,-0.0015960819198357758,0.000656845004086342,0.5161290322580645,0.045673545802777146,0.05013953627207943,0.7096774193548387,0.5144991797837377,0.375,0.625,0.3012048192771084,0.4003831417624521
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,20,B_FHIGH_LLOW,30,0.006486501138688652,0.010439274660770378,0.5666666666666667,-0.01837684726625577,-0.016344292786465334,0.7458333333333333,0.2538919681140701,0.375,0.625,0.3012048192771084,0.4003831417624521
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,20,C_FLOW_LHIGH,15,0.02260663214890035,0.02177363408785953,0.6,0.044133144999307386,0.04552880494693262,0.31666666666666665,0.4518914244672551,0.375,0.625,0.3012048192771084,0.4003831417624521
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,20,D_FLOW_LLOW,16,0.005079496477894374,0.010485297001684022,0.625,-0.014852044302189206,-0.002486317929083169,0.2890625,0.23058615761100504,0.375,0.625,0.3012048192771084,0.4003831417624521
TRAIN,MAIN_F20_L5_20,MEDIAN,KOSPI_KOSDAQ_ALL,1,A_FHIGH_LHIGH,77,0.0007290447235478594,0.0003908806701472,0.5194805194805194,0.007503672894137606,0.01669901737628691,0.7159090909090909,0.4384494204932687,,0.625,,0.3563618290258449
TRAIN,MAIN_F20_L5_20,MEDIAN,KOSPI_KOSDAQ_ALL,1,B_FHIGH_LLOW,96,-0.00017801867331543046,0.00021283169313684997,0.5104166666666666,-0.019591980227422885,-0.021142232724944025,0.7408854166666666,0.28284844908931167,,0.625,,0.3563618290258449
TRAIN,MAIN_F20_L5_20,MEDIAN,KOSPI_KOSDAQ_ALL,1,C_FLOW_LHIGH,94,0.0016429943371519334,0.00103861553101085,0.6063829787234043,0.026811676336760147,0.026705735525983612,0.3776595744680851,0.4411664136569444,,0.625,,0.3563618290258449
TRAIN,MAIN_F20_L5_20,MEDIAN,KOSPI_KOSDAQ_ALL,1,D_FLOW_LLOW,74,-0.0025964546873332947,-0.00142975679024365,0.4594594594594595,7.117583842172572e-05,0.004104491893323762,0.40033783783783783,0.28338069939378585,,0.625,,0.3563618290258449
OOS,MAIN_F20_L5_20,MEDIAN,KOSPI_KOSDAQ_ALL,1,A_FHIGH_LHIGH,42,0.001951539795527324,0.0077471901587815,0.6666666666666666,0.0673214197840285,0.047546944716324396,0.7321428571428571,0.45677154270493775,,0.625,,0.3563618290258449
OOS,MAIN_F20_L5_20,MEDIAN,KOSPI_KOSDAQ_ALL,1,B_FHIGH_LLOW,53,0.0003180863551836844,0.0035104098506073,0.5660377358490566,-0.009456568368262672,-0.016541265107418646,0.7547169811320755,0.2647330669971754,,0.625,,0.3563618290258449
OOS,MAIN_F20_L5_20,MEDIAN,KOSPI_KOSDAQ_ALL,1,C_FLOW_LHIGH,30,-0.0008692669696129762,-0.00164395747157555,0.4,0.055479326985120585,0.047310025185231946,0.3875,0.4450390194781118,,0.625,,0.3563618290258449
OOS,MAIN_F20_L5_20,MEDIAN,KOSPI_KOSDAQ_ALL,1,D_FLOW_LLOW,50,0.003455323383938132,0.00088152282930495,0.56,0.006316953543789828,0.00799145458794501,0.4,0.29945199843457504,,0.625,,0.3563618290258449
TRAIN,MAIN_F20_L5_20,MEDIAN,KOSPI_KOSDAQ_ALL,5,A_FHIGH_LHIGH,77,0.002807301571958631,0.003168396479640562,0.6103896103896104,0.007503672894137606,0.01669901737628691,0.7159090909090909,0.4384494204932687,,0.625,,0.3563618290258449
TRAIN,MAIN_F20_L5_20,MEDIAN,KOSPI_KOSDAQ_ALL,5,B_FHIGH_LLOW,96,-0.003256984891754418,0.0007960422105010434,0.5104166666666666,-0.019591980227422885,-0.021142232724944025,0.7408854166666666,0.28284844908931167,,0.625,,0.3563618290258449
TRAIN,MAIN_F20_L5_20,MEDIAN,KOSPI_KOSDAQ_ALL,5,C_FLOW_LHIGH,94,0.0029691197379993037,0.006122674724681471,0.648936170212766,0.026811676336760147,0.026705735525983612,0.3776595744680851,0.4411664136569444,,0.625,,0.3563618290258449
TRAIN,MAIN_F20_L5_20,MEDIAN,KOSPI_KOSDAQ_ALL,5,D_FLOW_LLOW,74,0.001065666426691381,0.001985780553973035,0.5675675675675675,7.117583842172572e-05,0.004104491893323762,0.40033783783783783,0.28338069939378585,,0.625,,0.3563618290258449
OOS,MAIN_F20_L5_20,MEDIAN,KOSPI_KOSDAQ_ALL,5,A_FHIGH_LHIGH,41,0.01842893771261813,0.014371649017876237,0.6829268292682927,0.07388917605448864,0.049228772761745435,0.7347560975609756,0.456102405910218,,0.625,,0.3563618290258449
OOS,MAIN_F20_L5_20,MEDIAN,KOSPI_KOSDAQ_ALL,5,B_FHIGH_LLOW,53,-0.0060141305478086686,-0.002829201475576418,0.4716981132075472,-0.009456568368262672,-0.016541265107418646,0.7547169811320755,0.2647330669971754,,0.625,,0.3563618290258449
OOS,MAIN_F20_L5_20,MEDIAN,KOSPI_KOSDAQ_ALL,5,C_FLOW_LHIGH,30,0.0058569423857999375,0.006387772754251668,0.5666666666666667,0.055479326985120585,0.047310025185231946,0.3875,0.4450390194781118,,0.625,,0.3563618290258449
OOS,MAIN_F20_L5_20,MEDIAN,KOSPI_KOSDAQ_ALL,5,D_FLOW_LLOW,50,0.008713417482089522,0.00816695982811632,0.6,0.006316953543789828,0.00799145458794501,0.4,0.29945199843457504,,0.625,,0.3563618290258449
