source,destination,period,n_factors,median_incremental_oos_r2,mean_incremental_oos_r2,positive_factor_count,median_source_coef,median_augmented_prediction_ic,median_local_diffusion_ic,reverse_median_incremental_oos_r2,directional_advantage_vs_reverse
KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,CONF_2023_2024,8,0.0019213179714466233,-0.0007574721777669907,5,-0.004030956416210098,,-0.009875341889333051,-0.0008833564458323728,0.002804674417278996
KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,DISC_2016_2019,8,0.003395365151717733,0.004969652245536596,8,-0.004030956416210098,0.14040752260932804,0.004745994317364702,0.006740311722983283,-0.00334494657126555
KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,8,-0.0058357219885921685,-0.005312621697505612,4,-0.004030956416210098,,0.06867346938775509,6.613230654317626e-05,-0.005901854295135345
KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,8,-0.0034068899510308337,-0.006586242210025434,4,-0.004030956416210098,,0.09729064039408866,-0.0030801184736362064,-0.0003267714773946273
KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,VAL_2020_2022,8,-0.002545495821725141,-0.0016321779676040787,3,-0.004030956416210098,,-0.05369853074551062,0.005222930248064861,-0.007768426069790002
KOSPI_EX_K200,KOSPI_ALL,CONF_2023_2024,8,0.007654295412310663,0.0005354555194772015,7,0.05797910510766825,,0.034221807279612874,0.003995896415041611,0.0036583989972690523
KOSPI_EX_K200,KOSPI_ALL,DISC_2016_2019,8,0.005749586604893442,0.012725463056013617,8,0.05797910510766825,0.043468256544481096,0.022700135183442695,0.006319152802297112,-0.0005695661974036703
KOSPI_EX_K200,KOSPI_ALL,STRESS_2025,8,-0.0055940102208571485,-0.010561299038751915,4,0.05797910510766825,,-0.0680612244897959,-1.542517553065892e-05,-0.00557858504532649
KOSPI_EX_K200,KOSPI_ALL,STRESS_2026,8,0.0007814362323342317,0.002302413447661522,6,0.05797910510766825,,-0.06921182266009851,-0.006162461193912061,0.006943897426246293
KOSPI_EX_K200,KOSPI_ALL,VAL_2020_2022,8,-0.0031971118003875088,-0.006547767718859232,2,0.05797910510766825,,0.050563380803074,-0.017426576710594777,0.014229464910207268
KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,CONF_2023_2024,8,0.0005525097935966117,-0.001036107862982527,4,0.024773270475475305,,0.09293472543656638,-0.003108988205827279,0.0036614979994238905
KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,DISC_2016_2019,8,0.00474396060890192,0.0077844549109659655,8,0.024773270475475305,0.08175516593870313,-0.006465577015527604,0.004139373066265051,0.0006045875426368696
KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,STRESS_2025,8,-0.01193970375172404,-0.016762053253763523,1,0.024773270475475305,,0.046938775510204075,0.006824057043171905,-0.018763760794895945
KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,STRESS_2026,8,0.0039383282624892435,0.012877558546316697,6,0.024773270475475305,,0.12216748768472904,-0.0012498392719492157,0.005188167534438459
KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,VAL_2020_2022,8,0.00115218444733306,-0.0021097779307575615,4,0.024773270475475305,,-0.051432976600761834,0.0011673470265184394,-1.5162579185379332e-05
KOSPI_KOSDAQ_ALL,K200,CONF_2023_2024,8,0.002787762270546612,0.0010573926093613295,5,0.06836914088211712,,0.021302335367136542,0.009175120487412258,-0.006387358216865646
KOSPI_KOSDAQ_ALL,K200,DISC_2016_2019,8,0.0022443495907037425,0.002675767384304195,8,0.06836914088211712,0.02762426398984275,0.006114893599536513,0.002298289423941724,-5.393983323798146e-05
