factor,source,destination,period,n,source_local_to_destination_local_next5_ic
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_ALL,STRESS_2025,49,-0.11714285714285713
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_ALL,STRESS_2026,29,0.06157635467980294
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,DISC_2016_2019,194,0.06726218602720925
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,VAL_2020_2022,149,-0.0404607291855614
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,CONF_2023_2024,97,-0.10670892068167473
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,STRESS_2025,49,0.09632653061224489
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,STRESS_2026,29,-0.19408866995073887
MOM12_1,K200,KOSDAQ,DISC_2016_2019,194,-0.015705111084631407
MOM12_1,K200,KOSDAQ,VAL_2020_2022,149,0.06932704516597135
MOM12_1,K200,KOSDAQ,CONF_2023_2024,97,-0.050836313907006096
MOM12_1,K200,KOSDAQ,STRESS_2025,49,0.06867346938775509
MOM12_1,K200,KOSDAQ,STRESS_2026,29,0.050738916256157625
MOM12_1,K200,KOSPI_EX_K200,DISC_2016_2019,194,0.028224166197565053
MOM12_1,K200,KOSPI_EX_K200,VAL_2020_2022,149,0.13144204607291857
MOM12_1,K200,KOSPI_EX_K200,CONF_2023_2024,97,0.09841152956027771
MOM12_1,K200,KOSPI_EX_K200,STRESS_2025,49,0.1336734693877551
MOM12_1,K200,KOSPI_EX_K200,STRESS_2026,29,-0.2960591133004925
MOM12_1,K200,KOSPI_ALL,DISC_2016_2019,194,-0.029703377120715937
MOM12_1,K200,KOSPI_ALL,VAL_2020_2022,149,-0.05940867041538184
MOM12_1,K200,KOSPI_ALL,CONF_2023_2024,97,-0.005299284662318535
MOM12_1,K200,KOSPI_ALL,STRESS_2025,49,-0.10255102040816326
MOM12_1,K200,KOSPI_ALL,STRESS_2026,29,-0.07438423645320195
MOM12_1,K200,KOSPI_KOSDAQ_ALL,DISC_2016_2019,194,0.00034432743155567787
