factor,source,destination,period,n,source_coef_discovery,baseline_mse,augmented_mse,incremental_oos_r2,baseline_prediction_ic,augmented_prediction_ic
MOM1M,KOSPI_EX_K200,K200,CONF_2023_2024,97,-0.004081249967453706,2.2348438801492416,2.235953935796372,-0.0004967038892471631,,
MOM1M,KOSPI_EX_K200,K200,STRESS_2025,49,-0.004081249967453706,2.3517567664335597,2.3508304656658354,0.00039387609337215856,,
MOM1M,KOSPI_EX_K200,K200,STRESS_2026,29,-0.004081249967453706,6.2566160404097415,6.246427751470214,0.001628402458089817,,
MOM1M,KOSPI_EX_K200,KOSDAQ,DISC_2016_2019,194,-0.16572442185667371,0.9989275678289092,0.9761126229051498,0.02283943867256155,,
MOM1M,KOSPI_EX_K200,KOSDAQ,VAL_2020_2022,149,-0.16572442185667371,1.0984187115416841,1.1138314608608166,-0.014031761437767187,,
MOM1M,KOSPI_EX_K200,KOSDAQ,CONF_2023_2024,97,-0.16572442185667371,1.0810520539857447,1.1491411330567658,-0.06298408926747112,,
MOM1M,KOSPI_EX_K200,KOSDAQ,STRESS_2025,49,-0.16572442185667371,1.204286325502134,1.195136781806929,0.0075974820119212305,,
MOM1M,KOSPI_EX_K200,KOSDAQ,STRESS_2026,29,-0.16572442185667371,2.10639257442609,2.193338100340472,-0.04127698082968778,,
MOM1M,KOSPI_EX_K200,KOSPI_ALL,DISC_2016_2019,194,0.14338384014686134,0.9649402976127428,0.9602589365573866,0.004851451501132087,,
MOM1M,KOSPI_EX_K200,KOSPI_ALL,VAL_2020_2022,149,0.14338384014686134,2.1661250611456206,2.1836724002872834,-0.008100796882144046,,
MOM1M,KOSPI_EX_K200,KOSPI_ALL,CONF_2023_2024,97,0.14338384014686134,2.10915900223242,2.067830434764011,0.019594808843081735,,
MOM1M,KOSPI_EX_K200,KOSPI_ALL,STRESS_2025,49,0.14338384014686134,1.4646147786133186,1.4607431261933526,0.002643461254454693,,
MOM1M,KOSPI_EX_K200,KOSPI_ALL,STRESS_2026,29,0.14338384014686134,3.8688220775101096,4.011198688581271,-0.036801023210349504,,
MOM1M,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,DISC_2016_2019,194,-0.10806357214801071,0.9846957413336764,0.9797002284630005,0.0050731537275767735,,
MOM1M,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,VAL_2020_2022,149,-0.10806357214801071,1.831228546716194,1.8101369740373523,0.011517717281473994,,
MOM1M,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,CONF_2023_2024,97,-0.10806357214801071,1.7164743505031526,1.7412146103569213,-0.014413416574804438,,
MOM1M,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,STRESS_2025,49,-0.10806357214801071,1.6570160466119055,1.6572398727861963,-0.00013507785561195362,,
MOM1M,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,STRESS_2026,29,-0.10806357214801071,3.004270381341512,2.996558779647033,0.002566880045941633,,
MOM1M,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,DISC_2016_2019,194,-0.19458839153835583,0.9950872156767736,0.9771099716301023,0.018065998400396244,,
MOM1M,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,VAL_2020_2022,149,-0.19458839153835583,1.456213377777563,1.4700300208818866,-0.009488062199655367,,
MOM1M,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,CONF_2023_2024,97,-0.19458839153835583,1.4327197931889526,1.4787450546698508,-0.03212439843415238,,
MOM1M,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,49,-0.19458839153835583,1.3213770584273694,1.3153413954396949,0.004567706809483929,,
MOM1M,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,29,-0.19458839153835583,2.2463908836770723,2.3216695403763588,-0.03351093402590033,,
MOM1M,KOSPI_ALL,K200,DISC_2016_2019,194,-0.04627701500490389,0.9604425246194226,0.9599281689744793,0.0005355402658239194,,
