date,factor,period,common,z_K200,local_K200,z_KOSDAQ,local_KOSDAQ,z_KOSPI_EX_K200,local_KOSPI_EX_K200,z_KOSPI_ALL,local_KOSPI_ALL,z_KOSPI_KOSDAQ_ALL,local_KOSPI_KOSDAQ_ALL,z_KOSDAQ_PLUS_KOSPI_EX_K200,local_KOSDAQ_PLUS_KOSPI_EX_K200
2020-03-24,MOM1M,VAL_2020_2022,2.343219018409178,2.382474603867836,0.039255585458657816,0.8721354656402239,-1.4710835527689543,3.4351408976230027,1.0919218792138246,2.855562178896529,0.512343160487351,2.3769565320883475,0.03373751367916933,2.1370444323391293,-0.2061745860700488
2020-03-31,MOM1M,VAL_2020_2022,-1.84125639702383,-4.807962838709174,-2.9667064416853437,1.5085139434346115,3.3497703404584414,-1.6854509706011431,0.1558054264226869,-3.71275903072778,-1.87150263370395,-2.6609752134020352,-0.8197188163782052,0.31109572786254147,2.1523521248863715
2020-04-07,MOM1M,VAL_2020_2022,-3.2953143677910375,-4.191838808699601,-0.8965244409085638,-3.6746419402312602,-0.37932757244022275,-1.687073550615378,1.6082408171756595,-3.179376263890961,0.11593810390007642,-3.656988780583193,-0.3616744127921554,-3.381966862725832,-0.08665249493479443
2020-04-14,MOM1M,VAL_2020_2022,-2.9635031280526847,-2.2255774446398147,0.73792568341287,-2.8034001198005467,0.16010300825213797,-3.2348591867383902,-0.27135605868570556,-2.298246292982851,0.6652568350698336,-3.5788563403948626,-0.6153532123421779,-3.6400793837596437,-0.676576255706959
2020-04-22,MOM1M,VAL_2020_2022,0.059555266865904344,-0.5846495244308255,-0.6442047912967299,0.40534265445137035,0.345787387585466,-0.06965212646475295,-0.12920739333065728,-0.7693707747757298,-0.8289260416416342,0.7226413794077934,0.663086112541889,0.6530199930075706,0.5934647261416663
2020-04-29,MOM1M,VAL_2020_2022,-1.858908536007599,-1.6505438506547276,0.20836468535287134,-0.6218410130693579,1.237067522938241,-3.0768967120590762,-1.2179881760514772,-2.2546067218540022,-0.39569818584640326,-2.0682623415621695,-0.2093538055545705,-1.4813005768462604,0.3776079591613386
2020-05-11,MOM1M,VAL_2020_2022,0.5153000677268871,-0.8778460003556663,-1.3931460680825534,1.2098140191322633,0.6945139514053762,0.3756433714443689,-0.1396566962825182,0.3869295935443086,-0.12837047418257846,1.1926076799351606,0.6773076122082735,0.8046517426608875,0.2893516749340004
2020-05-18,MOM1M,VAL_2020_2022,0.9680107954750641,2.748521005579882,1.780510210104818,0.6169287262494707,-0.3510820692255934,-0.4119025495573726,-1.3799133450324366,1.2034685441311106,0.23545774865604652,1.371065998869777,0.403055203394713,0.2799830475775169,-0.6880277478975472
2020-05-25,MOM1M,VAL_2020_2022,-0.6625679199244146,-1.1946132081853151,-0.5320452882609006,-0.4523614438950748,0.21020647602933973,-0.6671806391766208,-0.004612719252206299,-0.571767898093931,0.09080002183048352,-0.4014623622282161,0.2611055576961985,-0.6880219679673293,-0.025454048042914734
2020-06-01,MOM1M,VAL_2020_2022,-0.6489698743389729,-1.0729216175101317,-0.4239517431711588,-0.41272822086762945,0.23624165347134346,-0.3265869781289446,0.3223828962100283,-1.1635155908595967,-0.5145457165206238,-0.8422547995190486,-0.19328492518007567,-0.07581203914848615,0.5731578351904868
2020-06-08,MOM1M,VAL_2020_2022,-1.1106310831315926,-0.5324585738682998,0.5781725092632929,-0.5962111826006252,0.5144199005309674,-1.5529562811446889,-0.4423251980130962,-1.2220793037753699,-0.11144822064377724,-1.4989026507230963,-0.3882715675915036,-1.2611785066774757,-0.15054742354588302
2020-06-15,MOM1M,VAL_2020_2022,0.1871742518238019,-0.36301604250524416,-0.5501902943290461,0.23488222042707008,0.047707968603268175,0.8594252818037295,0.6722510299799276,-0.008865063383836193,-0.1960393152076381,0.034997042718150004,-0.1521772091056519,0.3656220718829424,0.17844782005914048
2020-06-22,MOM1M,VAL_2020_2022,1.842337402445206,0.9612360597719265,-0.8811013426732794,2.507041664892189,0.664704262446983,2.5588248507870794,0.7164874483418735,0.7795465711712678,-1.0627908312739383,1.8220485070039671,-0.020288895441238797,2.4253267610448064,0.5829893585996004
2020-06-29,MOM1M,VAL_2020_2022,0.35152707392906163,0.9716357845509821,0.6201087106219205,-0.7839050288716274,-1.135432102800689,1.0829607403382944,0.7314336664092327,1.0561675685106289,0.7046404945815672,-0.004445189950516282,-0.3559722638795779,-0.21325143100339172,-0.5647785049324534
2020-07-06,MOM1M,VAL_2020_2022,-1.9076199388611859,-1.1114631795280296,0.7961567593331562,-1.7871772562828208,0.1204426825783651,-2.232746111874734,-0.3251261730135482,-2.0225150743470643,-0.11489513548587849,-2.2253809849823587,-0.31776104612117284,-2.0664370261521086,-0.1588170872909227
2020-07-13,MOM1M,VAL_2020_2022,2.736765429048513,1.9824437653635383,-0.7543216636849746,1.8112588243012933,-0.9255066047472196,3.8268608936166153,1.0900954645681025,3.131709677714626,0.3949442486661132,2.863887884445304,0.12712245539679135,2.8044315288497024,0.06766609980118954
2020-07-20,MOM1M,VAL_2020_2022,-1.336206108557039,-2.708650150235305,-1.3724440416782662,-0.7031443093117167,0.6330617992453222,-0.6687994058596783,0.6674067026973606,-1.7237186547691683,-0.3875125462121294,-1.4236111027478742,-0.08740499419083525,-0.7893130284184898,0.5468930801385491
2020-07-27,MOM1M,VAL_2020_2022,0.14010003587617836,2.125451389827209,1.9853513539510308,-1.2425900393103335,-1.3826900751865119,-0.3805161560258053,-0.5206161919019836,1.5479394436578768,1.4078394077816985,-0.08068165887826483,-0.2207816947544432,-1.1290027640136124,-1.2691027998897908
2020-08-03,MOM1M,VAL_2020_2022,1.1033360133799015,-0.8775443223699753,-1.9808803357498768,2.1397534690361124,1.036417455656211,1.3665447254274812,0.2632087120475797,0.19403763018020032,-0.9092983831997012,1.5840241806908413,0.4806881673109398,2.21320039731475,1.1098643839348485
2020-08-10,MOM1M,VAL_2020_2022,2.2235577984024872,4.461541558025367,2.2379837596228795,0.9544137212978624,-1.2691440771046247,1.1680158040208872,-1.0555419943816,3.2530448251252646,1.0294870267227774,2.2272984168314944,0.003740618429007192,1.2770324651140497,-0.9465253332884376
2020-08-18,MOM1M,VAL_2020_2022,-2.7139675446065485,-2.465579472039856,0.24838807256669249,-1.7015778647333515,1.012389679873197,-3.1678501001921147,-0.4538825555855661,-3.5126313549199466,-0.7986638103133981,-2.866823023658806,-0.1528554790522576,-2.569343452095213,0.14462409251133534
2020-08-25,MOM1M,VAL_2020_2022,2.1379129649120547,2.104883132335577,-0.03302983257647796,2.070552212659456,-0.06736075225259874,2.011880364418018,-0.12603260049403664,2.291440500128037,0.15352753521598217,2.221180123569249,0.08326715865719425,2.1275414563619925,-0.010371508550062192
2020-09-01,MOM1M,VAL_2020_2022,1.794972498554982,0.37351920035297625,-1.4214532982020058,0.8354865111112506,-0.9594859874437314,3.589109437976147,1.794136939421165,2.259808933835261,0.4648364352802792,1.733189363730773,-0.06178313482420905,1.9787215443234836,0.1837490457685016
2020-09-08,MOM1M,VAL_2020_2022,-1.1809828443578334,-0.1749794724552758,1.0060033719025576,-0.8555506563050366,0.32543218805279683,-1.7076157320931553,-0.5266328877353219,-1.651508287273303,-0.4705254429154695,-1.3897089918913172,-0.20872614753348384,-1.3065339261289128,-0.12555108177107943
2020-09-15,MOM1M,VAL_2020_2022,-0.6649094595972812,-0.9676407003059856,-0.3027312407087044,-0.8499828200847206,-0.1850733604874394,-0.24199879632781413,0.4229106632694671,-0.7059863559814283,-0.04107689638414713,-0.6715896268440436,-0.006680167246762347,-0.5522584580396951,0.11265100155758612
2020-09-22,MOM1M,VAL_2020_2022,-0.2440049239060044,-0.6422421832743122,-0.3982372593683078,0.08542070120375403,0.3294256251097584,0.08547869670653342,0.32948362061253783,-0.5591220790688401,-0.3151171551628358,-0.5120950174358713,-0.2680900935298669,0.07853033843270964,0.32253526233871405
