period,factor,shift,shifted_unique_kq_r2,observed_unique_kq_r2
VAL_2020_2022,MOM12_1,48,-0.01815449320149254,0.0009477767472608756
VAL_2020_2022,MOM12_1,49,0.01656468475698636,0.0009477767472608756
VAL_2020_2022,MOM12_1,50,-0.01513315090667633,0.0009477767472608756
VAL_2020_2022,MOM12_1,51,-0.0112771105457532,0.0009477767472608756
VAL_2020_2022,MOM12_1,52,-0.01171478345269561,0.0009477767472608756
VAL_2020_2022,MOM12_1,53,0.0008480244671297266,0.0009477767472608756
VAL_2020_2022,MOM12_1,54,-0.0006684320479415362,0.0009477767472608756
VAL_2020_2022,MOM12_1,55,-0.005969908034466176,0.0009477767472608756
VAL_2020_2022,MOM12_1,56,0.008892224653053615,0.0009477767472608756
VAL_2020_2022,MOM12_1,57,-0.010398791061559498,0.0009477767472608756
VAL_2020_2022,MOM12_1,58,0.0074712496016619,0.0009477767472608756
VAL_2020_2022,MOM12_1,59,-0.012620157164750179,0.0009477767472608756
VAL_2020_2022,MOM12_1,60,-0.0023049796165932612,0.0009477767472608756
VAL_2020_2022,MOM12_1,61,-0.007072258869372128,0.0009477767472608756
VAL_2020_2022,MOM12_1,62,-0.005796279322369813,0.0009477767472608756
VAL_2020_2022,MOM12_1,63,-0.006660902907372757,0.0009477767472608756
VAL_2020_2022,MOM12_1,64,0.0020960643155755188,0.0009477767472608756
VAL_2020_2022,MOM12_1,65,-0.004728203811023235,0.0009477767472608756
VAL_2020_2022,MOM12_1,66,0.003920103423645349,0.0009477767472608756
VAL_2020_2022,MOM12_1,67,0.00904377091529085,0.0009477767472608756
VAL_2020_2022,MOM12_1,68,0.006718137839266336,0.0009477767472608756
VAL_2020_2022,MOM12_1,69,0.003136130335810061,0.0009477767472608756
VAL_2020_2022,MOM12_1,70,-0.007435674844056939,0.0009477767472608756
VAL_2020_2022,MOM12_1,71,-0.0031079219423657545,0.0009477767472608756
VAL_2020_2022,MOM12_1,72,-0.012348958763462425,0.0009477767472608756
VAL_2020_2022,MOM12_1,73,0.0038107756400874715,0.0009477767472608756
VAL_2020_2022,MOM12_1,74,0.003770174376912183,0.0009477767472608756
VAL_2020_2022,MOM12_1,75,-0.009500768531867099,0.0009477767472608756
VAL_2020_2022,MOM12_1,76,-0.009366694054571356,0.0009477767472608756
VAL_2020_2022,MOM12_1,77,-0.013641129335587587,0.0009477767472608756
VAL_2020_2022,MOM12_1,78,-0.0034916719339339597,0.0009477767472608756
VAL_2020_2022,MOM12_1,79,-0.008170000290474766,0.0009477767472608756
VAL_2020_2022,MOM12_1,80,-0.003990330215848381,0.0009477767472608756
VAL_2020_2022,MOM12_1,81,0.0005622619320472255,0.0009477767472608756
VAL_2020_2022,MOM12_1,82,0.00041609536905096167,0.0009477767472608756
VAL_2020_2022,MOM12_1,83,0.003164704420263731,0.0009477767472608756
VAL_2020_2022,MOM12_1,84,-0.002478111713233311,0.0009477767472608756
VAL_2020_2022,MOM12_1,85,-0.0013394984650167974,0.0009477767472608756
VAL_2020_2022,MOM12_1,86,-0.004898683965899764,0.0009477767472608756
VAL_2020_2022,MOM12_1,87,-0.0035356037501061977,0.0009477767472608756
VAL_2020_2022,MOM12_1,88,-0.006029501355849787,0.0009477767472608756
VAL_2020_2022,MOM12_1,89,0.008418181894794041,0.0009477767472608756
VAL_2020_2022,MOM12_1,90,-0.001971543355221428,0.0009477767472608756
VAL_2020_2022,MOM12_1,91,0.012887913418060282,0.0009477767472608756
VAL_2020_2022,MOM12_1,92,-0.003194379052072538,0.0009477767472608756
VAL_2020_2022,MOM12_1,93,0.004755271685488727,0.0009477767472608756
VAL_2020_2022,MOM12_1,94,-0.01174499270002105,0.0009477767472608756
VAL_2020_2022,MOM12_1,95,-0.015339133911161262,0.0009477767472608756
VAL_2020_2022,MOM12_1,96,-0.01256386501460982,0.0009477767472608756
VAL_2020_2022,MOM12_1,97,0.0006400987238716072,0.0009477767472608756
VAL_2020_2022,MOM12_1,98,0.003254262124481211,0.0009477767472608756
VAL_2020_2022,MOM12_1,99,-0.01887681222185522,0.0009477767472608756
