factor,horizon,period,n,mse_m0,mse_mex,mse_mkq,mse_mboth,simple_kq_r2,simple_ex_r2,unique_kq_r2,unique_ex_r2
OP12_REV,NEXT5,CONF_2023_2024,97,1.4647257716556443,1.531241622075347,1.4645756721902363,1.5361997042119828,0.00010247615513603314,-0.04541181134849359,-0.003237948907054866,-0.04890428905912003
OP12_REV,NEXT5,STRESS_2025,49,1.2946437349568194,1.2702094204828405,1.3002538705728621,1.2914387611381797,-0.004333343192851391,0.0188733887278989,-0.0167132602805522,0.006779529470501533
OP12_REV,NEXT5,STRESS_2026,29,6.034618581814686,5.628036673246444,6.022953444208188,5.565897347666576,0.0019330364377380116,0.06737491409870977,0.011041030680424502,0.07588570968967512
OP12_REV,GAP5,DISC_2016_2019,192,0.9476903936852055,0.9379307943385743,0.9454192110753713,0.9370264919573299,0.0023965449317285836,0.010298299330311678,0.0009641461680358621,0.008877246220219126
OP12_REV,GAP5,VAL_2020_2022,148,1.6593834073852256,1.6565384842813293,1.6726398734538919,1.6621521368395393,-0.007988790299859216,0.001714445914810736,-0.0033887848736853243,0.00627017015485587
OP12_REV,GAP5,CONF_2023_2024,97,1.4772666748142893,1.463553212238339,1.4785692911742578,1.4637543390256262,-0.0008817746871141452,0.009282997315074648,-0.00013742362464541635,0.010019788884473413
OP12_REV,GAP5,STRESS_2025,49,1.265512335656878,1.2844179816939598,1.2748488771026445,1.2894082843719223,-0.007377677153119322,-0.014939124261691639,-0.003885263791916893,-0.011420496602206676
OP12_REV,GAP5,STRESS_2026,29,5.841695276098914,6.056524892196874,5.792342435986402,6.010367138718907,0.008448376332541252,-0.03677521779969051,0.0076211613589561855,-0.037640161151034635
OP12_REV,NEXT10,DISC_2016_2019,192,1.7389301517267102,1.6784694938641227,1.7375657181608302,1.678401652615254,0.000784639661647768,0.03476888235134212,4.041851765346216e-05,0.03404997285984657
OP12_REV,NEXT10,VAL_2020_2022,147,3.094592774232992,3.2086599064714516,3.105818357841888,3.2090320614995655,-0.0036274833000209394,-0.0368601430172768,-0.00011598456644268396,-0.033232369625568525
OP12_REV,NEXT10,CONF_2023_2024,96,2.7483511376001046,2.8249936289274302,2.7513542537451112,2.8258230612661577,-0.0010926974009692891,-0.027886717340729117,-0.00029360502984299153,-0.027066237442772145
OP12_REV,NEXT10,STRESS_2025,48,2.8008174215317783,2.7951617400790227,2.7857926950569607,2.798458106726821,0.005364407675884975,0.002019296727189923,-0.001179311594220911,-0.004546430067223994
OP12_REV,NEXT10,STRESS_2026,28,14.160260627343982,13.911036273857352,14.159100218518146,13.911475360767907,8.194826750540507e-05,0.017600265987009367,-3.15639253547495e-05,0.01748874249977972
OP12_REV,NEXT20,DISC_2016_2019,190,2.9897245866292312,2.905823496939692,2.989682740532763,2.9021495481846595,1.3996639240843045e-05,0.02806315005227078,0.0012643399569525204,0.029278421807561017
OP12_REV,NEXT20,VAL_2020_2022,145,6.283554410173715,6.2010752176219155,6.281436242259444,6.197690087116324,0.00033709709123252996,0.013126200103918517,0.0005458941210666479,0.0133323259065663
OP12_REV,NEXT20,CONF_2023_2024,94,5.596363481802853,5.617884156649401,5.593520992360569,5.60113915308719,0.0005079172308101176,-0.0038454748188756493,0.0029806601729925886,-0.0013619615868118995
