metric,strategy,universe,horizon,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60
ACT1,LOW10,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,97,0.0007698269029458762,0.011662371134020619,0.0007698269029458762,0.0007348397895438143,0.0006998526761417526
ACT1,LOW10,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,28,-0.000738132168660005,0.018303571428571426,-0.000738132168660005,-0.0007930428829457191,-0.0008479535972314335
ACT1,LOW10,KOSDAQ_PLUS_KOSPI_EX_K200,20,BULL_2025,12,-0.00010269667889862789,0.0020833333333333316,-0.00010269667889862789,-0.00010894667889862796,-0.00011519667889862806
ACT1,LOW10,KOSDAQ_PLUS_KOSPI_EX_K200,20,EARLY_2016_2019,48,0.0010080224965587122,0.01080729166666667,0.0010080224965587122,0.0009756006215587122,0.0009431787465587123
ACT1,LOW10,KOSDAQ_PLUS_KOSPI_EX_K200,20,LATE_2020_2022,38,0.0006020152551861921,0.004934210526315789,0.0006020152551861921,0.0005872126236072446,0.0005724099920282973
ACT1,LOW10,KOSDAQ_PLUS_KOSPI_EX_K200,20,NORMAL_2023_2024,24,0.00294065641142841,0.0015625000000000003,0.00294065641142841,0.0029359689114284095,0.0029312814114284096
ACT1,LOW10,KOSDAQ_PLUS_KOSPI_EX_K200,20,YTD_2026,6,0.0035105027372893186,0.0020833333333333376,0.0035105027372893186,0.003504252737289319,0.003498002737289318
ACT1,LOW10,KOSPI_ALL,5,BULL_2025,49,-9.267195605823869e-05,0.011734693877551019,-9.267195605823869e-05,-0.00012787603769089172,-0.00016308011932354477
ACT1,LOW10,KOSPI_ALL,5,EARLY_2016_2019,193,4.007652950489065e-05,0.020110103626943,4.007652950489065e-05,-2.025378137593833e-05,-8.058409225676737e-05
ACT1,LOW10,KOSPI_ALL,5,LATE_2020_2022,149,-0.00010951279420953468,0.014848993288590606,-0.00010951279420953468,-0.00015405977407530652,-0.00019860675394107837
ACT1,LOW10,KOSPI_ALL,5,NORMAL_2023_2024,97,0.00046948753359554577,0.017719072164948453,0.00046948753359554577,0.0004163303171007005,0.00036317310060585514
ACT1,LOW10,KOSPI_ALL,5,YTD_2026,28,0.00022564318152163175,0.02366071428571429,0.00022564318152163175,0.0001546610386644887,8.367889580734594e-05
ACT1,LOW10,KOSPI_ALL,20,BULL_2025,12,0.00020383753909401694,0.0005208333333333396,0.00020383753909401694,0.00020227503909401697,0.00020071253909401688
ACT1,LOW10,KOSPI_ALL,20,EARLY_2016_2019,48,0.0005574931062867838,0.014713541666666665,0.0005574931062867838,0.0005133524812867837,0.0004692118562867838
ACT1,LOW10,KOSPI_ALL,20,LATE_2020_2022,38,-0.0005951051481063946,0.005921052631578947,-0.0005951051481063946,-0.0006128683060011316,-0.0006306314638958684
ACT1,LOW10,KOSPI_ALL,20,NORMAL_2023_2024,24,0.0006564729912148737,0.006250000000000003,0.0006564729912148737,0.0006377229912148738,0.0006189729912148738
ACT1,LOW10,KOSPI_ALL,20,YTD_2026,6,0.002581457809767295,0.016666666666666663,0.002581457809767295,0.002531457809767295,0.002481457809767295
ACT1,LOW10,KOSPI_EX_K200,5,BULL_2025,49,0.0003166927990557534,0.016326530612244896,0.0003166927990557534,0.00026771320721901873,0.00021873361538228404
ACT1,LOW10,KOSPI_EX_K200,5,EARLY_2016_2019,193,0.00020059604043107623,0.02295984455958549,0.00020059604043107623,0.00013171650675231978,6.283697307356329e-05
ACT1,LOW10,KOSPI_EX_K200,5,LATE_2020_2022,149,7.703174312323877e-05,0.017911073825503353,7.703174312323877e-05,2.3298521646728715e-05,-3.043469982978135e-05
ACT1,LOW10,KOSPI_EX_K200,5,NORMAL_2023_2024,97,0.0005296616531994364,0.018878865979381442,0.0005296616531994364,0.0004730250552612919,0.0004163884573231478
ACT1,LOW10,KOSPI_EX_K200,5,YTD_2026,28,0.0004589641778694795,0.025223214285714286,0.0004589641778694795,0.0003832945350123368,0.000307624892155194
ACT1,LOW10,KOSPI_EX_K200,20,BULL_2025,12,0.0003229298811830065,0.010416666666666671,0.0003229298811830065,0.0002916798811830066,0.0002604298811830064
ACT1,LOW10,KOSPI_EX_K200,20,EARLY_2016_2019,48,0.0006810010079130019,0.017968750000000002,0.0006810010079130019,0.0006270947579130018,0.0005731885079130019
