metric,strategy,universe,horizon,sample,family,n_dates,gross_delta
ACT1,LOW05,KOSPI_ALL,20,EARLY_2016_2019,MOMENTUM,48,0.0006182289277290813
ACT1,LOW05,KOSPI_ALL,20,EARLY_2016_2019,REVISION,48,-0.00014722869617411841
ACT1,LOW05,KOSPI_ALL,20,EARLY_2016_2019,VALUE,48,0.001078947409950501
ACT1,LOW05,KOSPI_ALL,20,LATE_2020_2022,FLOW,38,2.3834216914762823e-05
ACT1,LOW05,KOSPI_ALL,20,LATE_2020_2022,MOMENTUM,38,0.0011070459255425418
ACT1,LOW05,KOSPI_ALL,20,LATE_2020_2022,REVISION,38,0.00029195759735071124
ACT1,LOW05,KOSPI_ALL,20,LATE_2020_2022,VALUE,38,0.00013981278092004527
ACT1,LOW05,KOSPI_ALL,20,NORMAL_2023_2024,FLOW,24,0.0007207588407715229
ACT1,LOW05,KOSPI_ALL,20,NORMAL_2023_2024,MOMENTUM,24,0.002467774361300598
ACT1,LOW05,KOSPI_ALL,20,NORMAL_2023_2024,REVISION,24,0.0001360818554330904
ACT1,LOW05,KOSPI_ALL,20,NORMAL_2023_2024,VALUE,24,0.0002460450667240437
ACT1,LOW05,KOSPI_ALL,20,YTD_2026,FLOW,6,0.0018900093177640967
ACT1,LOW05,KOSPI_ALL,20,YTD_2026,MOMENTUM,6,0.009333121032666739
ACT1,LOW05,KOSPI_ALL,20,YTD_2026,REVISION,6,-0.003261598059293675
ACT1,LOW05,KOSPI_ALL,20,YTD_2026,VALUE,6,0.002944675323929191
ACT1,LOW05,KOSPI_EX_K200,5,BULL_2025,FLOW,49,-7.215739386995454e-05
ACT1,LOW05,KOSPI_EX_K200,5,BULL_2025,MOMENTUM,49,-7.688108305184337e-05
ACT1,LOW05,KOSPI_EX_K200,5,BULL_2025,REVISION,49,0.00011562662264102056
ACT1,LOW05,KOSPI_EX_K200,5,BULL_2025,VALUE,49,8.303466545086225e-05
ACT1,LOW05,KOSPI_EX_K200,5,EARLY_2016_2019,FLOW,193,-7.475811685693512e-06
ACT1,LOW05,KOSPI_EX_K200,5,EARLY_2016_2019,MOMENTUM,193,0.00017162790105298796
ACT1,LOW05,KOSPI_EX_K200,5,EARLY_2016_2019,REVISION,193,0.00020273725125351128
ACT1,LOW05,KOSPI_EX_K200,5,EARLY_2016_2019,VALUE,193,0.00014343729013729093
ACT1,LOW05,KOSPI_EX_K200,5,LATE_2020_2022,FLOW,149,-0.00024122206162473228
ACT1,LOW05,KOSPI_EX_K200,5,LATE_2020_2022,MOMENTUM,149,-0.0002526802899653717
ACT1,LOW05,KOSPI_EX_K200,5,LATE_2020_2022,REVISION,149,4.225627261458081e-05
ACT1,LOW05,KOSPI_EX_K200,5,LATE_2020_2022,VALUE,149,5.788312881518132e-05
ACT1,LOW05,KOSPI_EX_K200,5,NORMAL_2023_2024,FLOW,97,0.0001205343201755691
ACT1,LOW05,KOSPI_EX_K200,5,NORMAL_2023_2024,MOMENTUM,97,0.0011970484481737954
ACT1,LOW05,KOSPI_EX_K200,5,NORMAL_2023_2024,REVISION,97,0.00014445684484691918
ACT1,LOW05,KOSPI_EX_K200,5,NORMAL_2023_2024,VALUE,97,-0.00019965707340974918
ACT1,LOW05,KOSPI_EX_K200,5,YTD_2026,FLOW,28,0.000511041406637881
ACT1,LOW05,KOSPI_EX_K200,5,YTD_2026,MOMENTUM,28,0.00031625127434103034
ACT1,LOW05,KOSPI_EX_K200,5,YTD_2026,REVISION,28,-0.0015204346434153121
ACT1,LOW05,KOSPI_EX_K200,5,YTD_2026,VALUE,28,-0.00026947269068775535
ACT1,LOW05,KOSPI_EX_K200,20,BULL_2025,FLOW,12,-0.0002545590857716088
ACT1,LOW05,KOSPI_EX_K200,20,BULL_2025,MOMENTUM,12,0.00017879000677630073
ACT1,LOW05,KOSPI_EX_K200,20,BULL_2025,REVISION,12,0.0
ACT1,LOW05,KOSPI_EX_K200,20,BULL_2025,VALUE,12,6.31771049505444e-05
ACT1,LOW05,KOSPI_EX_K200,20,EARLY_2016_2019,FLOW,48,0.0006965638643683635
ACT1,LOW05,KOSPI_EX_K200,20,EARLY_2016_2019,MOMENTUM,48,0.0014480148131126528
ACT1,LOW05,KOSPI_EX_K200,20,EARLY_2016_2019,REVISION,48,0.0010982261077600176
ACT1,LOW05,KOSPI_EX_K200,20,EARLY_2016_2019,VALUE,48,0.0004986642967449665
ACT1,LOW05,KOSPI_EX_K200,20,LATE_2020_2022,FLOW,38,0.0006307859854542174
ACT1,LOW05,KOSPI_EX_K200,20,LATE_2020_2022,MOMENTUM,38,0.0004807059600266883
ACT1,LOW05,KOSPI_EX_K200,20,LATE_2020_2022,REVISION,38,-0.0007820961418111784
ACT1,LOW05,KOSPI_EX_K200,20,LATE_2020_2022,VALUE,38,0.0004953194142283628
ACT1,LOW05,KOSPI_EX_K200,20,NORMAL_2023_2024,FLOW,24,0.001125199228677505
ACT1,LOW05,KOSPI_EX_K200,20,NORMAL_2023_2024,MOMENTUM,24,0.0025608769095743773
ACT1,LOW05,KOSPI_EX_K200,20,NORMAL_2023_2024,REVISION,24,0.00017406352529317367
ACT1,LOW05,KOSPI_EX_K200,20,NORMAL_2023_2024,VALUE,24,0.0008515126291458557
ACT1,LOW05,KOSPI_EX_K200,20,YTD_2026,FLOW,6,0.0018766055573949426
ACT1,LOW05,KOSPI_EX_K200,20,YTD_2026,MOMENTUM,6,0.011032176724604832
ACT1,LOW05,KOSPI_EX_K200,20,YTD_2026,REVISION,6,-0.002299031220054589
ACT1,LOW05,KOSPI_EX_K200,20,YTD_2026,VALUE,6,0.0006209059655630586
ACT1,LOW05,KOSPI_KOSDAQ_ALL,5,BULL_2025,FLOW,49,0.0005775969811987482
ACT1,LOW05,KOSPI_KOSDAQ_ALL,5,BULL_2025,MOMENTUM,49,0.0004403049802284763
ACT1,LOW05,KOSPI_KOSDAQ_ALL,5,BULL_2025,REVISION,49,0.00012765017362890272
ACT1,LOW05,KOSPI_KOSDAQ_ALL,5,BULL_2025,VALUE,49,0.00014742283251385194
ACT1,LOW05,KOSPI_KOSDAQ_ALL,5,EARLY_2016_2019,FLOW,193,8.168133653409151e-05
ACT1,LOW05,KOSPI_KOSDAQ_ALL,5,EARLY_2016_2019,MOMENTUM,193,0.0005341763972892037
ACT1,LOW05,KOSPI_KOSDAQ_ALL,5,EARLY_2016_2019,REVISION,193,0.00015294826810968045
ACT1,LOW05,KOSPI_KOSDAQ_ALL,5,EARLY_2016_2019,VALUE,193,0.00018578008783218816
ACT1,LOW05,KOSPI_KOSDAQ_ALL,5,LATE_2020_2022,FLOW,149,-0.00014776833546897858
ACT1,LOW05,KOSPI_KOSDAQ_ALL,5,LATE_2020_2022,MOMENTUM,149,8.547109703015376e-05
ACT1,LOW05,KOSPI_KOSDAQ_ALL,5,LATE_2020_2022,REVISION,149,0.0001112920005001339
ACT1,LOW05,KOSPI_KOSDAQ_ALL,5,LATE_2020_2022,VALUE,149,-5.135984196489775e-06
ACT1,LOW05,KOSPI_KOSDAQ_ALL,5,NORMAL_2023_2024,FLOW,97,0.00014472294707968317
ACT1,LOW05,KOSPI_KOSDAQ_ALL,5,NORMAL_2023_2024,MOMENTUM,97,0.0009195798080964045
ACT1,LOW05,KOSPI_KOSDAQ_ALL,5,NORMAL_2023_2024,REVISION,97,0.00018893028797905916
ACT1,LOW05,KOSPI_KOSDAQ_ALL,5,NORMAL_2023_2024,VALUE,97,-0.00015185295531100308
ACT1,LOW05,KOSPI_KOSDAQ_ALL,5,YTD_2026,FLOW,28,-0.00025721928521981656
ACT1,LOW05,KOSPI_KOSDAQ_ALL,5,YTD_2026,MOMENTUM,28,0.0016416841224751054
ACT1,LOW05,KOSPI_KOSDAQ_ALL,5,YTD_2026,REVISION,28,-0.0014554327993054686
ACT1,LOW05,KOSPI_KOSDAQ_ALL,5,YTD_2026,VALUE,28,-0.00022692427550520753
ACT1,LOW05,KOSPI_KOSDAQ_ALL,20,BULL_2025,FLOW,12,0.0
ACT1,LOW05,KOSPI_KOSDAQ_ALL,20,BULL_2025,MOMENTUM,12,-0.0001300725445692874
ACT1,LOW05,KOSPI_KOSDAQ_ALL,20,BULL_2025,REVISION,12,0.0
ACT1,LOW05,KOSPI_KOSDAQ_ALL,20,BULL_2025,VALUE,12,0.0003991020012767329
ACT1,LOW05,KOSPI_KOSDAQ_ALL,20,EARLY_2016_2019,FLOW,48,0.0008531722655105023
ACT1,LOW05,KOSPI_KOSDAQ_ALL,20,EARLY_2016_2019,MOMENTUM,48,0.0024130790580980045
ACT1,LOW05,KOSPI_KOSDAQ_ALL,20,EARLY_2016_2019,REVISION,48,0.001209239614288579
