universe,strategy,factor,family,phase,period,zero_fill_cagr,zero_fill_sharpe,legacy_cagr,legacy_sharpe,mean_legacy_minus_zero,mean_complete_names,n_periods
K200,PRIMARY8,PBR12MF,VALUE,6,NORMAL_2023_2024,0.03715889327066102,0.29872673804108185,0.037158893270660576,0.2987267380410792,-1.8394651501401388e-17,20.0,49
K200,PRIMARY8,PBR12MF,VALUE,6,BULL_2025,0.6615163998390721,2.058600730481154,0.6615163998390701,2.0586007304811544,-1.2576745200831851e-17,20.0,24
K200,PRIMARY8,PBR12MF,VALUE,6,YTD_2026,0.4888728298112406,1.2458306362290221,0.4888728298112419,1.2458306362290232,1.4373423086664974e-17,20.0,14
K200,PRIMARY8,PBR12MF,VALUE,7,FULL_2016_2026,0.1261575703808291,0.6170575452952245,0.12615757038082864,0.6170575452952232,-1.0281920370883768e-17,20.0,259
K200,PRIMARY8,PBR12MF,VALUE,7,PRE_STRESS_2016_2024,0.0557347683578997,0.35498581728629,0.055734768357899034,0.35498581728628864,-1.1930148611087103e-17,20.0,221
K200,PRIMARY8,PBR12MF,VALUE,7,EARLY_2016_2019,0.01473615799739969,0.17104783036193738,0.01473615799739858,0.17104783036193524,-1.591564536058823e-17,20.0,98
K200,PRIMARY8,PBR12MF,VALUE,7,LATE_2020_2022,0.11391727284169262,0.5267826171102898,0.11391727284169217,0.5267826171102893,-5.081098829972607e-18,20.0,74
K200,PRIMARY8,PBR12MF,VALUE,7,NORMAL_2023_2024,0.053836640991983264,0.358769729890795,0.053836640991983264,0.3587697298907932,-1.4302618046829184e-17,20.0,49
K200,PRIMARY8,PBR12MF,VALUE,7,BULL_2025,0.6604698858836733,1.990172255353874,0.6604698858836728,1.9901722553538743,-5.457150934843706e-18,20.0,24
K200,PRIMARY8,PBR12MF,VALUE,7,YTD_2026,0.6040425376738932,1.459176572750956,0.6040425376738932,1.4591765727509571,7.465506387685902e-18,20.0,14
K200,PRIMARY8,PBR12MF,VALUE,8,FULL_2016_2026,0.12659042220947425,0.6199086997925345,0.1265904222094738,0.6199086997925333,-1.1433047957394802e-17,20.0,259
K200,PRIMARY8,PBR12MF,VALUE,8,PRE_STRESS_2016_2024,0.05397040254959151,0.34669950580747616,0.053970402549590846,0.34669950580747444,-1.3688849635109262e-17,20.0,221
K200,PRIMARY8,PBR12MF,VALUE,8,EARLY_2016_2019,0.028399550430899145,0.24658881883592568,0.02839955043089848,0.2465888188359236,-1.48993441149765e-17,20.0,98
K200,PRIMARY8,PBR12MF,VALUE,8,LATE_2020_2022,0.10965449852291753,0.5239657891743184,0.10965449852291709,0.5239657891743171,-1.140097189891345e-17,20.0,74
K200,PRIMARY8,PBR12MF,VALUE,8,NORMAL_2023_2024,0.024222444149652356,0.2136701957825936,0.02422244414965191,0.2136701957825921,-1.4723022970854175e-17,20.0,49
K200,PRIMARY8,PBR12MF,VALUE,8,BULL_2025,0.7285274082399908,2.1836258966443283,0.7285274082399917,2.1836258966443287,-2.936380883814908e-19,20.0,24
K200,PRIMARY8,PBR12MF,VALUE,8,YTD_2026,0.548332168809998,1.412840952041315,0.548332168809998,1.412840952041315,5.080261608217792e-18,20.0,14
K200,PRIMARY8,PBR12MF,VALUE,9,FULL_2016_2026,0.12896711981095743,0.6274636454553058,0.128967119810957,0.6274636454553043,-1.2310002050062405e-17,20.0,258
K200,PRIMARY8,PBR12MF,VALUE,9,PRE_STRESS_2016_2024,0.05720142397294792,0.36288443811920856,0.057201423972947696,0.36288443811920695,-1.3879136928164835e-17,20.0,221
K200,PRIMARY8,PBR12MF,VALUE,9,EARLY_2016_2019,0.04110243710117678,0.3140423895445281,0.04110243710117656,0.3140423895445257,-1.690461201718636e-17,20.0,97
K200,PRIMARY8,PBR12MF,VALUE,9,LATE_2020_2022,0.10397681193658737,0.5114542182002341,0.10397681193658692,0.5114542182002337,-3.2844097811827547e-18,20.0,75
K200,PRIMARY8,PBR12MF,VALUE,9,NORMAL_2023_2024,0.01993240514982042,0.19390028748690932,0.019932405149819532,0.19390028748690677,-2.4106350242217245e-17,20.0,49
K200,PRIMARY8,PBR12MF,VALUE,9,BULL_2025,0.7785571771424773,2.3443613824875644,0.778557177142478,2.3443613824875658,-2.5659451415490273e-18,20.0,24
K200,PRIMARY8,PBR12MF,VALUE,9,YTD_2026,0.4899640838811259,1.163567648629585,0.48996408388112545,1.163567648629585,-3.6237372611150125e-18,20.0,13
K200,PRIMARY8,PER12MF,VALUE,0,FULL_2016_2026,0.14155636150679585,0.69142419480242,0.14155636150679518,0.6914241948024183,-1.558794405792341e-17,20.0,259
K200,PRIMARY8,PER12MF,VALUE,0,PRE_STRESS_2016_2024,0.06592840698892455,0.39807664414731003,0.06592840698892366,0.3980766441473082,-1.6256440294661403e-17,20.0,221
K200,PRIMARY8,PER12MF,VALUE,0,EARLY_2016_2019,0.003091484346580131,0.1049586245761037,0.003091484346579243,0.10495862457610082,-1.999419543355108e-17,20.0,98
K200,PRIMARY8,PER12MF,VALUE,0,LATE_2020_2022,0.09991139613081224,0.4823220102534825,0.09991139613081179,0.48232201025348165,-1.0284019006749172e-17,20.0,75
K200,PRIMARY8,PER12MF,VALUE,0,NORMAL_2023_2024,0.14896327807483578,0.7505578813399979,0.1489632780748349,0.7505578813399956,-1.7957098481791167e-17,20.0,48
K200,PRIMARY8,PER12MF,VALUE,0,BULL_2025,0.7489219507280231,2.8547698952071876,0.7489219507280218,2.8547698952071854,-1.743722354008437e-17,20.0,25
K200,PRIMARY8,PER12MF,VALUE,0,YTD_2026,0.6116898521567837,1.586612095652543,0.6116898521567826,1.5866120956525422,-6.672013369141566e-19,20.0,13
K200,PRIMARY8,PER12MF,VALUE,1,FULL_2016_2026,0.1253600302865383,0.615306619234011,0.12536003028653808,0.6153066192340095,-1.4341922618140057e-17,20.0,259
K200,PRIMARY8,PER12MF,VALUE,1,PRE_STRESS_2016_2024,0.05490718356857571,0.35218043601875626,0.05490718356857527,0.3521804360187547,-1.4814199978281294e-17,20.0,221
K200,PRIMARY8,PER12MF,VALUE,1,EARLY_2016_2019,-0.014983667435049086,-0.004688864633332668,-0.01498366743504953,-0.0046888646333352844,-1.79889054332799e-17,20.0,98
K200,PRIMARY8,PER12MF,VALUE,1,LATE_2020_2022,0.051157241169675904,0.3227559879097616,0.051157241169675904,0.32275598790976073,-9.794448004142699e-18,20.0,74
