period,universe,strategy,cost_bps,n_5d,sharpe,cagr,max_drawdown,annualized_weight_turnover
STRESS_2025,KOSPI_EX_K200,ENS_TOP3,10,49,1.6482319294068388,0.21558563379410978,-0.060890315774331905,15.428571428571427
STRESS_2026,KOSPI_EX_K200,ENS_TOP3,10,29,0.9315747933208619,0.1808193315803781,-0.08882665877760154,16.220689655172414
VAL_2020_2022,KOSPI_EX_K200,ENS_TOP3,30,148,1.0053895764887149,0.1444663702198139,-0.1283025510362823,16.8
CONF_2023_2024,KOSPI_EX_K200,ENS_TOP3,30,97,0.2586986540354137,0.02641603966274131,-0.1825819168239433,17.49278350515464
STRESS_2025,KOSPI_EX_K200,ENS_TOP3,30,49,1.396673991315211,0.17876151658302164,-0.0634244142302619,15.428571428571427
STRESS_2026,KOSPI_EX_K200,ENS_TOP3,30,29,0.7702221657755832,0.14331523186294004,-0.09253465292946195,16.220689655172414
VAL_2020_2022,KOSPI_EX_K200,ENS_BOTTOM2_VETO,0,148,1.802349884559878,0.19421711282930065,-0.049899628882844715,5.959459459459458
CONF_2023_2024,KOSPI_EX_K200,ENS_BOTTOM2_VETO,0,97,0.08627427864233184,0.003515760252306155,-0.17024744796134372,7.967010309278351
STRESS_2025,KOSPI_EX_K200,ENS_BOTTOM2_VETO,0,49,1.5086080354935234,0.12967441357229292,-0.05188147309740854,5.485714285714286
STRESS_2026,KOSPI_EX_K200,ENS_BOTTOM2_VETO,0,29,1.6860725833971961,0.22607152800205177,-0.04564526113116274,4.9241379310344815
VAL_2020_2022,KOSPI_EX_K200,ENS_BOTTOM2_VETO,10,148,1.7430493124426136,0.18714163182379884,-0.0506979008512537,5.959459459459458
CONF_2023_2024,KOSPI_EX_K200,ENS_BOTTOM2_VETO,10,97,0.012924177259550067,-0.00444059330293789,-0.1757704398894533,7.967010309278351
STRESS_2025,KOSPI_EX_K200,ENS_BOTTOM2_VETO,10,49,1.4446721595551895,0.12351899876817596,-0.052833385320132265,5.485714285714286
STRESS_2026,KOSPI_EX_K200,ENS_BOTTOM2_VETO,10,29,1.6476719777446682,0.2200811331263397,-0.04660800974073376,4.9241379310344815
VAL_2020_2022,KOSPI_EX_K200,ENS_BOTTOM2_VETO,30,148,1.6243286915643176,0.17311197717980864,-0.0522929948417854,5.959459459459458
CONF_2023_2024,KOSPI_EX_K200,ENS_BOTTOM2_VETO,30,97,-0.1340461246779408,-0.020170147596459187,-0.18671032298361312,7.967010309278351
STRESS_2025,KOSPI_EX_K200,ENS_BOTTOM2_VETO,30,49,1.315976504245839,0.11130502061462377,-0.054734820649350646,5.485714285714286
STRESS_2026,KOSPI_EX_K200,ENS_BOTTOM2_VETO,30,29,1.5705347526785558,0.20818364816658308,-0.04853140249888088,4.9241379310344815
VAL_2020_2022,KOSPI_EX_K200,EPI_CONF_SOFT,0,148,1.0003184292634542,0.08164089421765208,-0.07134510311204201,0.3348992816931643
CONF_2023_2024,KOSPI_EX_K200,EPI_CONF_SOFT,0,97,0.5255346890901673,0.04346799196436346,-0.07885038417211154,0.5464154588594895
STRESS_2025,KOSPI_EX_K200,EPI_CONF_SOFT,0,49,1.1576436779586912,0.09314418478221875,-0.04622683238357472,0.6049616933312961
STRESS_2026,KOSPI_EX_K200,EPI_CONF_SOFT,0,29,1.4490594648767425,0.1332711125495154,-0.03913936436257337,0.8063122257271257
VAL_2020_2022,KOSPI_EX_K200,EPI_CONF_SOFT,10,148,0.996428528306168,0.08128070466130222,-0.07134510311204201,0.3348992816931643
CONF_2023_2024,KOSPI_EX_K200,EPI_CONF_SOFT,10,97,0.519318109132509,0.04289787531526712,-0.07913636784452194,0.5464154588594895
STRESS_2025,KOSPI_EX_K200,EPI_CONF_SOFT,10,49,1.1502248513912363,0.09248525162020171,-0.046275471467779994,0.6049616933312961
STRESS_2026,KOSPI_EX_K200,EPI_CONF_SOFT,10,29,1.4391156828482559,0.1323545192035107,-0.03923872536846884,0.8063122257271257
VAL_2020_2022,KOSPI_EX_K200,EPI_CONF_SOFT,30,148,0.9886382977315888,0.08056063653161272,-0.07134510311204179,0.3348992816931643
CONF_2023_2024,KOSPI_EX_K200,EPI_CONF_SOFT,30,97,0.5068827538053702,0.0417584855572668,-0.07970811906400266,0.5464154588594895
STRESS_2025,KOSPI_EX_K200,EPI_CONF_SOFT,30,49,1.1353685061113428,0.09116848175939385,-0.046372749636190425,0.6049616933312961
STRESS_2026,KOSPI_EX_K200,EPI_CONF_SOFT,30,29,1.4192392665362545,0.13052334146928213,-0.03943743196774607,0.8063122257271257
VAL_2020_2022,KOSPI_EX_K200,EPI_CONF_HALF_TOP3,0,148,1.0470176519800698,0.09055338056996698,-0.0713451031120419,2.3412162162162162
CONF_2023_2024,KOSPI_EX_K200,EPI_CONF_HALF_TOP3,0,97,0.5976072525792755,0.050690035754912044,-0.08065848196850434,3.3340206185567007
STRESS_2025,KOSPI_EX_K200,EPI_CONF_HALF_TOP3,0,49,1.2610120360780799,0.10821670076619716,-0.050294119068308385,3.8571428571428568
STRESS_2026,KOSPI_EX_K200,EPI_CONF_HALF_TOP3,0,29,1.5256792594545883,0.15736298493676193,-0.04097501968683892,3.258620689655173
