date,period,universe,confidence_quintile,rank_ic,top3_minus_ew8,bottom2_veto_minus_ew8
2020-05-18,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,0.19047619047619052,0.027201892213788686,-0.007030055203378167
2020-05-25,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,0.5714285714285715,0.005889526661867992,0.006888179375012309
2020-06-01,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,4,0.7380952380952381,0.017461203844758955,0.012248911486342771
2020-06-08,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,4,-0.4523809523809524,-0.0029928765587585223,-0.009514927916465857
2020-06-15,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,0.5952380952380953,0.015533877374673044,0.015119025357616927
2020-06-22,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.1666666666666667,-0.0018217516204353957,-0.01186491213612281
2020-06-29,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,0.5476190476190477,0.004728140169668909,0.005586261892298726
2020-07-06,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,0.3571428571428572,0.007281800369609666,-0.0021025530138353826
2020-07-13,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,0.3333333333333334,-0.00013935441894426053,0.01953786965147665
2020-07-20,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.4523809523809524,-0.012542576827930009,-0.014223158450483026
2020-07-27,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,0.5714285714285715,0.0387137771351211,0.00725102496835759
2020-08-03,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,0.07142857142857144,0.00427098480453648,0.0146226211291436
2020-08-10,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,0.0,-0.00238606743540422,0.004091403106230847
2020-08-18,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,-0.7619047619047621,-0.010381079837344572,-0.014097543695260869
2020-08-25,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,0.8333333333333335,0.03313535381934806,0.020079183699091938
2020-09-01,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,0.261904761904762,0.006043770837042925,0.006371847990055177
2020-09-08,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.11904761904761905,-0.0075626662981125095,-0.004142966941672593
2020-09-15,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.523809523809524,-0.012141573066596571,-0.00231216568186377
2020-09-22,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,-0.3333333333333334,-0.0034001127024256457,-0.0025361554016804285
2020-09-29,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,0.880952380952381,0.016665403941892275,0.011206535004994692
2020-10-12,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,3,0.3571428571428572,0.017169058218867793,-0.0014077836696187746
2020-10-19,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,5,0.5952380952380953,0.023559396176838842,0.015234724440985864
2020-10-26,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,0.4523809523809524,0.02461433053954687,0.008193565068284829
2020-11-02,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,-0.8571428571428572,-0.03733287295962626,-0.015348190634037034
2020-11-09,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.880952380952381,-0.01774850523950058,-0.0062157471682438604
2020-11-16,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,0.9761904761904763,0.04312102283358134,0.021703129405554366
2020-11-23,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,0.6190476190476191,0.005457246002135438,0.005787482252368222
2020-11-30,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,3,-0.6190476190476191,-0.009791007278400645,-0.003989380914480513
2020-12-07,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,0.4761904761904762,0.007493765115226109,0.001477990707784575
2020-12-14,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,3,0.2380952380952381,-0.005735399984731225,0.001303663976281992
2020-12-21,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,-0.14285714285714288,-0.0073367330910609554,5.838112191744807e-06
2020-12-29,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,0.4285714285714286,0.018619750183918295,0.0018100886160793421
2021-01-07,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,0.261904761904762,0.015867065489378968,-0.001059157310748549
2021-01-14,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,0.2142857142857143,0.000987636098847492,0.0010112071419111747
2021-01-21,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,3,0.7857142857142858,0.014639568901646409,0.004945946945853794
2021-01-28,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,3,-0.2142857142857143,-0.010985742211050038,0.0002448002365852452
2021-02-04,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,5,0.38095238095238104,0.0033104858233295904,0.00014894039779919134
2021-02-15,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,5,0.2380952380952381,-0.002308684416667299,0.007796554337161169
2021-02-22,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,-0.14285714285714288,-0.01889374265776447,0.006306257187095512
2021-03-02,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.07142857142857144,0.001438635379566274,0.0028442406782766584
2021-03-09,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,5,0.5952380952380953,0.02208615881948284,0.011077131873074592
2021-03-16,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,-0.261904761904762,-0.0037269665016676622,-0.007115131096236061
2021-03-23,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,0.023809523809523815,-0.0014265372355549543,0.0012018612198436574
2021-03-30,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,-0.3571428571428572,-0.009696441757510442,0.0001465809507650729
2021-04-06,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,0.28571428571428575,0.0026871265315726936,0.0004441561201459585
2021-04-13,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,0.38095238095238104,0.011972019587636946,0.004637945328730197
2021-04-20,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,0.3571428571428572,0.0035594716316458847,0.002206530480314238
2021-04-27,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,3,-0.023809523809523815,0.0030579587508959283,-0.004065878391989122
2021-05-04,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.4761904761904762,-0.015554695753859118,-0.0050396811993433845
2021-05-12,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,0.28571428571428575,-0.0036118579067978135,0.004013619496953783
2021-05-20,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,-0.3571428571428572,-0.0024317801718763653,0.0020019539441457007
2021-05-27,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,-0.09523809523809526,-0.006497272948432841,0.0015706571689522416
2021-06-03,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,0.4285714285714286,0.007658512755451599,0.00039747766410739985
2021-06-10,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,3,0.28571428571428575,0.0039193861874424665,0.004188416976432266
2021-06-17,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,4,-0.09523809523809526,-0.0017037937111984585,-0.002241698836067292
2021-06-24,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.19047619047619052,-0.0004932881145694634,0.0003842671906057159
2021-07-01,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.5000000000000001,-0.005360902148581087,0.0007980458060255955
2021-07-08,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,3,-0.523809523809524,-0.0003381945498185865,-0.0037794274605965038
2021-07-15,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,-0.04761904761904763,-0.004914216535478033,0.005187104894211
2021-07-22,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,0.09523809523809526,0.001075983498742708,0.002146371699427858
2021-07-29,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,5,0.1666666666666667,0.0011431946383898828,0.0032123104997462005
2021-08-05,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,3,0.7380952380952381,0.004382091531852,0.003228362119889633
2021-08-12,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,4,0.6666666666666669,0.015041780624925942,0.006053981171876674
2021-08-20,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,0.5952380952380953,0.003036157186272351,0.0014014266216797553
2021-08-27,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,4,-0.6190476190476191,-0.013171379982848487,-0.002236450289280337
2021-09-03,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.261904761904762,-0.005563614389801688,-0.004158364686420954
2021-09-10,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.14285714285714288,-0.0018368008624915742,0.00040303847544812324
2021-09-17,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,0.4761904761904762,0.00498589484753125,0.0026039577161453002
2021-09-29,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,3,-0.3333333333333334,0.001791697970113736,-0.0014062479033780627
2021-10-07,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,0.4523809523809524,0.005234666483794259,0.0031154783611781756
2021-10-15,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.19047619047619052,-0.006133978634246967,-0.0020276566145503837
2021-10-22,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,0.28571428571428575,0.002512734112071105,0.00035404285867725663
2021-10-29,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,3,-0.30952380952380953,0.001442458307538973,-0.0039346568460197524
2021-11-05,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,4,0.1666666666666667,0.004068293129255612,-0.004051121090510803
2021-11-12,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,3,0.4047619047619048,0.01674442639539505,0.004042599771102248
2021-11-19,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,4,0.7142857142857144,0.02705675628762856,0.017074814257893714
2021-11-26,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,3,-0.4285714285714286,-0.009998737838898054,-0.007447438756746553
2021-12-03,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,-0.5000000000000001,-0.013399684728843581,-0.005965873471052432
2021-12-10,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.30952380952380953,-0.004854411911426267,-0.00789584094569742
2021-12-17,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,4,0.0,-0.0019488357133235499,-0.0015665828600901497
2021-12-24,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,4,-0.11904761904761905,0.0027450955094544286,0.0027813478418044456
2022-01-03,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,3,-0.2380952380952381,-0.013549966772128483,-0.0017076392074070333
