sample,universe,cost_bp,strategy,base_cagr,strategy_cagr,delta_cagr,base_sharpe,strategy_sharpe,delta_sharpe,base_mdd,strategy_mdd,delta_mdd,base_ann_turnover,strategy_ann_turnover,delta_ann_turnover,revision_exposure,rminus_decision_n
POST_2023_2024,KOSPI_EX_K200,60,RMINUS_TO_REV_POS,-0.15391375784669725,-0.14347797017003816,0.010435787676659092,-0.6282767221537877,-0.5946543642297528,0.033622357924034896,-0.532539741559152,-0.5393624735569519,-0.0068227319977999246,14.394406448538797,20.84185920231999,6.447452753781194,0.17525773195876287,30
POST_2023_2024,KOSPI_KOSDAQ_ALL,0,RMINUS_TO_REV_ANY,-0.0733362583588042,0.03740168743624461,0.11073794579504881,-0.20862256213482375,0.27674748477124145,0.4853700469060652,-0.3729519203743643,-0.29518880161333194,0.07776311876103237,14.11482270308845,18.962511517386595,4.847688814298145,0.27835051546391754,27
POST_2023_2024,KOSPI_KOSDAQ_ALL,0,RMINUS_TO_REV_POS,-0.0733362583588042,-0.023207428860360424,0.05012882949844377,-0.20862256213482375,0.013626316913014845,0.2222488790478386,-0.3729519203743643,-0.33730819569452997,0.03564372467983434,14.11482270308845,17.54043671015799,3.425614007069541,0.08247422680412371,27
POST_2023_2024,KOSPI_KOSDAQ_ALL,30,RMINUS_TO_REV_ANY,-0.11177260911916864,-0.02000733883675676,0.09176527028241188,-0.39080318402074066,0.02235750990135837,0.41316069392209903,-0.40525681374435596,-0.33990165308482334,0.06535516065953262,14.11482270308845,18.962511517386595,4.847688814298145,0.27835051546391754,27
POST_2023_2024,KOSPI_KOSDAQ_ALL,30,RMINUS_TO_REV_POS,-0.11177260911916864,-0.07331118569389361,0.03846142342527503,-0.39080318402074066,-0.2156468284178326,0.17515635560290807,-0.40525681374435596,-0.3799347024183951,0.02532211132596085,14.11482270308845,17.54043671015799,3.425614007069541,0.08247422680412371,27
POST_2023_2024,KOSPI_KOSDAQ_ALL,60,RMINUS_TO_REV_ANY,-0.14864624876451538,-0.07431710801595492,0.07432914074856045,-0.5731685533537749,-0.2321401695780338,0.34102838377574113,-0.43932302433296877,-0.38870204016143173,0.05062098417153704,14.11482270308845,18.962511517386595,4.847688814298145,0.27835051546391754,27
POST_2023_2024,KOSPI_KOSDAQ_ALL,60,RMINUS_TO_REV_POS,-0.14864624876451538,-0.1209069273310247,0.02773932143349067,-0.5731685533537749,-0.44475594550071085,0.12841260785306408,-0.43932302433296877,-0.42192476980213245,0.01739825453083632,14.11482270308845,17.54043671015799,3.425614007069541,0.08247422680412371,27
POST_2023_PLUS,K200,0,RMINUS_TO_REV_ANY,0.1884824684014319,0.281214918835053,0.0927324504336211,0.7299337811613664,0.9787846301977486,0.24885084903638222,-0.33971943655191994,-0.3685820652342756,-0.028862628682355673,13.905053802134923,16.978214994606844,3.0731611924719218,0.2342857142857143,41
POST_2023_PLUS,K200,0,RMINUS_TO_REV_POS,0.1884824684014319,0.24008822467922242,0.051605756277790515,0.7299337811613664,0.8762641352174373,0.14633035405607087,-0.33971943655191994,-0.3400104135088565,-0.0002909769569365839,13.905053802134923,15.599665302581121,1.6946115004461983,0.06857142857142857,41
POST_2023_PLUS,K200,30,RMINUS_TO_REV_ANY,0.13990347775409306,0.2175518286626823,0.07764835090858924,0.5898201386753673,0.8085369887002531,0.21871685002488583,-0.3440451987305706,-0.3733749921407399,-0.02932979341016928,13.905053802134923,16.978214994606844,3.0731611924719218,0.2342857142857143,41
POST_2023_PLUS,K200,30,RMINUS_TO_REV_POS,0.13990347775409306,0.18335975227443946,0.043456274520346394,0.5898201386753673,0.7180475987627769,0.1282274600874096,-0.3440451987305706,-0.34553870186607816,-0.0014935031355075568,13.905053802134923,15.599665302581121,1.6946115004461983,0.06857142857142857,41
POST_2023_PLUS,K200,60,RMINUS_TO_REV_ANY,0.09326963018408896,0.15697794862646597,0.06370831844237701,0.44940023099394366,0.6378127105589063,0.18841247956496265,-0.3483464236668089,-0.3781370757105551,-0.029790652043746202,13.905053802134923,16.978214994606844,3.0731611924719218,0.2342857142857143,41
POST_2023_PLUS,K200,60,RMINUS_TO_REV_POS,0.09326963018408896,0.12916778009753727,0.03589814991344831,0.44940023099394366,0.5594610777490839,0.11006084675514027,-0.3483464236668089,-0.351027889015902,-0.0026814653490930818,13.905053802134923,15.599665302581121,1.6946115004461983,0.06857142857142857,41
POST_2023_PLUS,KOSDAQ,0,RMINUS_TO_REV_ANY,0.09219746081642888,0.2001520596139572,0.10795459879752833,0.4221822737852176,0.6716204078446962,0.24943813405947862,-0.5130656910290213,-0.5058490499820516,0.0072166410469697295,14.06961166159495,20.58139146285783,6.511779801262881,0.2571428571428571,45
POST_2023_PLUS,KOSDAQ,0,RMINUS_TO_REV_POS,0.09219746081642888,0.15130568747513928,0.059108226658710405,0.4221822737852176,0.5609320970788475,0.1387498232936299,-0.5130656910290213,-0.513065691029021,3.3306690738754696e-16,14.06961166159495,17.18901608457889,3.119404422983939,0.09714285714285714,45
POST_2023_PLUS,KOSDAQ,30,RMINUS_TO_REV_ANY,0.047037250715587176,0.1282337724945788,0.08119652177899161,0.3120022545470008,0.5082615209197322,0.1962592663727314,-0.5163755307148854,-0.5111871834478976,0.005188347266987803,14.06961166159495,20.58139146285783,6.511779801262881,0.2571428571428571,45
POST_2023_PLUS,KOSDAQ,30,RMINUS_TO_REV_POS,0.047037250715587176,0.09340385259640316,0.04636660188081598,0.3120022545470008,0.42539313042238786,0.11339087587538704,-0.5163755307148854,-0.5163755307148852,2.220446049250313e-16,14.06961166159495,17.18901608457889,3.119404422983939,0.09714285714285714,45
POST_2023_PLUS,KOSDAQ,60,RMINUS_TO_REV_ANY,0.0037074631623021936,0.060517270234937026,0.05680980707263483,0.20169850519971425,0.3450419971363485,0.14334349193663423,-0.5196654673283291,-0.516475729111948,0.0031897382163811328,14.06961166159495,20.58139146285783,6.511779801262881,0.2571428571428571,45
POST_2023_PLUS,KOSDAQ,60,RMINUS_TO_REV_POS,0.0037074631623021936,0.03834326132168453,0.034635798159382336,0.20169850519971425,0.2897567252942099,0.08805822009449568,-0.5196654673283291,-0.5196654673283292,-1.1102230246251565e-16,14.06961166159495,17.18901608457889,3.119404422983939,0.09714285714285714,45
