date,universe,eligible_n,mom_n,rev_n,mom_rev_overlap_n,mom_rev_overlap_share_mom
2017-07-05,KOSPI_ALL,344,66,51,27,0.4090909090909091
2017-07-05,KOSDAQ,167,31,21,12,0.3870967741935484
2017-07-05,KOSPI_KOSDAQ_ALL,511,98,72,37,0.37755102040816324
2017-07-05,KOSDAQ_PLUS_KOSPI_EX_K200,319,60,38,19,0.31666666666666665
2017-07-12,K200,193,37,33,18,0.4864864864864865
2017-07-12,KOSPI_EX_K200,152,28,17,7,0.25
2017-07-12,KOSPI_ALL,345,66,50,25,0.3787878787878788
2017-07-12,KOSDAQ,161,30,20,11,0.36666666666666664
2017-07-12,KOSPI_KOSDAQ_ALL,506,96,70,36,0.375
2017-07-12,KOSDAQ_PLUS_KOSPI_EX_K200,313,58,37,18,0.3103448275862069
2017-07-19,K200,193,37,33,18,0.4864864864864865
2017-07-19,KOSPI_EX_K200,152,28,17,7,0.25
2017-07-19,KOSPI_ALL,345,66,51,26,0.3939393939393939
2017-07-19,KOSDAQ,168,31,20,13,0.41935483870967744
2017-07-19,KOSPI_KOSDAQ_ALL,513,97,72,36,0.3711340206185567
2017-07-19,KOSDAQ_PLUS_KOSPI_EX_K200,320,59,38,20,0.3389830508474576
2017-07-26,K200,193,37,33,17,0.4594594594594595
2017-07-26,KOSPI_EX_K200,155,29,18,8,0.27586206896551724
2017-07-26,KOSPI_ALL,348,66,51,25,0.3787878787878788
2017-07-26,KOSDAQ,169,31,21,10,0.3225806451612903
2017-07-26,KOSPI_KOSDAQ_ALL,517,98,72,36,0.3673469387755102
2017-07-26,KOSDAQ_PLUS_KOSPI_EX_K200,324,60,39,18,0.3
2017-08-02,K200,192,37,33,20,0.5405405405405406
2017-08-02,KOSPI_EX_K200,157,29,17,7,0.2413793103448276
2017-08-02,KOSPI_ALL,349,67,51,26,0.3880597014925373
2017-08-02,KOSDAQ,167,31,20,8,0.25806451612903225
2017-08-02,KOSPI_KOSDAQ_ALL,516,98,71,34,0.3469387755102041
2017-08-02,KOSDAQ_PLUS_KOSPI_EX_K200,324,60,38,16,0.26666666666666666
2017-08-09,K200,192,37,34,20,0.5405405405405406
2017-08-09,KOSPI_EX_K200,152,28,17,6,0.21428571428571427
2017-08-09,KOSPI_ALL,344,66,52,28,0.42424242424242425
2017-08-09,KOSDAQ,160,30,20,9,0.3
2017-08-09,KOSPI_KOSDAQ_ALL,504,96,72,37,0.3854166666666667
2017-08-09,KOSDAQ_PLUS_KOSPI_EX_K200,312,58,38,18,0.3103448275862069
2017-08-17,K200,192,37,34,17,0.4594594594594595
2017-08-17,KOSPI_EX_K200,154,29,18,6,0.20689655172413793
2017-08-17,KOSPI_ALL,346,66,52,21,0.3181818181818182
2017-08-17,KOSDAQ,161,30,20,7,0.23333333333333334
2017-08-17,KOSPI_KOSDAQ_ALL,507,96,72,24,0.25
2017-08-17,KOSDAQ_PLUS_KOSPI_EX_K200,315,59,38,13,0.22033898305084745
2017-08-24,K200,192,37,34,17,0.4594594594594595
2017-08-24,KOSPI_EX_K200,157,29,18,7,0.2413793103448276
2017-08-24,KOSPI_ALL,349,67,52,22,0.3283582089552239
2017-08-24,KOSDAQ,165,31,20,8,0.25806451612903225
2017-08-24,KOSPI_KOSDAQ_ALL,514,98,72,32,0.32653061224489793
2017-08-24,KOSDAQ_PLUS_KOSPI_EX_K200,322,60,38,14,0.23333333333333334
2017-08-31,K200,192,37,33,13,0.35135135135135137
2017-08-31,KOSPI_EX_K200,158,30,18,5,0.16666666666666666
2017-08-31,KOSPI_ALL,350,67,52,17,0.2537313432835821
2017-08-31,KOSDAQ,167,31,21,9,0.2903225806451613
2017-08-31,KOSPI_KOSDAQ_ALL,517,98,73,25,0.25510204081632654
2017-08-31,KOSDAQ_PLUS_KOSPI_EX_K200,325,61,39,14,0.22950819672131148
2017-09-07,K200,192,37,33,10,0.2702702702702703
2017-09-07,KOSPI_EX_K200,152,28,18,7,0.25
2017-09-07,KOSPI_ALL,344,66,51,17,0.25757575757575757
2017-09-07,KOSDAQ,168,31,20,9,0.2903225806451613
2017-09-07,KOSPI_KOSDAQ_ALL,512,97,71,27,0.27835051546391754
2017-09-07,KOSDAQ_PLUS_KOSPI_EX_K200,320,60,38,16,0.26666666666666666
2017-09-14,K200,192,37,33,13,0.35135135135135137
2017-09-14,KOSPI_EX_K200,153,29,17,6,0.20689655172413793
2017-09-14,KOSPI_ALL,345,66,51,18,0.2727272727272727
2017-09-14,KOSDAQ,167,31,20,10,0.3225806451612903
2017-09-14,KOSPI_KOSDAQ_ALL,512,97,71,29,0.29896907216494845
2017-09-14,KOSDAQ_PLUS_KOSPI_EX_K200,320,60,38,18,0.3
2017-09-21,K200,192,37,33,15,0.40540540540540543
2017-09-21,KOSPI_EX_K200,147,27,17,4,0.14814814814814814
2017-09-21,KOSPI_ALL,339,65,51,18,0.27692307692307694
2017-09-21,KOSDAQ,164,30,20,9,0.3
2017-09-21,KOSPI_KOSDAQ_ALL,503,96,71,29,0.3020833333333333
2017-09-21,KOSDAQ_PLUS_KOSPI_EX_K200,311,58,37,14,0.2413793103448276
2017-09-28,K200,192,37,33,16,0.43243243243243246
2017-09-28,KOSPI_EX_K200,146,27,16,6,0.2222222222222222
2017-09-28,KOSPI_ALL,338,65,50,20,0.3076923076923077
2017-09-28,KOSDAQ,155,28,18,10,0.35714285714285715
2017-09-28,KOSPI_KOSDAQ_ALL,493,94,69,32,0.3404255319148936
2017-09-28,KOSDAQ_PLUS_KOSPI_EX_K200,301,56,35,17,0.30357142857142855
2017-10-13,K200,192,37,33,11,0.2972972972972973
2017-10-13,KOSPI_EX_K200,145,27,16,5,0.18518518518518517
2017-10-13,KOSPI_ALL,337,65,50,15,0.23076923076923078
2017-10-13,KOSDAQ,157,29,19,9,0.3103448275862069
2017-10-13,KOSPI_KOSDAQ_ALL,494,94,69,23,0.24468085106382978
2017-10-13,KOSDAQ_PLUS_KOSPI_EX_K200,302,57,35,11,0.19298245614035087
2017-10-20,K200,192,37,33,15,0.40540540540540543
2017-10-20,KOSPI_EX_K200,147,28,15,3,0.10714285714285714
2017-10-20,KOSPI_ALL,339,65,49,18,0.27692307692307694
2017-10-20,KOSDAQ,158,29,19,8,0.27586206896551724
2017-10-20,KOSPI_KOSDAQ_ALL,497,95,68,27,0.28421052631578947
2017-10-20,KOSDAQ_PLUS_KOSPI_EX_K200,305,57,34,13,0.22807017543859648
2017-10-27,K200,192,37,33,10,0.2702702702702703
2017-10-27,KOSPI_EX_K200,148,28,16,3,0.10714285714285714
2017-10-27,KOSPI_ALL,340,66,50,13,0.19696969696969696
2017-10-27,KOSDAQ,168,31,20,7,0.22580645161290322
2017-10-27,KOSPI_KOSDAQ_ALL,508,97,70,18,0.18556701030927836
2017-10-27,KOSDAQ_PLUS_KOSPI_EX_K200,316,59,36,10,0.1694915254237288
2017-11-03,K200,192,37,33,11,0.2972972972972973
2017-11-03,KOSPI_EX_K200,152,29,16,3,0.10344827586206896
2017-11-03,KOSPI_ALL,344,66,50,17,0.25757575757575757
2017-11-03,KOSDAQ,177,33,21,11,0.3333333333333333
2017-11-03,KOSPI_KOSDAQ_ALL,521,99,71,25,0.25252525252525254
2017-11-03,KOSDAQ_PLUS_KOSPI_EX_K200,329,62,38,14,0.22580645161290322
2017-11-10,K200,192,37,33,18,0.4864864864864865
2017-11-10,KOSPI_EX_K200,155,29,17,5,0.1724137931034483
2017-11-10,KOSPI_ALL,347,67,51,24,0.3582089552238806
2017-11-10,KOSDAQ,180,33,21,10,0.30303030303030304
2017-11-10,KOSPI_KOSDAQ_ALL,527,101,72,33,0.32673267326732675
2017-11-10,KOSDAQ_PLUS_KOSPI_EX_K200,335,63,39,16,0.25396825396825395
2017-11-17,K200,192,37,33,17,0.4594594594594595
2017-11-17,KOSPI_EX_K200,152,29,17,8,0.27586206896551724
2017-11-17,KOSPI_ALL,344,66,50,26,0.3939393939393939
2017-11-17,KOSDAQ,195,36,23,7,0.19444444444444445
2017-11-17,KOSPI_KOSDAQ_ALL,539,103,73,28,0.27184466019417475
2017-11-17,KOSDAQ_PLUS_KOSPI_EX_K200,347,65,40,12,0.18461538461538463
2017-11-24,K200,192,37,33,16,0.43243243243243246
2017-11-24,KOSPI_EX_K200,150,28,17,6,0.21428571428571427
2017-11-24,KOSPI_ALL,342,66,50,25,0.3787878787878788
2017-11-24,KOSDAQ,200,37,24,7,0.1891891891891892
2017-11-24,KOSPI_KOSDAQ_ALL,542,103,74,27,0.2621359223300971
2017-11-24,KOSDAQ_PLUS_KOSPI_EX_K200,350,65,41,14,0.2153846153846154
2017-12-01,K200,192,37,33,16,0.43243243243243246
2017-12-01,KOSPI_EX_K200,150,28,18,8,0.2857142857142857
2017-12-01,KOSPI_ALL,342,66,51,23,0.3484848484848485
2017-12-01,KOSDAQ,195,36,23,6,0.16666666666666666
2017-12-01,KOSPI_KOSDAQ_ALL,537,102,74,25,0.24509803921568626
2017-12-01,KOSDAQ_PLUS_KOSPI_EX_K200,345,64,41,13,0.203125
2017-12-08,K200,192,37,33,14,0.3783783783783784
2017-12-08,KOSPI_EX_K200,152,28,17,8,0.2857142857142857
2017-12-08,KOSPI_ALL,344,66,51,20,0.30303030303030304
2017-12-08,KOSDAQ,193,35,22,5,0.14285714285714285
2017-12-08,KOSPI_KOSDAQ_ALL,537,101,74,24,0.2376237623762376
2017-12-08,KOSDAQ_PLUS_KOSPI_EX_K200,345,64,40,10,0.15625
2017-12-15,K200,192,37,33,11,0.2972972972972973
2017-12-15,KOSPI_EX_K200,154,29,18,7,0.2413793103448276
2017-12-15,KOSPI_ALL,346,66,51,20,0.30303030303030304
2017-12-15,KOSDAQ,199,36,23,5,0.1388888888888889
2017-12-15,KOSPI_KOSDAQ_ALL,545,103,75,22,0.21359223300970873
2017-12-15,KOSDAQ_PLUS_KOSPI_EX_K200,353,65,42,11,0.16923076923076924
2017-12-22,K200,192,37,34,11,0.2972972972972973
2017-12-22,KOSPI_EX_K200,150,28,17,7,0.25
2017-12-22,KOSPI_ALL,342,65,51,18,0.27692307692307694
2017-12-22,KOSDAQ,196,36,25,3,0.08333333333333333
2017-12-22,KOSPI_KOSDAQ_ALL,538,102,76,23,0.22549019607843138
2017-12-22,KOSDAQ_PLUS_KOSPI_EX_K200,346,64,42,10,0.15625
2018-01-03,K200,192,37,33,9,0.24324324324324326
2018-01-03,KOSPI_EX_K200,156,29,16,5,0.1724137931034483
2018-01-03,KOSPI_ALL,348,67,50,18,0.26865671641791045
2018-01-03,KOSDAQ,204,38,24,6,0.15789473684210525
2018-01-03,KOSPI_KOSDAQ_ALL,552,105,74,28,0.26666666666666666
2018-01-03,KOSDAQ_PLUS_KOSPI_EX_K200,360,67,41,11,0.16417910447761194
2018-01-10,K200,193,37,33,11,0.2972972972972973
2018-01-10,KOSPI_EX_K200,160,30,17,5,0.16666666666666666
2018-01-10,KOSPI_ALL,353,67,51,17,0.2537313432835821
2018-01-10,KOSDAQ,211,39,24,3,0.07692307692307693
2018-01-10,KOSPI_KOSDAQ_ALL,564,107,76,23,0.21495327102803738
2018-01-10,KOSDAQ_PLUS_KOSPI_EX_K200,371,69,42,9,0.13043478260869565
2018-01-17,K200,193,37,33,12,0.32432432432432434
2018-01-17,KOSPI_EX_K200,165,31,16,4,0.12903225806451613
2018-01-17,KOSPI_ALL,358,68,50,17,0.25
2018-01-17,KOSDAQ,214,39,24,5,0.1282051282051282
2018-01-17,KOSPI_KOSDAQ_ALL,572,108,74,22,0.2037037037037037
2018-01-17,KOSDAQ_PLUS_KOSPI_EX_K200,379,70,41,10,0.14285714285714285
2018-01-24,K200,193,37,33,13,0.35135135135135137
2018-01-24,KOSPI_EX_K200,170,32,17,3,0.09375
2018-01-24,KOSPI_ALL,363,69,50,17,0.2463768115942029
2018-01-24,KOSDAQ,218,40,25,2,0.05
2018-01-24,KOSPI_KOSDAQ_ALL,581,110,76,19,0.17272727272727273
2018-01-24,KOSDAQ_PLUS_KOSPI_EX_K200,388,72,42,10,0.1388888888888889
2018-01-31,K200,193,37,33,13,0.35135135135135137
2018-01-31,KOSPI_EX_K200,177,33,17,4,0.12121212121212122
2018-01-31,KOSPI_ALL,370,71,51,14,0.19718309859154928
2018-01-31,KOSDAQ,221,41,25,3,0.07317073170731707
2018-01-31,KOSPI_KOSDAQ_ALL,591,112,76,18,0.16071428571428573
2018-01-31,KOSDAQ_PLUS_KOSPI_EX_K200,398,74,43,7,0.0945945945945946
2018-02-07,K200,193,37,33,14,0.3783783783783784
2018-02-07,KOSPI_EX_K200,166,31,17,4,0.12903225806451613
2018-02-07,KOSPI_ALL,359,68,51,15,0.22058823529411764
2018-02-07,KOSDAQ,204,38,24,4,0.10526315789473684
2018-02-07,KOSPI_KOSDAQ_ALL,563,106,75,18,0.16981132075471697
2018-02-07,KOSDAQ_PLUS_KOSPI_EX_K200,370,69,41,10,0.14492753623188406
2018-02-14,K200,193,37,33,9,0.24324324324324326
2018-02-14,KOSPI_EX_K200,164,30,17,6,0.2
2018-02-14,KOSPI_ALL,357,68,50,11,0.16176470588235295
2018-02-14,KOSDAQ,211,39,24,6,0.15384615384615385
2018-02-14,KOSPI_KOSDAQ_ALL,568,107,75,21,0.19626168224299065
2018-02-14,KOSDAQ_PLUS_KOSPI_EX_K200,375,69,41,13,0.18840579710144928
2018-02-23,K200,193,37,33,11,0.2972972972972973
2018-02-23,KOSPI_EX_K200,166,31,16,4,0.12903225806451613
2018-02-23,KOSPI_ALL,359,68,49,13,0.19117647058823528
2018-02-23,KOSDAQ,222,41,24,7,0.17073170731707318
2018-02-23,KOSPI_KOSDAQ_ALL,581,110,73,21,0.19090909090909092
2018-02-23,KOSDAQ_PLUS_KOSPI_EX_K200,388,72,40,14,0.19444444444444445
2018-03-05,K200,193,37,33,11,0.2972972972972973
2018-03-05,KOSPI_EX_K200,160,30,16,6,0.2
2018-03-05,KOSPI_ALL,353,67,49,18,0.26865671641791045
2018-03-05,KOSDAQ,213,40,23,6,0.15
2018-03-05,KOSPI_KOSDAQ_ALL,566,107,72,22,0.205607476635514
2018-03-05,KOSDAQ_PLUS_KOSPI_EX_K200,373,70,39,12,0.17142857142857143
2018-03-12,K200,193,37,33,12,0.32432432432432434
2018-03-12,KOSPI_EX_K200,166,31,16,7,0.22580645161290322
2018-03-12,KOSPI_ALL,359,68,49,18,0.2647058823529412
2018-03-12,KOSDAQ,227,42,24,5,0.11904761904761904
2018-03-12,KOSPI_KOSDAQ_ALL,586,111,74,24,0.21621621621621623
2018-03-12,KOSDAQ_PLUS_KOSPI_EX_K200,393,73,40,12,0.1643835616438356
