sample,factor_universe,market_target,horizon,support_state,leader_strength_cut,support_cut,n_high,n_low,high_support_mean,low_support_mean,high_minus_low,diff_tstat,high_positive_share,low_positive_share
OOS,KOSPI_EX_K200,KOSPI_EX_K200,5,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,9,11,0.007581701955870274,-0.015958485093464682,0.023540187049334957,1.7308170540197247,0.5555555555555556,0.36363636363636365
TRAIN,KOSPI_EX_K200,KOSPI_EX_K200,20,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,12,15,0.0011884365571923651,-0.025439375776242057,0.026627812333434423,1.3677612416484408,0.4166666666666667,0.4
OOS,KOSPI_EX_K200,KOSPI_EX_K200,20,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,9,11,0.03653828508151849,-0.02473055742217155,0.06126884250369004,2.6575238974611053,0.7777777777777778,0.36363636363636365
TRAIN,KOSPI_EX_K200,KOSPI_ALL,1,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,12,15,0.004010190329664157,-0.0004095522107552446,0.004419742540419402,1.3382973565875138,0.8333333333333334,0.4666666666666667
OOS,KOSPI_EX_K200,KOSPI_ALL,1,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,10,11,0.007259320471506342,-0.026886298434711284,0.034145618906217624,2.270884663990859,0.8,0.36363636363636365
TRAIN,KOSPI_EX_K200,KOSPI_ALL,5,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,12,15,-0.0053149527965062685,0.0058100038536657095,-0.011124956650171977,-1.0686804025372734,0.3333333333333333,0.6666666666666666
OOS,KOSPI_EX_K200,KOSPI_ALL,5,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,9,11,0.0007857657378868457,-0.015322933129352463,0.01610869886723931,0.9117886913776215,0.6666666666666666,0.36363636363636365
TRAIN,KOSPI_EX_K200,KOSPI_ALL,20,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,12,15,-0.005082383397793481,-0.009316144468384765,0.0042337610705912845,0.31141233476231506,0.4166666666666667,0.3333333333333333
OOS,KOSPI_EX_K200,KOSPI_ALL,20,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,9,11,0.04426860364681177,-0.02393729085374685,0.06820589450055861,1.8624743426037382,0.7777777777777778,0.45454545454545453
TRAIN,KOSPI_EX_K200,KOSDAQ,1,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,12,15,0.0036362960765722653,-0.0009123057438478399,0.004548601820420105,1.142105463126707,0.5833333333333334,0.4
