universe,sample,factor_a,factor_b,corr
KOSDAQ,TRAIN,PRIVATE_FLOW,FOREIGN_FLOW,-0.02212852078915699
KOSDAQ,TRAIN,PRIVATE_FLOW,MOM12_1,-0.01503988027441479
KOSDAQ,TRAIN,PRIVATE_FLOW,MOM1M,0.15905142727900032
KOSDAQ,TRAIN,PRIVATE_FLOW,OP12_REV,-0.05170499726828638
KOSDAQ,TRAIN,PRIVATE_FLOW,OPFY1_REV,-0.003614611176237517
KOSDAQ,TRAIN,PRIVATE_FLOW,PBR12MF,0.1608285466912364
KOSDAQ,TRAIN,PRIVATE_FLOW,PER12MF,0.2304136379148481
KOSDAQ,TRAIN,PRIVATE_FLOW,PRIVATE_FLOW,1.0
KOSDAQ,OOS,FOREIGN_FLOW,FOREIGN_FLOW,1.0
KOSDAQ,OOS,FOREIGN_FLOW,MOM12_1,0.061227373292107014
KOSDAQ,OOS,FOREIGN_FLOW,MOM1M,0.033039606624183766
KOSDAQ,OOS,FOREIGN_FLOW,OP12_REV,0.11878489875132396
KOSDAQ,OOS,FOREIGN_FLOW,OPFY1_REV,0.21659867143943307
KOSDAQ,OOS,FOREIGN_FLOW,PBR12MF,0.06796074084516947
KOSDAQ,OOS,FOREIGN_FLOW,PER12MF,0.08278804599494824
KOSDAQ,OOS,FOREIGN_FLOW,PRIVATE_FLOW,-0.1099051852045923
KOSDAQ,OOS,MOM12_1,FOREIGN_FLOW,0.061227373292107014
KOSDAQ,OOS,MOM12_1,MOM12_1,1.0
KOSDAQ,OOS,MOM12_1,MOM1M,0.18737078579602343
KOSDAQ,OOS,MOM12_1,OP12_REV,0.27276589867284134
KOSDAQ,OOS,MOM12_1,OPFY1_REV,0.23863243030830852
KOSDAQ,OOS,MOM12_1,PBR12MF,-0.49031617933950783
KOSDAQ,OOS,MOM12_1,PER12MF,-0.3293474365625573
KOSDAQ,OOS,MOM12_1,PRIVATE_FLOW,-0.19527794507003782
KOSDAQ,OOS,MOM1M,FOREIGN_FLOW,0.033039606624183766
KOSDAQ,OOS,MOM1M,MOM12_1,0.18737078579602343
KOSDAQ,OOS,MOM1M,MOM1M,1.0
KOSDAQ,OOS,MOM1M,OP12_REV,0.12433692583462491
KOSDAQ,OOS,MOM1M,OPFY1_REV,0.25158876257058477
KOSDAQ,OOS,MOM1M,PBR12MF,-0.06815276375911021
KOSDAQ,OOS,MOM1M,PER12MF,-0.0003843384958954675
KOSDAQ,OOS,MOM1M,PRIVATE_FLOW,0.18494625540315632
KOSDAQ,OOS,OP12_REV,FOREIGN_FLOW,0.11878489875132396
KOSDAQ,OOS,OP12_REV,MOM12_1,0.27276589867284134
KOSDAQ,OOS,OP12_REV,MOM1M,0.12433692583462491
KOSDAQ,OOS,OP12_REV,OP12_REV,1.0
KOSDAQ,OOS,OP12_REV,OPFY1_REV,0.3830516730726801
KOSDAQ,OOS,OP12_REV,PBR12MF,-0.38396973868892786
KOSDAQ,OOS,OP12_REV,PER12MF,-0.37549491090633474
KOSDAQ,OOS,OP12_REV,PRIVATE_FLOW,-0.03772470819368827
KOSDAQ,OOS,OPFY1_REV,FOREIGN_FLOW,0.21659867143943307
KOSDAQ,OOS,OPFY1_REV,MOM12_1,0.23863243030830852
KOSDAQ,OOS,OPFY1_REV,MOM1M,0.25158876257058477
