sample,factor_universe,market_target,horizon,state,state_bin,train_q1,train_q2,n,mean_fwd_return,median_fwd_return,positive_market_share,mean_tstat
OOS,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,5,MKT_ACT5_BREADTH,LOW,0.29645886785474884,0.3936731107205624,61,-0.001091943728698552,-1.1971094124660846e-05,0.4918032786885246,-0.19467403678171064
OOS,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,5,MKT_ACT5_BREADTH,MID,0.29645886785474884,0.3936731107205624,58,-0.0001256925775562707,0.002280757682175089,0.5172413793103449,-0.040510525053113935
OOS,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,5,MKT_ACT5_BREADTH,HIGH,0.29645886785474884,0.3936731107205624,55,0.007306776119799786,0.006459777402802887,0.6363636363636364,1.4261007321796215
TRAIN,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,20,MKT_ACT5_BREADTH,LOW,0.29645886785474884,0.3936731107205624,107,-0.0013198808997243725,0.0030286157228506428,0.5233644859813084,-0.20798186905476634
TRAIN,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,20,MKT_ACT5_BREADTH,MID,0.29645886785474884,0.3936731107205624,105,-0.005638281535017788,-0.0036322407441247814,0.47619047619047616,-0.9654993300289624
TRAIN,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,20,MKT_ACT5_BREADTH,HIGH,0.29645886785474884,0.3936731107205624,108,0.005913020596958522,0.00793323472735264,0.5370370370370371,0.8728380434775411
OOS,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,20,MKT_ACT5_BREADTH,LOW,0.29645886785474884,0.3936731107205624,58,0.001618929557109435,0.007207377514706528,0.5517241379310345,0.15690001053375738
OOS,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,20,MKT_ACT5_BREADTH,MID,0.29645886785474884,0.3936731107205624,58,0.007537285159141139,0.011998285702321147,0.5862068965517241,1.0139102221421532
OOS,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,20,MKT_ACT5_BREADTH,HIGH,0.29645886785474884,0.3936731107205624,55,0.010087576928677454,0.01103604333277356,0.5636363636363636,0.9485316419199498
TRAIN,KOSPI_EX_K200,K200,1,MKT_ACT1_BREADTH,LOW,0.25431862018716067,0.3364485981308411,107,0.00023415792831942667,0.0008934564030904939,0.5607476635514018,0.26495430721660884
TRAIN,KOSPI_EX_K200,K200,1,MKT_ACT1_BREADTH,MID,0.25431862018716067,0.3364485981308411,105,0.0006712956780096766,0.00026309551430820076,0.5142857142857142,0.6356998537101265
TRAIN,KOSPI_EX_K200,K200,1,MKT_ACT1_BREADTH,HIGH,0.25431862018716067,0.3364485981308411,108,-0.0011778102435030472,-0.00016440778135016316,0.49074074074074076,-1.164271004039267
OOS,KOSPI_EX_K200,K200,1,MKT_ACT1_BREADTH,LOW,0.25431862018716067,0.3364485981308411,71,0.0032265277711783866,0.0037313144348178713,0.5633802816901409,1.0543771246018712
OOS,KOSPI_EX_K200,K200,1,MKT_ACT1_BREADTH,MID,0.25431862018716067,0.3364485981308411,48,0.001711949372510244,0.0025570494621805833,0.625,0.7518131917265988
OOS,KOSPI_EX_K200,K200,1,MKT_ACT1_BREADTH,HIGH,0.25431862018716067,0.3364485981308411,55,-0.0013480404178315985,-0.00020247812139574,0.4909090909090909,-0.43548904794697063
TRAIN,KOSPI_EX_K200,K200,5,MKT_ACT1_BREADTH,LOW,0.25431862018716067,0.3364485981308411,107,0.0003468615946116505,0.0023278626482544714,0.5607476635514018,0.14409126773882908
TRAIN,KOSPI_EX_K200,K200,5,MKT_ACT1_BREADTH,MID,0.25431862018716067,0.3364485981308411,105,0.0022588246602571493,0.0020880384487226393,0.580952380952381,1.1156156654294256
TRAIN,KOSPI_EX_K200,K200,5,MKT_ACT1_BREADTH,HIGH,0.25431862018716067,0.3364485981308411,108,-0.001734901869275617,0.0012482872597439393,0.5185185185185185,-0.7160740998512047
OOS,KOSPI_EX_K200,K200,5,MKT_ACT1_BREADTH,LOW,0.25431862018716067,0.3364485981308411,71,0.002157013814638064,0.004979303085371755,0.6338028169014085,0.3798682816113087
OOS,KOSPI_EX_K200,K200,5,MKT_ACT1_BREADTH,MID,0.25431862018716067,0.3364485981308411,48,0.001784527618886561,0.0013203922154366278,0.5208333333333334,0.5313705120149115
OOS,KOSPI_EX_K200,K200,5,MKT_ACT1_BREADTH,HIGH,0.25431862018716067,0.3364485981308411,55,0.017556680871778314,0.010859505591482665,0.6363636363636364,3.5022702502401146
TRAIN,KOSPI_EX_K200,K200,20,MKT_ACT1_BREADTH,LOW,0.25431862018716067,0.3364485981308411,107,-0.0017215219251890503,0.004534132976020771,0.5327102803738317,-0.348584972795851
TRAIN,KOSPI_EX_K200,K200,20,MKT_ACT1_BREADTH,MID,0.25431862018716067,0.3364485981308411,105,0.006771765873714046,0.009593012598395215,0.5904761904761905,1.253864846345923
TRAIN,KOSPI_EX_K200,K200,20,MKT_ACT1_BREADTH,HIGH,0.25431862018716067,0.3364485981308411,108,8.037325693351493e-05,0.0010898156085693115,0.5092592592592593,0.017942616765850402
OOS,KOSPI_EX_K200,K200,20,MKT_ACT1_BREADTH,LOW,0.25431862018716067,0.3364485981308411,70,0.017067026088414938,0.014949788067141822,0.6285714285714286,1.4370982158243326
OOS,KOSPI_EX_K200,K200,20,MKT_ACT1_BREADTH,MID,0.25431862018716067,0.3364485981308411,47,0.021263581214445763,0.02619733667995495,0.6595744680851063,2.424773940972938
OOS,KOSPI_EX_K200,K200,20,MKT_ACT1_BREADTH,HIGH,0.25431862018716067,0.3364485981308411,54,0.05058242979175702,0.016230185578560766,0.6481481481481481,3.7436193697321385
TRAIN,KOSPI_EX_K200,KOSPI_EX_K200,1,MKT_ACT1_BREADTH,LOW,0.25431862018716067,0.3364485981308411,107,-0.0004683186454116643,0.0010016509868038459,0.514018691588785,-0.4166797191936937
TRAIN,KOSPI_EX_K200,KOSPI_EX_K200,1,MKT_ACT1_BREADTH,MID,0.25431862018716067,0.3364485981308411,105,0.0002609425502585756,-0.0004112384696973347,0.49523809523809526,0.24512381931050642
TRAIN,KOSPI_EX_K200,KOSPI_EX_K200,1,MKT_ACT1_BREADTH,HIGH,0.25431862018716067,0.3364485981308411,108,0.000639394075141377,0.0024072079996602675,0.5925925925925926,0.6136088779229465
OOS,KOSPI_EX_K200,KOSPI_EX_K200,1,MKT_ACT1_BREADTH,LOW,0.25431862018716067,0.3364485981308411,71,0.0012108332012183704,0.003399817204934616,0.5633802816901409,0.6043348185326638
OOS,KOSPI_EX_K200,KOSPI_EX_K200,1,MKT_ACT1_BREADTH,MID,0.25431862018716067,0.3364485981308411,48,0.0006724379187936567,0.0016820949281168675,0.5625,0.4016527815797758
