date,universe,leader_factor,LS_BREADTH_1P,LS_BREADTH_4P,ABS_BREADTH_1P,ABS_BREADTH_4P,AVG_CORR_12P,AVG_CORR_24P,DISPERSION_LS_4P,LEADER_STRENGTH_12P,LEADER_CORRECTION_1P,OTHERS_LS_BREADTH_4P,OTHERS_ABS_BREADTH_1P,OTHERS_ABS_BREADTH_4P,ORTHOGONAL_ABS_BREADTH_1P,n_orthogonal,MKT_ACT5_BREADTH,MKT_ACT1_BREADTH,KOSDAQ_TA_SHARE,FACTOR_TOP_ACT5_BREADTH_MEAN
2017-09-21,KOSDAQ,OP12_REV,0.375,0.5,0.0,0.5,0.021475053016583256,0.15238291856035766,0.056239524434606294,0.20347656866069663,-0.0013788780988586644,0.42857142857142855,0.0,0.42857142857142855,0.0,2,0.4506517690875233,0.37243947858473,0.39357781948012094,0.5687500000000001
2017-09-28,KOSDAQ,OP12_REV,0.125,0.5,0.25,0.25,0.06269980124435424,0.12141046307485122,0.04002279517802817,0.1422963316740919,-0.018654637287335053,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.3333333333333333,3,0.32404828226555243,0.1392757660167131,0.3655932293605435,0.33125000000000004
2017-10-13,KOSDAQ,OP12_REV,0.875,0.625,0.5,0.25,0.07589859563503663,0.1100973240313364,0.04205167715063276,0.16535359042487047,0.001781664134804536,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.3333333333333333,3,0.18535681186283595,0.28637627432808155,0.4029093518851578,0.35625
2017-10-20,KOSDAQ,MOM1M,0.25,0.625,0.75,0.125,0.09620244501748434,0.11588184224713205,0.05981040607754079,0.1393197279521634,0.01978881086506526,0.5714285714285714,0.7142857142857143,0.14285714285714285,0.5,4,0.2506938020351526,0.18408880666049954,0.37956130173056923,0.41875
2017-10-27,KOSDAQ,MOM1M,0.25,0.25,1.0,0.875,0.08941001355293372,0.12170007294323225,0.056156891425851875,0.15990667090888938,0.02085130817107002,0.14285714285714285,1.0,0.8571428571428571,1.0,5,0.32624768946395566,0.32070240295748614,0.358993814010025,0.59375
2017-11-03,KOSDAQ,MOM1M,0.25,0.375,0.875,1.0,0.09846357176396824,0.1357777532243049,0.06432574300605287,0.1456450748122694,0.003514662934849507,0.2857142857142857,0.8571428571428571,1.0,0.8,5,0.3927911275415896,0.3317929759704251,0.4476421334285451,0.5687500000000001
2017-11-10,KOSDAQ,MOM1M,0.5,0.25,1.0,1.0,0.10347379592692944,0.11128245760716889,0.05124876537550094,0.17743895401378396,0.017667446958714,0.14285714285714285,1.0,1.0,1.0,5,0.4626038781163435,0.3656509695290859,0.43415351196667384,0.6312500000000001
2017-11-17,KOSDAQ,MOM1M,0.125,0.125,1.0,1.0,0.12920540583753778,0.05722485397663136,0.0591011609789748,0.25694485548568474,0.06408024675501389,0.0,1.0,1.0,1.0,7,0.6989843028624192,0.45244690674053556,0.5074108964358193,0.8875
2017-11-24,KOSDAQ,MOM1M,0.75,0.375,1.0,1.0,0.1355452443483416,0.06767412909752915,0.050578918893738424,0.2496787088245176,0.005204744134406032,0.2857142857142857,1.0,1.0,1.0,7,0.6125461254612546,0.42988929889298894,0.5979859261543755,0.6375
2017-12-01,KOSDAQ,MOM1M,0.125,0.375,0.0,1.0,0.18300749885862402,0.11127740327733326,0.05629723051092286,0.22152658548723042,-0.012156035327839711,0.2857142857142857,0.0,1.0,0.0,7,0.391705069124424,0.2654377880184332,0.5431612169412371,0.5125
