universe,task,horizon,period,model,delta_edge_vs_control,delta_sign_accuracy,delta_rank_ic,delta_mdd
KOSPI_ALL,ALPHA,20,DISCOVERY_2016_2022,FACTOR_ONLY,0.00022633966253194845,0.02777777777777779,0.11360823084961015,-0.00833736603054469
KOSPI_ALL,ALPHA,20,DISCOVERY_2016_2022,FULL,0.001203086799197743,0.05555555555555558,0.0882565710151917,0.01618174968671382
KOSPI_ALL,ALPHA,20,NORMAL_2023_2024,FACTOR_ONLY,-0.003140761180378337,-0.08247422680412375,-0.32340100988849146,-0.025940864949050346
KOSPI_ALL,ALPHA,20,NORMAL_2023_2024,FULL,-0.0009952037489270851,0.010309278350515427,-0.2343782873974332,0.0340206377246165
KOSPI_ALL,ALPHA,20,YTD_2026,FACTOR_ONLY,0.023613945625841362,0.23809523809523814,0.45324675324675323,0.057148637515917367
KOSPI_ALL,ALPHA,20,YTD_2026,FULL,0.0017444284939815134,0.0,0.11948051948051946,0.02695946259724724
KOSPI_ALL,RISK,5,BULL_2025,FACTOR_ONLY,-0.003133201174982629,-0.08163265306122447,-0.14653061224489794,-0.041486323074635734
KOSPI_ALL,RISK,5,BULL_2025,FULL,-0.0029015370559142373,-0.08163265306122447,-0.12091836734693877,-0.008888297771156406
KOSPI_ALL,RISK,5,DISCOVERY_2016_2022,FACTOR_ONLY,-0.0007040187445309307,0.013888888888888895,-0.06339120649465477,-0.020285046369286186
KOSPI_ALL,RISK,5,DISCOVERY_2016_2022,FULL,-0.0020222371577960714,-0.013888888888888895,-0.09673257776706053,-0.09583490432076358
KOSPI_ALL,RISK,5,NORMAL_2023_2024,FACTOR_ONLY,-0.0006542411702016959,-0.020618556701030966,0.07301967178624026,-0.02959193593928855
KOSPI_ALL,RISK,5,NORMAL_2023_2024,FULL,-0.0008623320301185123,-0.020618556701030966,0.03714759099516095,-0.03466960317806367
KOSPI_ALL,RISK,5,YTD_2026,FACTOR_ONLY,-0.00828466351245357,-0.09523809523809523,-0.0792207792207792,0.0
KOSPI_ALL,RISK,5,YTD_2026,FULL,0.0,0.0,-0.04805194805194808,0.0
KOSPI_ALL,RISK,20,BULL_2025,FACTOR_ONLY,-0.020706541234611464,-0.18367346938775508,-0.21132653061224488,-0.0673027791785702
KOSPI_ALL,RISK,20,BULL_2025,FULL,-0.007205003666360546,-0.04081632653061229,-0.15,0.019465558209954215
KOSPI_ALL,RISK,20,DISCOVERY_2016_2022,FACTOR_ONLY,-0.010216544181745772,-0.125,-0.2739932481311792,-0.15373258104547372
KOSPI_ALL,RISK,20,DISCOVERY_2016_2022,FULL,-0.01117971466947883,-0.1111111111111111,-0.2747166626476971,-0.18524691223544754
KOSPI_ALL,RISK,20,NORMAL_2023_2024,FACTOR_ONLY,-0.00055728685362445,-0.020618556701030966,0.04778560908899643,-0.03773348154516809
KOSPI_ALL,RISK,20,NORMAL_2023_2024,FULL,0.0009884493135736442,-0.010309278350515427,0.08468335787923416,-0.01636289567399063
KOSPI_ALL,RISK,20,YTD_2026,FACTOR_ONLY,-0.01613205145468263,-0.04761904761904767,0.029870129870129852,0.0
KOSPI_ALL,RISK,20,YTD_2026,FULL,0.0,0.0,0.08441558441558442,0.0
KOSPI_EX_K200,ALPHA,5,BULL_2025,FACTOR_ONLY,-0.0001614741943185661,-0.08163265306122458,0.23122448979591836,1.1102230246251565e-16
KOSPI_EX_K200,ALPHA,5,BULL_2025,FULL,-0.0006906650432887393,-0.061224489795918435,0.12224489795918368,0.0014914329178671304
KOSPI_EX_K200,ALPHA,5,DISCOVERY_2016_2022,FACTOR_ONLY,0.00020587624362994762,0.02564102564102566,0.03366602226917831,-0.005243845004871406
KOSPI_EX_K200,ALPHA,5,DISCOVERY_2016_2022,FULL,0.0007999827008365292,0.03418803418803418,0.08969863177928634,-0.01889730856743721
KOSPI_EX_K200,ALPHA,5,NORMAL_2023_2024,FACTOR_ONLY,0.0002010048239335915,0.021978021978021955,0.11818760949195732,0.018011658229519778
KOSPI_EX_K200,ALPHA,5,NORMAL_2023_2024,FULL,-0.00028977977961331015,-0.010989010989011005,0.0748367574454531,0.008321674161845927
KOSPI_EX_K200,ALPHA,5,YTD_2026,FACTOR_ONLY,-6.069637625829161e-05,-0.06666666666666665,-0.4178571428571428,-1.1102230246251565e-16
KOSPI_EX_K200,ALPHA,5,YTD_2026,FULL,0.00037608317099581303,0.0,-0.2678571428571428,1.1102230246251565e-16
KOSPI_EX_K200,ALPHA,20,BULL_2025,FACTOR_ONLY,-0.0011633011997675873,-0.08163265306122458,0.28979591836734686,0.0
KOSPI_EX_K200,ALPHA,20,BULL_2025,FULL,-0.0016245278027337516,-0.12244897959183676,0.3006122448979591,0.0
KOSPI_EX_K200,ALPHA,20,DISCOVERY_2016_2022,FACTOR_ONLY,0.003482007643936055,0.11965811965811968,0.2811296437830628,0.04050009576611657
KOSPI_EX_K200,ALPHA,20,DISCOVERY_2016_2022,FULL,0.0027556466727088574,0.05982905982905984,0.2072936804088177,0.03518181159907785
KOSPI_EX_K200,ALPHA,20,NORMAL_2023_2024,FACTOR_ONLY,-0.0009428034789516334,-0.04395604395604391,0.0962414397197006,-0.006165426069551505
KOSPI_EX_K200,ALPHA,20,NORMAL_2023_2024,FULL,-0.0024081727815190557,-0.1208791208791209,-0.0034878165312947906,-0.0014798133823467063
KOSPI_EX_K200,ALPHA,20,YTD_2026,FACTOR_ONLY,-0.0029422227790939755,-0.06666666666666665,0.16785714285714276,-1.1102230246251565e-16
KOSPI_EX_K200,ALPHA,20,YTD_2026,FULL,-0.0030445158414218734,-0.1333333333333333,0.05714285714285705,1.1102230246251565e-16
KOSPI_EX_K200,RISK,5,BULL_2025,FACTOR_ONLY,-0.001418828064140652,-0.08163265306122452,-0.12204081632653059,0.05574151475964495
