universe,family,feature,horizon,sample,n,hl,high_rel,low_rel,high_win_rel,low_win_rel
KOSDAQ,FLOW,top_accel,20,BULL_2025,45,0.004814553377549905,0.0010238323840473477,-0.0037907209935025567,0.5333333333333333,0.5333333333333333
KOSDAQ,FLOW,top_accel,20,DISCOVERY_2016_2022,256,0.002790154130977812,-0.003379201719182798,-0.00616935585016061,0.4117647058823529,0.3176470588235294
KOSDAQ,FLOW,top_accel,20,NORMAL_2023_2024,73,-0.001826962955412464,-0.002693862178708893,-0.0008668992232964291,0.4166666666666667,0.5
KOSDAQ,MOMENTUM,z_top_20d,5,BULL_2025,45,-0.0013561146644613983,-0.0012012906109629584,0.00015482405349843988,0.4666666666666667,0.4666666666666667
KOSDAQ,MOMENTUM,z_top_20d,5,DISCOVERY_2016_2022,256,0.0038422685509832905,0.0014097550523061496,-0.0024325134986771407,0.47058823529411764,0.36470588235294116
KOSDAQ,MOMENTUM,z_top_20d,5,NORMAL_2023_2024,73,-0.002566298222208475,-0.00036298239573165884,0.002203315826476816,0.5,0.5833333333333334
KOSDAQ,MOMENTUM,z_top_20d,20,BULL_2025,45,0.02167800593687827,0.013996918391400376,-0.007681087545477892,0.8,0.3333333333333333
KOSDAQ,MOMENTUM,z_top_20d,20,DISCOVERY_2016_2022,256,0.0063191356352953285,-0.0013257498927752784,-0.007644885528070607,0.4588235294117647,0.32941176470588235
KOSDAQ,MOMENTUM,z_top_20d,20,NORMAL_2023_2024,73,-0.00393413741484016,-0.0008354870764415446,0.003098650338398616,0.4583333333333333,0.625
KOSDAQ,MOMENTUM,z_spread_20d,5,BULL_2025,45,0.002471384584403198,0.001882916220740031,-0.0005884683636631668,0.6,0.4666666666666667
KOSDAQ,MOMENTUM,z_spread_20d,5,DISCOVERY_2016_2022,256,0.004332485953842325,0.0009625852393940242,-0.0033699007144483008,0.4823529411764706,0.36470588235294116
KOSDAQ,MOMENTUM,z_spread_20d,5,NORMAL_2023_2024,73,-0.0036434668645750454,0.00010728666605177174,0.003750753530626817,0.5,0.625
KOSDAQ,MOMENTUM,z_spread_20d,20,BULL_2025,45,0.0216308112771569,0.014426170787789187,-0.007204640489367715,0.7333333333333333,0.4
KOSDAQ,MOMENTUM,z_spread_20d,20,DISCOVERY_2016_2022,256,0.002074070043953535,-0.002702267468465579,-0.004776337512419114,0.4470588235294118,0.3764705882352941
KOSDAQ,MOMENTUM,z_spread_20d,20,NORMAL_2023_2024,73,-0.0002659709687985916,0.004030122921810497,0.004296093890609089,0.5416666666666666,0.625
KOSDAQ,MOMENTUM,z_top_60d,5,BULL_2025,45,0.0010539101710727546,8.067740830093733e-05,-0.0009732327627718173,0.6,0.4
KOSDAQ,MOMENTUM,z_top_60d,5,DISCOVERY_2016_2022,256,0.0015690933119144991,-0.00015968411114956402,-0.001728777423064063,0.47058823529411764,0.4117647058823529
KOSDAQ,MOMENTUM,z_top_60d,5,NORMAL_2023_2024,73,-0.007446810510670429,-0.0010497646551097916,0.006397045855560637,0.5,0.6666666666666666
KOSDAQ,MOMENTUM,z_top_60d,20,BULL_2025,45,0.0170739935032678,0.016162657915598386,-0.0009113355876694165,0.7333333333333333,0.6
KOSDAQ,MOMENTUM,z_top_60d,20,DISCOVERY_2016_2022,256,0.007558440368720708,0.0015947070190769443,-0.005963733349643763,0.4823529411764706,0.38823529411764707
KOSDAQ,MOMENTUM,z_top_60d,20,NORMAL_2023_2024,73,-0.02930847390684376,-0.009233306234221743,0.02007516767262202,0.375,0.7916666666666666
KOSDAQ,MOMENTUM,z_spread_60d,5,BULL_2025,45,0.001032182933522801,0.00043684801490441347,-0.0005953349186183875,0.5333333333333333,0.4666666666666667
KOSDAQ,MOMENTUM,z_spread_60d,5,DISCOVERY_2016_2022,256,0.001241063042345982,-0.0005225387753430828,-0.0017636018176890647,0.4588235294117647,0.3764705882352941
KOSDAQ,MOMENTUM,z_spread_60d,5,NORMAL_2023_2024,73,-0.004298658488980475,-0.001421002681088427,0.002877655807892048,0.4583333333333333,0.5833333333333334
KOSDAQ,MOMENTUM,z_spread_60d,20,BULL_2025,45,0.007091492239184144,0.011667870832250543,0.004576378593066399,0.6666666666666666,0.7333333333333333
KOSDAQ,MOMENTUM,z_spread_60d,20,DISCOVERY_2016_2022,256,0.0029756986699297043,-0.0012809618111820579,-0.004256660481111762,0.47058823529411764,0.4117647058823529
KOSDAQ,MOMENTUM,z_spread_60d,20,NORMAL_2023_2024,73,-0.023227854307327593,-0.0052532020172776734,0.01797465229004992,0.4583333333333333,0.7083333333333334
KOSDAQ,MOMENTUM,spread_accel,5,BULL_2025,45,0.002752043626094434,0.0008539072152333338,-0.0018981364108611003,0.4,0.3333333333333333
KOSDAQ,MOMENTUM,spread_accel,5,DISCOVERY_2016_2022,256,0.0026425212810772428,-1.2743343453727516e-05,-0.0026552646245309704,0.4470588235294118,0.38823529411764707
KOSDAQ,MOMENTUM,spread_accel,5,NORMAL_2023_2024,73,0.0012693172542902883,0.0034254077913931486,0.0021560905371028603,0.625,0.5833333333333334
KOSDAQ,MOMENTUM,spread_accel,20,BULL_2025,45,0.018948238259720834,0.010505309123901678,-0.008442929135819158,0.8,0.3333333333333333
KOSDAQ,MOMENTUM,spread_accel,20,DISCOVERY_2016_2022,256,0.004963515108673395,-0.0040810880679393695,-0.009044603176612764,0.43529411764705883,0.29411764705882354
KOSDAQ,MOMENTUM,spread_accel,20,NORMAL_2023_2024,73,0.016772119153968097,0.01692733125300799,0.00015521209903989323,0.7083333333333334,0.625
KOSDAQ,MOMENTUM,top_accel,5,BULL_2025,45,-0.001201232269275306,-0.0005964402025631007,0.0006047920667122055,0.4,0.5333333333333333
KOSDAQ,MOMENTUM,top_accel,5,DISCOVERY_2016_2022,256,0.004547391117889857,0.0014570487441478992,-0.003090342373741958,0.4588235294117647,0.3411764705882353
KOSDAQ,MOMENTUM,top_accel,5,NORMAL_2023_2024,73,0.002744950366135004,0.003330694295844092,0.0005857439297090882,0.5833333333333334,0.5416666666666666
KOSDAQ,MOMENTUM,top_accel,20,BULL_2025,45,0.013193314463262872,0.012716585377122273,-0.0004767290861405982,0.8666666666666667,0.5333333333333333
KOSDAQ,MOMENTUM,top_accel,20,DISCOVERY_2016_2022,256,0.004939742537903226,-0.0008542230955400706,-0.005793965633443297,0.4470588235294118,0.3411764705882353
KOSDAQ,MOMENTUM,top_accel,20,NORMAL_2023_2024,73,0.021974654093658025,0.016133033138441513,-0.005841620955216513,0.75,0.4166666666666667
KOSDAQ,REVISION,z_top_20d,5,BULL_2025,45,0.0004378704795320716,-0.00033257137831773953,-0.0007704418578498111,0.4666666666666667,0.5333333333333333
KOSDAQ,REVISION,z_top_20d,5,DISCOVERY_2016_2022,256,-0.0007047877939122191,0.0018817873943968708,0.00258657518830909,0.611764705882353,0.5764705882352941
KOSDAQ,REVISION,z_top_20d,5,NORMAL_2023_2024,73,0.0012745975866572995,0.0023513850534846825,0.001076787466827383,0.5416666666666666,0.5416666666666666
KOSDAQ,REVISION,z_top_20d,20,BULL_2025,45,0.012660945416378752,0.013362851949504219,0.0007019065331254658,0.8666666666666667,0.4666666666666667
KOSDAQ,REVISION,z_top_20d,20,DISCOVERY_2016_2022,256,0.002530760696999896,0.00836808388337614,0.005837323186376244,0.6941176470588235,0.6
KOSDAQ,REVISION,z_top_20d,20,NORMAL_2023_2024,73,0.0007986755189895826,0.006315213278398682,0.005516537759409099,0.5,0.5833333333333334
KOSDAQ,REVISION,z_spread_20d,5,BULL_2025,45,-0.004993608578135078,-0.0018111253966760705,0.003182483181459008,0.4666666666666667,0.6
KOSDAQ,REVISION,z_spread_20d,5,DISCOVERY_2016_2022,256,0.00118687286374008,0.0024664036208338637,0.0012795307570937838,0.6352941176470588,0.5529411764705883
KOSDAQ,REVISION,z_spread_20d,5,NORMAL_2023_2024,73,0.004225800495403877,0.0030742538739140547,-0.0011515466214898219,0.6666666666666666,0.4166666666666667
