universe,horizon,strategy,sample,n,mean_ret,edge_vs_ew4,beat_ew4
KOSPI_ALL,20,WPLUS,DISCOVERY_2016_2022,177,0.0051347913585677325,-2.1454709842863313e-05,0.559322033898305
KOSPI_ALL,20,WPLUS,NORMAL_2023_2024,61,0.003950353109918665,0.002805024860623353,0.45901639344262296
KOSPI_ALL,20,WPLUS,YTD_2026,16,0.03434998881483214,0.002869479507436522,0.4375
KOSPI_EX_K200,5,SPREAD20_LEADER,BULL_2025,49,0.006421085307422157,-0.001352029391914287,0.42857142857142855
KOSPI_EX_K200,5,SPREAD20_LEADER,DISCOVERY_2016_2022,288,0.0029636079402799594,0.0022028783974037225,0.5520833333333334
KOSPI_EX_K200,5,SPREAD20_LEADER,NORMAL_2023_2024,91,0.002267792359814649,0.0008811673194710367,0.5494505494505495
KOSPI_EX_K200,5,SPREAD20_LEADER,YTD_2026,15,0.016683875589468655,0.001651559538037164,0.4
KOSPI_EX_K200,5,SPREAD60_LEADER,BULL_2025,49,0.009577975216781907,0.0018048605174454642,0.5918367346938775
KOSPI_EX_K200,5,SPREAD60_LEADER,DISCOVERY_2016_2022,288,0.0011635091880515887,0.0004027796451753516,0.4965277777777778
KOSPI_EX_K200,5,SPREAD60_LEADER,NORMAL_2023_2024,91,0.001522492442777099,0.0001358674024334873,0.4835164835164835
KOSPI_EX_K200,5,SPREAD60_LEADER,YTD_2026,15,0.012889293194650002,-0.0021430228567814896,0.5333333333333333
KOSPI_EX_K200,5,TOP20_LEADER,BULL_2025,49,0.008369110413678054,0.0005959957143416107,0.5714285714285714
KOSPI_EX_K200,5,TOP20_LEADER,DISCOVERY_2016_2022,288,0.0023739242472164807,0.0016131947043402436,0.5243055555555556
KOSPI_EX_K200,5,TOP20_LEADER,NORMAL_2023_2024,91,0.0024130139922957697,0.0010263889519521578,0.5714285714285714
KOSPI_EX_K200,5,TOP20_LEADER,YTD_2026,15,0.009906665947261774,-0.005125650104169715,0.3333333333333333
KOSPI_EX_K200,5,WPLUS,BULL_2025,36,0.004920470602850944,-4.5253683015746095e-05,0.3611111111111111
KOSPI_EX_K200,5,WPLUS,DISCOVERY_2016_2022,183,0.004350758937973381,0.0012415986476344196,0.5300546448087432
KOSPI_EX_K200,5,WPLUS,NORMAL_2023_2024,61,0.002740077393948446,0.0007409003393674766,0.5573770491803278
KOSPI_EX_K200,5,WPLUS,YTD_2026,11,0.008630834913736384,0.0017048235246583893,0.5454545454545454
KOSPI_EX_K200,20,SPREAD20_LEADER,BULL_2025,49,0.030834707888153692,-0.001151939711264318,0.5306122448979592
KOSPI_EX_K200,20,SPREAD20_LEADER,DISCOVERY_2016_2022,288,0.001381726565804604,0.003325330329473381,0.5486111111111112
KOSPI_EX_K200,20,SPREAD20_LEADER,NORMAL_2023_2024,91,0.010902528679708302,0.0034459980986931656,0.5494505494505495
KOSPI_EX_K200,20,SPREAD20_LEADER,YTD_2026,15,0.01722758067138677,-0.0014471507775235236,0.4666666666666667
KOSPI_EX_K200,20,SPREAD60_LEADER,BULL_2025,49,0.04101350504730527,0.009026857447887263,0.673469387755102
KOSPI_EX_K200,20,SPREAD60_LEADER,DISCOVERY_2016_2022,288,-3.5105504759707674e-05,0.0019084982589090689,0.5
