date,universe,eval_year,period,task,horizon,model,pred,real_target,action,ret,control,alt
2023-06-13,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,0.00018267305837427325,0.017469422251976074,EW4,0.010225926720583775,0.010225926720583775,-0.0072434955313923
2023-06-20,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,-0.0009053363808146322,0.005309287481045049,MARKET,-0.0142495106748501,-0.00894022319380505,-0.0142495106748501
2023-06-27,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,-0.0006815773949699978,0.0020084307149775757,MARKET,0.0188648683182343,0.020873299033211876,0.0188648683182343
2023-07-04,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,-0.0017397985799533435,0.0002615178202286742,MARKET,-0.0103913461834603,-0.010129828363231626,-0.0103913461834603
2023-07-11,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,-0.0002196159582374597,0.0031905511764363723,MARKET,0.0349554025263796,0.038145953702815975,0.0349554025263796
2023-07-18,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,-0.002800373362459552,-0.02002142896550005,MARKET,0.0160711142482317,-0.0039503147172683505,0.0160711142482317
2023-07-25,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,-0.0034753050936256564,0.008352710350291075,MARKET,0.0004956082677389,0.008848318618029975,0.0004956082677389
2023-08-01,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,-0.001531008945750166,0.01834316394400385,MARKET,-0.0435463594050007,-0.02520319546099685,-0.0435463594050007
2023-08-08,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,-0.00046578787462462934,0.0020746433426578753,MARKET,-0.0145015290960823,-0.012426885753424424,-0.0145015290960823
2023-08-16,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,-0.0008864575586858089,-0.0138993667076246,MARKET,0.0039693978139445,-0.0099299688936801,0.0039693978139445
2023-08-23,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,-0.00016707017116476342,-0.0024370705019122543,MARKET,0.0412278987028662,0.03879082820095395,0.0412278987028662
2023-08-30,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,0.000568931649649767,0.007755091682103374,EW4,0.0008779738878197745,0.0008779738878197745,-0.0068771177942836
2023-09-06,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,0.0007945970610002639,0.009703333079550326,EW4,-0.023512305096988977,-0.023512305096988977,-0.0332156381765393
2023-09-13,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,0.0011068265752088757,0.0017508117578301755,EW4,0.005203136742883876,0.005203136742883876,0.0034523249850537
2023-09-20,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,0.00210853385308101,0.006494489583010972,EW4,-0.037653523080749526,-0.037653523080749526,-0.0441480126637605
2023-09-27,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,0.0004178372850520064,-0.0006563204000083235,EW4,-0.026774540152553723,-0.026774540152553723,-0.0261182197525454
2023-10-11,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,-0.0008058457485409657,0.0025805406637721996,MARKET,-0.0040449046970106,-0.0014643640332384,-0.0040449046970106
2023-10-18,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,0.00021716582034025114,0.016807921640663373,EW4,-0.029058148884669725,-0.029058148884669725,-0.0458660705253331
2023-10-25,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,-0.0005034133329636795,0.015325505579461926,MARKET,-0.0395423212371374,-0.024216815657675472,-0.0395423212371374
2023-11-01,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,-0.0017985252136930208,-0.023822057954249055,MARKET,0.0802750123558628,0.05645295440161375,0.0802750123558628
2023-11-08,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,0.0009349312052002837,0.0013817136017791997,EW4,0.0032807724241210997,0.0032807724241210997,0.0018990588223419
2023-11-15,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,0.0011147129942702797,-0.0006953752544582269,EW4,0.014882528082823972,0.014882528082823972,0.0155779033372822
2023-11-22,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,0.0013013269314515869,-0.008217754003111177,EW4,0.008068643452711724,0.008068643452711724,0.0162863974558229
2023-11-29,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,-0.002247775884096358,-0.005018613134765649,MARKET,-0.0052955280903995,-0.01031414122516515,-0.0052955280903995
2023-12-06,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,0.001465218529696134,-0.00033072348762685014,EW4,0.00717144764271015,0.00717144764271015,0.007502171130337
2023-12-13,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,0.0032539551660785877,-0.020131606504945228,EW4,0.024497761750171175,0.024497761750171175,0.0446293682551164
2023-12-20,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,0.0031221616906155518,0.006123934820346776,EW4,0.0067678027185396755,0.0067678027185396755,0.0006438678981929
2023-12-28,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,0.003695876043356842,-0.0077182507804188505,EW4,-0.00542744042920455,-0.00542744042920455,0.0022908103512143
2023-01-06,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FULL,0.0036128038127739882,3.740924281347979e-05,EW4,0.033984012147863576,0.033984012147863576,0.0339466029050501
2023-01-13,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FULL,0.004092082145482009,0.011917735762205775,EW4,0.019554956525490275,0.019554956525490275,0.0076372207632845
2023-01-20,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FULL,0.0035601974109489617,-0.0006733839440330007,EW4,0.0287465635825256,0.0287465635825256,0.0294199475265586
2023-01-31,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FULL,0.002930923317190818,-0.012963908053481174,EW4,0.021890956270610724,0.021890956270610724,0.0348548643240919
2023-02-07,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FULL,0.001801625985748912,0.00016103079411904954,EW4,0.00797109368300575,0.00797109368300575,0.0078100628888867
2023-02-14,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FULL,-0.0004400156848217256,0.0008366156087943749,MARKET,0.0177517339831501,0.018588349591944477,0.0177517339831501
