universe,task,horizon,model,period,n,participation,mean,win,edge_vs_control,beat_control,mdd,control_mdd,target_sign_accuracy,rank_ic
KOSDAQ,ALPHA,5,MARKET_ONLY,BULL_2025,45,1.0,0.010082088492917338,0.7111111111111111,0.0002949062868903872,0.022222222222222223,-0.09860142932654614,-0.09860142932654625,0.6888888888888889,0.041106719367588924
KOSDAQ,ALPHA,5,MARKET_ONLY,DISCOVERY_2016_2022,113,1.0,-0.0007577651889877818,0.5752212389380531,-0.0008323068765010326,0.11504424778761062,-0.4088825028901443,-0.4008915617530705,0.5221238938053098,0.039165945838046445
KOSDAQ,ALPHA,5,MARKET_ONLY,NORMAL_2023_2024,73,1.0,0.0013090379720591828,0.5753424657534246,-0.0002680498995959114,0.0410958904109589,-0.24350086988752018,-0.2435008698875203,0.5068493150684932,-0.008978156238430212
KOSDAQ,ALPHA,5,MARKET_ONLY,YTD_2026,13,1.0,0.01536072210948125,0.6153846153846154,-0.004069478631361083,0.0,-0.067631303570856,-0.067631303570856,0.5384615384615384,-0.2582417582417582
KOSDAQ,ALPHA,20,FACTOR_ONLY,BULL_2025,45,1.0,0.04304796157844242,0.7555555555555555,0.0003833637768415389,0.044444444444444446,-0.2210632706432557,-0.2210632706432557,0.8,0.37891963109354404
KOSDAQ,ALPHA,20,FACTOR_ONLY,DISCOVERY_2016_2022,113,1.0,-0.00425494651229185,0.504424778761062,-0.0019228782152053425,0.061946902654867256,-0.8789317617211638,-0.870290728888516,0.5929203539823009,0.021425244527247325
KOSDAQ,ALPHA,20,FACTOR_ONLY,NORMAL_2023_2024,73,1.0,-0.0008129885572101061,0.547945205479452,-0.0031862359207118027,0.1506849315068493,-0.7245823139122765,-0.6284950600777515,0.589041095890411,-0.05149327409601383
KOSDAQ,ALPHA,20,FACTOR_ONLY,YTD_2026,13,1.0,0.0173027772449488,0.5384615384615384,-0.007372800808786555,0.0,-0.42263825361088303,-0.41510894736298243,0.6153846153846154,0.005494505494505494
KOSDAQ,ALPHA,20,FULL,BULL_2025,45,1.0,0.04209010096757874,0.7555555555555555,-0.0005744968340221448,0.022222222222222223,-0.2210632706432557,-0.2210632706432557,0.7555555555555555,0.2978919631093544
KOSDAQ,ALPHA,20,FULL,DISCOVERY_2016_2022,113,1.0,-0.00425494651229185,0.504424778761062,-0.0019228782152053425,0.061946902654867256,-0.8789317617211638,-0.870290728888516,0.5929203539823009,-0.009057488854880565
KOSDAQ,ALPHA,20,FULL,NORMAL_2023_2024,73,1.0,-0.00027324313503076955,0.5616438356164384,-0.0026464904985324667,0.1506849315068493,-0.7133774591924672,-0.6284950600777515,0.6027397260273972,-0.056583981241515494
KOSDAQ,ALPHA,20,FULL,YTD_2026,13,1.0,0.016231462003689946,0.5384615384615384,-0.008444116050045402,0.07692307692307693,-0.42263825361088303,-0.41510894736298243,0.6153846153846154,-0.03296703296703297
KOSDAQ,ALPHA,20,MARKET_ONLY,BULL_2025,45,1.0,0.04266459780160089,0.7555555555555555,0.0,0.0,-0.2210632706432557,-0.2210632706432557,0.7777777777777778,-0.21712779973649535
KOSDAQ,ALPHA,20,MARKET_ONLY,DISCOVERY_2016_2022,113,1.0,-0.0034697475192992412,0.48672566371681414,-0.0011376792222127334,0.05309734513274336,-0.870290728888516,-0.870290728888516,0.6460176991150443,0.17718244726861404
KOSDAQ,ALPHA,20,MARKET_ONLY,NORMAL_2023_2024,73,1.0,0.002509314393739271,0.589041095890411,0.00013606703023757262,0.0273972602739726,-0.6307821360184565,-0.6284950600777515,0.6712328767123288,0.06007034431691966
