date,universe,positive_abs_breadth,working_breadth,abs_confirmed_breadth,bearish_reverse_breadth,other_positive_abs_breadth,other_working_breadth,spread_dispersion,avg_corr_60d,mom_state,meta_state,momentum_state,momentum_top_abs20,momentum_spread20,revision_state,revision_top_abs20,revision_spread20,value_state,value_top_abs20,value_spread20,flow_state,flow_top_abs20,flow_spread20
2017-03-08,KOSDAQ,0.5,0.5,0.5,0.25,0.6666666666666666,0.6666666666666666,0.04342758248648938,0.2680321155925193,N,OTHER,N,-0.03345568548663169,-0.025976993460577913,W+,0.04932232782016288,0.03212490909401167,W+,0.03813165394283091,0.05585955113178265,R-,-0.002915049358591215,-0.03240190763669548
2017-03-15,KOSDAQ,0.5,0.5,0.5,0.25,0.6666666666666666,0.6666666666666666,0.025035822644579354,0.318559984954956,N,OTHER,N,-0.010283076254353762,0.006255571323807718,W+,0.03588182037306531,0.03567064149061738,W+,0.004289706992180564,0.03606487528295177,R-,-0.008073106276766384,-0.015567567555078266
2017-03-22,KOSDAQ,0.0,0.0,0.0,0.0,0.0,0.0,0.014311121102716448,0.26491290483517854,N,OTHER,N,-0.02799862540572673,0.009233972693269976,N,-0.02757838447700245,-0.014442682854504452,N,-0.015593323665915593,0.01970519567669704,N,-0.029885030984297845,0.0030726735200338195
2017-03-29,KOSDAQ,0.5,0.5,0.5,0.0,0.3333333333333333,0.3333333333333333,0.028804209989863185,0.2746095970696292,W+,OTHER,W+,0.030383406635132948,0.04501001352415601,N,-0.00914970499428136,-0.011360374652872873,W+,0.026131897664211312,0.0490141150783856,N,-0.004603066722214555,0.010842511629121088
2017-04-05,KOSDAQ,1.0,0.0,0.0,0.0,1.0,0.0,0.012635705067765643,0.3394180502195509,N,OTHER,N,0.06802732458110317,-0.0009869204288834865,N,0.030518807277588822,-0.01667232453025025,N,0.03806307025974354,-0.022289316707678752,N,0.035743802234027955,0.004392251354642829
2017-04-12,KOSDAQ,1.0,0.0,0.0,0.0,1.0,0.0,0.01168020695052862,0.35312169866789694,N,OTHER,N,0.04415891131591776,-0.008372476617066527,N,0.021863337054013554,-0.018445055606270744,N,0.0469950879123342,-0.02152258680282748,N,0.02896510487264048,0.004369591902610104
2017-04-19,KOSDAQ,1.0,0.5,0.5,0.0,1.0,0.6666666666666666,0.041478785348885334,0.20478806068519714,R+,BULLISH_STYLE_SHIFT,R+,0.05313393375037245,-0.05068633375374865,W+,0.08043049930582136,0.023344183869416835,R+,0.07765203067125803,-0.04552767601541219,W+,0.07369634463191188,0.02394072754271881
2017-04-26,KOSDAQ,0.75,0.25,0.25,0.25,1.0,0.3333333333333333,0.05225584185687757,0.23056172369995664,R-,MOM_RISK_ROTATION_SUPPORT,R-,-0.002108841246988624,-0.09152299323499113,N,0.06838733382633322,0.015811867214508002,R+,0.06364924090469759,-0.045330733851473015,W+,0.057121948918656296,0.016154993816748897
2017-05-08,KOSDAQ,1.0,0.5,0.5,0.0,1.0,0.6666666666666666,0.039871736961894166,0.06348296631692425,N,OTHER,N,0.00499622335163985,-0.019329670795876108,W+,0.058891758836960406,0.03498041620207881,R+,0.047772135818567873,-0.03110501626742379,W+,0.05856196378055101,0.05003420244631185
2017-05-16,KOSDAQ,1.0,0.5,0.5,0.0,1.0,0.6666666666666666,0.03943587085338795,0.14648136855388735,N,OTHER,N,0.017520733813351175,-0.010609162453714793,W+,0.08256103096260414,0.06004255736437125,N,0.0484018053255888,-0.013808728095677125,W+,0.05964098357839753,0.051544502789813595
2017-05-23,KOSDAQ,1.0,1.0,1.0,0.0,1.0,1.0,0.019535571377112038,0.26520052973688407,W+,BROAD_CONFIRMATION,W+,0.049926699885088466,0.06556700934819792,W+,0.08329051698900591,0.07240241405392656,W+,0.04932833629426758,0.03712725656463678,W+,0.037253831622174216,0.034008330539678555
2017-05-30,KOSDAQ,1.0,1.0,1.0,0.0,1.0,1.0,0.023962125490310477,0.263860677107847,W+,BROAD_CONFIRMATION,W+,0.07547411765493184,0.06741050112817715,W+,0.08126491808778447,0.06422337851105708,W+,0.053191146785313004,0.028304413939696627,W+,0.046975716478185214,0.021077274764095044
2017-06-07,KOSDAQ,1.0,0.75,0.75,0.0,1.0,0.6666666666666666,0.03263487029063734,0.28298196322121444,W+,BROAD_CONFIRMATION,W+,0.08202897795854525,0.04809818159941459,W+,0.0863299546253391,0.06756061681663827,W+,0.042386843804661956,0.024208688001059464,N,0.039027077104590635,-0.0081758370609748
2017-06-14,KOSDAQ,1.0,0.25,0.25,0.0,1.0,0.0,0.021429814800637437,0.2513716121641641,W+,BROAD_CONFIRMATION,W+,0.09641025711234397,0.03786781014214591,N,0.06011241920189958,0.016960624122852375,N,0.05108349066514051,0.021730250990262157,N,0.052317687829807946,-0.013426852023679992
2017-06-21,KOSDAQ,1.0,0.0,0.0,0.0,1.0,0.0,0.012611469992710313,0.27213368163251284,N,OTHER,N,0.05387598399029914,0.010349905043099739,N,0.016819994993096055,-0.0074259708924337975,N,0.007439468253327863,0.007075030254141135,R+,0.005818167055117396,-0.016605327563253613
2017-06-28,KOSDAQ,1.0,0.5,0.5,0.0,1.0,0.3333333333333333,0.02614881846332388,0.28163763534947195,W+,BROAD_CONFIRMATION,W+,0.06484739353362556,0.051409686389606524,W+,0.037266564806951674,0.031902265182747414,N,0.0005704278155866938,-0.0015253798409655683,N,0.00201833149501085,-0.0014414924420123043
2017-07-05,KOSDAQ,0.5,0.75,0.5,0.0,0.3333333333333333,0.6666666666666666,0.012026561141331263,0.10592702617297195,W+,OTHER,W+,0.016265226724534232,0.033521553060830156,W+,0.002806111152185098,0.03568023387867114,W-,-0.01689876508910837,0.02749482981108442,N,-0.02399358199560253,0.009198303803532815
2017-07-12,KOSDAQ,0.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.02221801018951587,0.10326248024710621,W-,OTHER,W-,-0.010461086095327254,0.03880226000894582,W-,-0.0030962857088091544,0.04874071826839921,N,-0.04541625541264649,0.0037867134176292616,N,-0.040917807894914726,0.008362210225782318
2017-07-19,KOSDAQ,0.5,0.25,0.25,0.25,0.3333333333333333,0.3333333333333333,0.0494581653273818,0.11952342645449304,N,OTHER,N,0.021392133844384542,0.02720768944268437,W+,0.05627718134072124,0.07235200165731015,N,-0.0037574045929978928,-0.002121454985514526,R-,-0.02268678030799487,-0.0451822120482237
2017-07-26,KOSDAQ,0.5,0.25,0.25,0.5,0.3333333333333333,0.3333333333333333,0.03955591567421628,0.1543080599175384,N,OTHER,N,0.006786952115828582,0.010855720344738473,W+,0.04335120526975622,0.05346130401262339,R-,-0.02550969323195773,-0.02568886325891595,R-,-0.014092534258187017,-0.03266534555620426
2017-08-02,KOSDAQ,0.5,0.25,0.25,0.5,0.3333333333333333,0.3333333333333333,0.042752638123459245,0.1969292601120084,N,OTHER,N,0.016747942890261935,0.02828618870228372,W+,0.034816224309516475,0.031322442562214725,R-,-0.010388998648385828,-0.02456860763479307,R-,-0.014020675212374156,-0.056709188064112404
2017-08-09,KOSDAQ,0.5,0.25,0.25,0.25,0.3333333333333333,0.3333333333333333,0.04241855305485516,0.10454970186657202,N,OTHER,N,0.005571727109949576,0.006125320208199891,W+,0.03793291778497787,0.03906114484156609,N,-0.01297840546611495,-0.0005855417904039317,R-,-0.025781575240616195,-0.06257071039256934
2017-08-17,KOSDAQ,0.25,0.25,0.25,0.25,0.3333333333333333,0.3333333333333333,0.025230352779131552,-0.07319569064749402,N,OTHER,N,-0.0116350842828441,0.02729782577203721,W+,0.0024208442763336002,0.03284399692754092,N,-0.016150969243731383,0.0017543279109475396,R-,-0.023169450984897533,-0.02194774936393329
2017-08-24,KOSDAQ,0.5,0.75,0.5,0.25,0.3333333333333333,0.6666666666666666,0.05122702721529282,-0.0850738628467685,W+,OTHER,W+,0.02181038678530678,0.053701516069944444,W+,0.03359137186245942,0.06797813802864971,W-,-0.00017771899976237737,0.026358661422736795,R-,-0.03691198910202376,-0.0471116930550326
2017-08-31,KOSDAQ,0.75,0.5,0.5,0.25,0.6666666666666666,0.3333333333333333,0.056750482545016544,-0.1166495219269796,W+,BROAD_CONFIRMATION,W+,0.0607498668369022,0.07413620602696436,W+,0.05531992398674879,0.0848554082957278,N,0.01260468545658222,0.014106469133117971,R-,-0.019342666075075288,-0.03719630651728667
2017-09-07,KOSDAQ,1.0,0.5,0.5,0.0,1.0,0.3333333333333333,0.05686035902460742,-0.08399197253094792,W+,BROAD_CONFIRMATION,W+,0.08997286526799719,0.09156451548005262,W+,0.06767343809674164,0.06979236883338902,N,0.02801502202456363,-0.008774375616357855,R+,0.004560657249379263,-0.023325868435051467
2017-09-14,KOSDAQ,1.0,0.5,0.5,0.0,1.0,0.3333333333333333,0.053564805207830496,0.11398739904147066,W+,BROAD_CONFIRMATION,W+,0.08475790817473694,0.10873716065847627,W+,0.08448741884518585,0.08015843795547584,N,0.009574722243553602,-0.0001476099131103581,N,0.03291617218363729,0.008342916852570603
2017-09-21,KOSDAQ,0.75,0.75,0.75,0.0,0.6666666666666666,0.6666666666666666,0.026532838349456737,0.07318172244198988,W+,BROAD_CONFIRMATION,W+,0.018370506469237435,0.06526139199295855,W+,0.021178321138065836,0.05034270755384784,N,-0.007950537925932033,0.005103385925398829,W+,0.013720044427675937,0.026128705985733136
2017-09-28,KOSDAQ,0.25,0.25,0.0,0.0,0.3333333333333333,0.3333333333333333,0.01871958540811948,0.211249898890707,N,OTHER,N,-0.057104022439279034,-0.005966854898126761,N,0.004845081931090123,0.017859967134062127,N,-0.02760026202996768,-0.007954148556568175,W-,-0.013354107032980789,0.03049266535337003
2017-10-13,KOSDAQ,0.25,0.5,0.25,0.0,0.3333333333333333,0.6666666666666666,0.030791117418172854,0.23918641558312784,N,OTHER,N,-0.04411609559833318,-0.0013197701759803948,W+,0.03556562022211085,0.06627650091540471,N,-0.03204382642347425,0.0035134773925760143,W-,-0.01673084859023921,0.023497671859444957
2017-10-20,KOSDAQ,0.0,0.0,0.0,0.5,0.0,0.0,0.04153076480170059,0.3358886678154877,R-,MOM_BROAD_RISK_OFF,R-,-0.07081101817250601,-0.08744005408973521,N,-0.009925380790484106,0.004097971965129954,N,-0.011349802054751001,-0.004460905114772706,R-,-0.056815355724066374,-0.020194231856985656
2017-10-27,KOSDAQ,0.5,0.0,0.0,0.5,0.6666666666666666,0.0,0.03599662294417301,0.4339008476435946,R-,MOM_RISK_ROTATION_SUPPORT,R-,-0.01583276652082788,-0.09357345626305358,N,0.05473913137639008,-0.015862498056869345,N,0.03908115763455755,-0.01928826031148012,R-,-0.0018486505204990955,-0.036486145195471886
2017-11-03,KOSDAQ,1.0,0.0,0.0,0.0,1.0,0.0,0.024343944881484607,0.4682178572279388,R+,BULLISH_STYLE_SHIFT,R+,0.030789279882036835,-0.053899213806732904,N,0.06448397961386143,-0.014037295653618331,N,0.05405098911918804,0.00034741963469309134,R+,0.019313202782653915,-0.038792251813481116
2017-11-10,KOSDAQ,1.0,0.0,0.0,0.0,1.0,0.0,0.027442786022983945,0.5419507402763267,R+,BULLISH_STYLE_SHIFT,R+,0.07116638416018417,-0.06584118712473885,R+,0.09613933301286415,-0.02211273677508907,N,0.10401318380804714,5.008417533036713e-05,R+,0.07332944469460467,-0.03312697701693401
2017-11-17,KOSDAQ,1.0,0.25,0.25,0.0,1.0,0.0,0.06081712853484535,0.3034511515265428,W+,BROAD_CONFIRMATION,W+,0.23059362133197148,0.08929051267073618,R+,0.13276862799063616,-0.027363208763190983,R+,0.11189582549309596,-0.03025623794175103,R+,0.14045603821349406,-0.038344794313951214
2017-11-24,KOSDAQ,1.0,0.5,0.5,0.0,1.0,0.3333333333333333,0.07063192319901367,0.32199278359740546,W+,BROAD_CONFIRMATION,W+,0.24533331218022947,0.12629841129824992,W+,0.1471401854146408,0.038526203048020236,N,0.09275495661709976,-0.01804905928785594,R+,0.13888853273243051,-0.027549659236723034
