universe,strategy,phase,period,cost_bp,n_days,cagr,mdd,sharpe,benchmark_cagr,excess_cagr,information_ratio,relative_mdd,turnover_x,base_cagr,base_mdd,base_sharpe,base_excess_cagr,delta_cagr,delta_excess_cagr,delta_sharpe,delta_mdd
K200,WEIGHTED_MOM_R1M_GE_M10,0,NORMAL_2023_2024,30,489,-0.03515089323129983,-0.26484231700577154,-0.023971652311354067,0.03542592171588388,-0.0681621093957403,-0.2850093629075219,-0.17208646844884123,11.616676041783856,-0.018946822046500666,-0.22487332229524448,0.0455600806122942,-0.05251244209945827,-0.016204071184799163,-0.015649667296282033,-0.06953173292364827,-0.03996899471052706
K200,WEIGHTED_MOM_R1M_GE_M10,0,NORMAL_2023_2024,60,489,-0.06826759262531057,-0.2774863170118629,-0.16609472243575937,0.03542592171588388,-0.10014575853901375,-0.4568296370897228,-0.18506513751266385,11.616676041783856,-0.051727699542896466,-0.2367345945538658,-0.09198432473731002,-0.08417175910986552,-0.016539893082414103,-0.015973999429148233,-0.07411039769844935,-0.040751722457997075
K200,WEIGHTED_MOM_R1M_GE_M10,0,BULL_2025,0,242,0.5628133515596649,-0.21630338679448324,1.5784421529886803,0.8474539436294959,-0.15407182032945865,-0.6611076491899202,-0.321420144808063,10.690478927707796,0.5301137325244758,-0.21630338679448324,1.5119634016575965,-0.17177164940933598,0.03269961903518914,0.017699829079877327,0.06647875133108383,0.0
K200,WEIGHTED_MOM_R1M_GE_M10,0,BULL_2025,30,242,0.5134541584284762,-0.2194103807190303,1.4766859852730148,0.8474539436294959,-0.18078923501867994,-0.8095935838229159,-0.3325797615072231,10.690478927707796,0.4822540723329092,-0.2194103807190303,1.4110437248118515,-0.1976773886872193,0.031200086095567015,0.016888153668539352,0.06564226046116328,0.0
K200,WEIGHTED_MOM_R1M_GE_M10,0,BULL_2025,60,242,0.4655903806357897,-0.22250916212613048,1.3742886513427333,0.8474539436294959,-0.20669720309427386,-0.9572593517434104,-0.343570335831921,10.690478927707796,0.4358303129317942,-0.22250916212613048,1.3095321764479873,-0.2228058957123591,0.02976006770399553,0.01610869261808523,0.06475647489474601,0.0
K200,WEIGHTED_MOM_R1M_GE_M10,0,YTD_2026,0,147,1.3722972247283463,-0.300835756481991,1.78200640391862,1.0477770274712994,0.15847438119655943,0.23036646057828739,-0.20908695622874085,11.367587812335609,0.9217574685969914,-0.3877776849553053,1.383707190165538,-0.06153968776079277,0.4505397561313549,0.2200140689573522,0.3982992137530821,0.08694192847331428
K200,WEIGHTED_MOM_R1M_GE_M10,0,YTD_2026,30,147,1.2927025477596819,-0.30483974052500473,1.7231476432728208,1.0477770274712994,0.11960556105604137,0.14290343976348188,-0.21274262765832352,11.367587812335609,0.862202039025153,-0.3904137858583655,1.331769482844186,-0.09062265371504341,0.43050050873452883,0.21022821477108478,0.3913781604286348,0.08557404533336077
K200,WEIGHTED_MOM_R1M_GE_M10,0,YTD_2026,60,147,1.2156685375086909,-0.3088269879510598,1.6640403946577982,1.0477770274712994,0.08198720260316561,0.05552318294516769,-0.2163857007905453,11.367587812335609,0.8044161406340411,-0.3930414634986362,1.2796556475793939,-0.11884149669252331,0.41125239687464976,0.20082869929568892,0.3843847470784043,0.08421447554757644
K200,WEIGHTED_MOM_R1M_GE_M10,1,PRE_STRESS_2017_2024,0,1953,-0.07552238019727064,-0.525313207343493,-0.22821724407492833,0.018824562896068375,-0.09260371856873206,-0.4757397544739458,-0.5323379388532539,12.171124324134032,-0.07730890775666233,-0.5237105664890473,-0.22985783979493582,-0.09435723691178577,0.0017865275593916818,0.001753518343053706,0.0016405957200074928,-0.0016026408544456139
K200,WEIGHTED_MOM_R1M_GE_M10,1,PRE_STRESS_2017_2024,30,1953,-0.10869431506372818,-0.6228642828333845,-0.38675496611446836,0.018824562896068375,-0.12516274401288185,-0.6738330954492346,-0.6430217677002458,12.171124324134032,-0.10962044715164221,-0.6243304689023554,-0.38232675076182165,-0.12607176419323685,0.0009261320879140333,0.0009090201803549913,-0.004428215352646703,0.001466186068970976
K200,WEIGHTED_MOM_R1M_GE_M10,1,PRE_STRESS_2017_2024,60,1953,-0.14072424086746715,-0.704751879021315,-0.5442976370511833,0.018824562896068375,-0.15660086100595005,-0.8704041909198483,-0.7303682027438858,12.171124324134032,-0.1408464653192688,-0.7037980079262585,-0.5339106818265946,-0.15672082714757352,0.00012222445180165575,0.00011996614162346209,-0.010386955224588656,-0.0009538710950565132
K200,WEIGHTED_MOM_R1M_GE_M10,1,EARLY_2017_2019,0,722,-0.08406346234145534,-0.377951138544661,-0.3722401776647149,0.023957745064612457,-0.10549381351595888,-0.6181928209568766,-0.3007007418374993,12.337294092082928,-0.0831258040819316,-0.373626941790301,-0.36629679763252193,-0.1045780938350993,-0.0009376582595237437,-0.0009157196808595724,-0.005943380032192969,-0.004324196754360021
K200,WEIGHTED_MOM_R1M_GE_M10,1,EARLY_2017_2019,30,722,-0.1173694924618649,-0.4139276758254895,-0.5674576910321224,0.023957745064612457,-0.13802057575877813,-0.843707833996259,-0.3669845086125081,12.337294092082928,-0.1162921213045437,-0.4094229962767326,-0.5603840929137895,-0.13696841207085764,-0.0010773711573212053,-0.0010521636879204932,-0.007073598118332858,-0.004504679548756885
K200,WEIGHTED_MOM_R1M_GE_M10,1,EARLY_2017_2019,60,722,-0.149513068907432,-0.4478740763369712,-0.7609311623260056,0.023957745064612457,-0.1694120824889086,-1.0678420327270963,-0.42707181120452475,12.337294092082928,-0.14830694560403812,-0.44322323484044535,-0.7527960356127236,-0.16823417909474336,-0.001206123303393869,-0.0011779033941652362,-0.008135126713281982,-0.004650841496525837
K200,WEIGHTED_MOM_R1M_GE_M10,1,LATE_2020_2022,0,742,-0.08400859470865607,-0.4952225487370847,-0.2159194832305495,0.0031120961055546292,-0.08685040401012434,-0.4285289206453496,-0.40659912576062107,12.206701343553023,-0.0899071146546292,-0.48869416309907077,-0.22927374964582967,-0.09273062414591271,0.005898519945973124,0.005880220135788372,0.013354266415280175,-0.006528385638013945
