universe,period,threshold_pct,n_phases,median_delta_cagr,median_delta_excess_cagr,median_delta_sharpe,median_delta_mdd,cagr_better_phases,excess_better_phases
KOSDAQ_PLUS_KOSPI_EX_K200,PRE_STRESS_2017_2024,-5.0,10,0.009563553371981,0.009419694238212,0.0234773728364888,0.0089066134889488,7,7
KOSDAQ_PLUS_KOSPI_EX_K200,PRE_STRESS_2017_2024,0.0,10,0.0222200589680752,0.0218937058877192,0.0591334729202876,0.033143727668382,8,8
KOSDAQ_PLUS_KOSPI_EX_K200,PRE_STRESS_2017_2024,5.0,10,0.0240084674027071,0.023648029229781,0.0648151094317491,0.0242973891248552,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,PRE_STRESS_2017_2024,10.0,10,0.0381147206978757,0.0375656769681886,0.1031439495139087,0.0356359909892791,9,9
KOSPI_ALL,PRE_STRESS_2017_2024,-10.0,10,0.0046651402237394,0.0045763808229956,0.0156865155367884,0.0133316117979307,9,9
KOSPI_ALL,PRE_STRESS_2017_2024,-5.0,10,0.0013243754837824,0.0013009609572393,0.0024621040948852,0.0097607011463143,5,5
KOSPI_ALL,PRE_STRESS_2017_2024,0.0,10,0.0041483968967314,0.0040737382255132,0.0025098361675143,0.005665121175993,7,7
KOSPI_ALL,PRE_STRESS_2017_2024,5.0,10,0.014898496975717,0.0146190864189479,0.0576761424934979,0.0165414496287321,7,7
KOSPI_ALL,PRE_STRESS_2017_2024,10.0,10,0.0314593332042412,0.0308663237829214,0.1256186358085668,0.0303670415806446,10,10
KOSPI_EX_K200,PRE_STRESS_2017_2024,-10.0,10,0.0019125440941332,0.0018694289433799,0.0083903669362633,-0.0049764216909578,6,6
KOSPI_EX_K200,PRE_STRESS_2017_2024,-5.0,10,0.001688811625508,0.0016483664599465,0.0040645692850772,0.0031797251649636,7,7
KOSPI_EX_K200,PRE_STRESS_2017_2024,0.0,10,0.0119895764571439,0.0117104818481021,0.0410597263652595,-0.0016336296783522,8,8
KOSPI_EX_K200,PRE_STRESS_2017_2024,5.0,10,0.0322334825587397,0.0314717283487228,0.1360836850149075,0.0145781883007739,10,10
KOSPI_EX_K200,PRE_STRESS_2017_2024,10.0,10,0.0461787871176986,0.0450928364717971,0.1945335208812897,0.0591998094155009,10,10
KOSPI_KOSDAQ_ALL,PRE_STRESS_2017_2024,-10.0,10,0.0036743994704296,0.0036084078180957,0.0073288474376954,0.0093822377563567,6,6
KOSPI_KOSDAQ_ALL,PRE_STRESS_2017_2024,-5.0,10,0.0110775855101338,0.0108824993323947,0.027606237243848,0.0032551891873771,7,7
KOSPI_KOSDAQ_ALL,PRE_STRESS_2017_2024,0.0,10,0.0236316510563872,0.0231905965174288,0.0613323206281702,0.0411748461952124,9,9
KOSPI_KOSDAQ_ALL,PRE_STRESS_2017_2024,5.0,10,0.0146709683442886,0.0144013932291062,0.0361950984511452,0.021009805031149,9,9
KOSPI_KOSDAQ_ALL,PRE_STRESS_2017_2024,10.0,10,0.0243875713646261,0.0239408856477501,0.0657780241665935,0.0227454702829899,9,9
K200,YTD_2026,-10.0,10,0.3770906883305627,0.1841463612843695,0.3780130738893417,0.0747282361016043,10,10
K200,YTD_2026,-5.0,10,0.4229893181935363,0.2065602419204124,0.4504700266727197,0.0957920688307636,10,10
K200,YTD_2026,0.0,10,0.593095797108996,0.2896290900583917,0.5815788421316006,0.1225085275020313,10,10
K200,YTD_2026,5.0,10,0.5713125059334409,0.2789915592709474,0.5889866453559213,0.095416690772825,10,10
K200,YTD_2026,10.0,10,0.368153281512846,0.1797819179402862,0.3539519097731446,0.0204627270110882,10,10
KOSDAQ,YTD_2026,-10.0,10,0.1083659217939805,0.141576275349147,0.1220867140667096,0.0411447356563351,10,10
KOSDAQ,YTD_2026,-5.0,10,0.1993843880518555,0.2604887085888181,0.221255003251069,0.064336845532685,10,10
KOSDAQ,YTD_2026,0.0,10,0.2799491177286289,0.3657437017021809,0.2981080241164592,0.0916203974842503,10,10
KOSDAQ,YTD_2026,5.0,10,0.3980532052365982,0.5200425489419703,0.4586814167873853,0.1254809370024848,10,10
KOSDAQ,YTD_2026,10.0,10,0.44504873597694,0.5814405612518063,0.4993648039865618,0.0958516061757614,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,-10.0,10,0.0940552508294985,0.1124885357967493,0.1351995083419018,0.0358925328784644,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,-5.0,10,0.1533017579905867,0.1833463856546331,0.2138452584477271,0.0484215188597332,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,0.0,10,0.1745279109444675,0.208732516097349,0.2544183676066792,0.0627711100211864,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,5.0,10,0.2386710113018209,0.2854466110258969,0.3425057311631195,0.080497271050723,10,10
