universe,period,threshold_pct,median_cagr,median_mdd,median_sharpe,median_excess_cagr,median_turnover,positive_cagr_phases,positive_excess_phases
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,-10.0,-0.0986909418175658,-0.6046506570972966,-0.049267009391221,-0.1270845512852181,13.202600883764925,0,0
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,-5.0,-0.0968712159903744,-0.5870237330875998,-0.0342528197133628,-0.125322151614916,13.550382648498232,0,0
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,0.0,-0.0963285320169614,-0.5991383488995252,-0.0358249184195836,-0.1247965636161464,13.84557640952243,0,0
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,5.0,-0.0993044572389802,-0.5936826845730118,-0.0499320163732264,-0.1276787393547983,14.26604537077774,0,0
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,10.0,-0.1269132064240594,-0.612267731774274,-0.129066600992341,-0.1544177402164417,14.788617585533892,0,0
K200,PRE_STRESS_2017_2024,-10.0,-0.1008283497924709,-0.613875497132742,-0.3333523851587236,-0.1172435628638747,12.049905549709258,0,0
K200,PRE_STRESS_2017_2024,-5.0,-0.0970521409521962,-0.5986875785608066,-0.3211073333194981,-0.1149859901301005,12.288946535795212,0,0
K200,PRE_STRESS_2017_2024,0.0,-0.0911238224192544,-0.597929707076448,-0.2959759951511016,-0.1090609275623636,12.718855517179868,0,0
K200,PRE_STRESS_2017_2024,5.0,-0.0821899003994313,-0.5810664712847957,-0.2470183716166362,-0.0989862544738998,12.32587361573034,0,0
K200,PRE_STRESS_2017_2024,10.0,-0.0387598515454942,-0.5428867232489341,-0.0485104928014583,-0.0576289940576545,8.897795093278503,2,0
KOSDAQ,PRE_STRESS_2017_2024,-10.0,-0.0605251122460827,-0.7468551492366595,0.0132949152045795,-0.0731751879913787,12.630152169853217,0,0
KOSDAQ,PRE_STRESS_2017_2024,-5.0,-0.0451718214808825,-0.72820704678682,0.0565199584639379,-0.0587098051451586,12.957932331647845,0,0
KOSDAQ,PRE_STRESS_2017_2024,0.0,-0.0235701852024544,-0.715249972904386,0.1165064179359803,-0.0374103634445326,13.296223501599142,0,0
KOSDAQ,PRE_STRESS_2017_2024,5.0,-0.0157913105485141,-0.7078130997844287,0.1376304946546059,-0.0292826406085424,13.602220650815934,1,0
KOSDAQ,PRE_STRESS_2017_2024,10.0,-0.0045489923762978,-0.658857461652263,0.168756105949036,-0.0185754927660261,13.01172989878642,4,3
KOSDAQ_PLUS_KOSPI_EX_K200,PRE_STRESS_2017_2024,-10.0,-0.0905849711139836,-0.732241134618272,-0.0607595015778598,-0.1040914791132548,12.994033455787063,0,0
KOSDAQ_PLUS_KOSPI_EX_K200,PRE_STRESS_2017_2024,-5.0,-0.0840071243263125,-0.7422426387937215,-0.0520129570856601,-0.0975092069682692,13.326615591398332,0,0
