universe,period,variant,n_dates,avg_eligible_retention,median_eligible_retention,filtered_top20_valid_rate,avg_top20_overlap_when_valid,avg_names_replaced_when_valid,median_names_replaced_when_valid
KOSPI_ALL,YTD_2026,WEIGHTED_MOM_R1M_GE_M5,147,0.5953058054519865,0.5737704918032787,1.0,18.081632653061224,1.9183673469387754,1.0
KOSPI_ALL,YTD_2026,WEIGHTED_MOM_R1M_GE_P0,147,0.4402916345182523,0.3656716417910448,1.0,17.653061224489797,2.3469387755102042,2.0
KOSPI_ALL,YTD_2026,WEIGHTED_MOM_R1M_GE_P10,147,0.2205089921612813,0.14691943127962084,0.9251700680272109,16.86764705882353,3.1323529411764706,2.0
KOSPI_ALL,YTD_2026,WEIGHTED_MOM_R1M_GE_P5,147,0.3096470729299522,0.23201856148491878,0.9863945578231292,17.082758620689656,2.9172413793103447,2.0
KOSPI_EX_K200,BULL_2025,WEIGHTED_MOM_R1M_GE_M10,242,0.9002571523410292,0.9237881699765108,1.0,19.681818181818183,0.3181818181818182,0.0
KOSPI_EX_K200,BULL_2025,WEIGHTED_MOM_R1M_GE_M5,242,0.7759865912993995,0.8112025068546809,1.0,19.35123966942149,0.6487603305785123,0.0
KOSPI_EX_K200,BULL_2025,WEIGHTED_MOM_R1M_GE_P0,242,0.5617845528028023,0.5650161030595813,1.0,18.706611570247933,1.2933884297520661,1.0
KOSPI_EX_K200,BULL_2025,WEIGHTED_MOM_R1M_GE_P10,242,0.21485732769671192,0.1813953488372093,0.8677685950413223,17.023809523809526,2.9761904761904763,3.0
KOSPI_EX_K200,BULL_2025,WEIGHTED_MOM_R1M_GE_P5,242,0.3464079723761746,0.302757668871413,0.9669421487603306,17.807692307692307,2.1923076923076925,2.0
KOSPI_EX_K200,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_M10,733,0.8734449335593534,0.9191176470588235,0.9972714870395635,19.432284541723668,0.5677154582763337,0.0
KOSPI_EX_K200,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_M5,733,0.7267281048427131,0.7761194029850746,0.9877216916780355,18.79696132596685,1.2030386740331491,1.0
KOSPI_EX_K200,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_P0,733,0.48595163933088525,0.4961832061068702,0.9427012278308322,17.994211287988424,2.0057887120115776,1.0
KOSPI_EX_K200,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_P10,733,0.15485723450627886,0.13793103448275862,0.5156889495225102,16.626984126984127,3.373015873015873,3.0
KOSPI_EX_K200,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_P5,733,0.27314219155758546,0.2597402597402597,0.8021828103683493,17.202380952380953,2.7976190476190474,2.5
KOSPI_EX_K200,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_M10,742,0.8472891296789231,0.9076614148903306,0.9851752021563343,19.300957592339262,0.6990424076607387,0.0
KOSPI_EX_K200,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_M5,742,0.7051344896401318,0.763399819420504,0.9824797843665768,18.770919067215363,1.2290809327846366,1.0
KOSPI_EX_K200,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_P0,742,0.5042738765607595,0.5092342722212853,0.9609164420485176,18.061711079943898,1.9382889200561009,1.0
KOSPI_EX_K200,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_P10,742,0.20705325141545747,0.17118368630740197,0.7830188679245284,16.38209982788296,3.6179001721170394,3.0
KOSPI_EX_K200,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_P5,742,0.32089385470763276,0.28864480414827276,0.8935309973045822,17.239819004524886,2.760180995475113,2.0
KOSPI_EX_K200,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_M10,489,0.8758481986251827,0.895,1.0,19.38445807770961,0.6155419222903885,0.0
KOSPI_EX_K200,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_M5,489,0.7267176936145245,0.73,1.0,18.985685071574643,1.0143149284253579,1.0
KOSPI_EX_K200,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_P0,489,0.47500380116830515,0.44711538461538464,0.9979550102249489,18.21311475409836,1.7868852459016393,1.0
KOSPI_EX_K200,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_P10,489,0.15870687542631176,0.14948453608247422,0.8159509202453987,16.105263157894736,3.8947368421052633,4.0
KOSPI_EX_K200,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_P5,489,0.26450149966929326,0.24598930481283424,0.983640081799591,17.114345114345113,2.8856548856548856,2.0
KOSPI_EX_K200,YTD_2026,WEIGHTED_MOM_R1M_GE_M10,147,0.7357222630512884,0.8104265402843602,1.0,18.244897959183675,1.7551020408163265,1.0
KOSPI_EX_K200,YTD_2026,WEIGHTED_MOM_R1M_GE_M5,147,0.5919104451745931,0.5934579439252337,0.9863945578231292,17.717241379310344,2.282758620689655,2.0
KOSPI_EX_K200,YTD_2026,WEIGHTED_MOM_R1M_GE_P0,147,0.42886627073704836,0.3659574468085106,0.9591836734693877,17.177304964539008,2.8226950354609928,2.0
KOSPI_EX_K200,YTD_2026,WEIGHTED_MOM_R1M_GE_P10,147,0.20388150451989118,0.14583333333333334,0.7006802721088435,16.844660194174757,3.1553398058252426,3.0
KOSPI_EX_K200,YTD_2026,WEIGHTED_MOM_R1M_GE_P5,147,0.2902692662428335,0.22685185185185186,0.8435374149659864,16.951612903225808,3.0483870967741935,3.0
KOSPI_KOSDAQ_ALL,BULL_2025,WEIGHTED_MOM_R1M_GE_M10,242,0.8790580563149891,0.9025992767702711,1.0,19.673553719008265,0.32644628099173556,0.0
KOSPI_KOSDAQ_ALL,BULL_2025,WEIGHTED_MOM_R1M_GE_M5,242,0.7503818591836194,0.7709340429381588,1.0,19.458677685950413,0.5413223140495868,0.0
KOSPI_KOSDAQ_ALL,BULL_2025,WEIGHTED_MOM_R1M_GE_P0,242,0.5626493339773941,0.5631638228290832,1.0,19.115702479338843,0.8842975206611571,1.0
KOSPI_KOSDAQ_ALL,BULL_2025,WEIGHTED_MOM_R1M_GE_P10,242,0.2533933008474611,0.2336882997604597,1.0,18.21900826446281,1.78099173553719,1.0
KOSPI_KOSDAQ_ALL,BULL_2025,WEIGHTED_MOM_R1M_GE_P5,242,0.37734553581981073,0.3621314701244831,1.0,18.75619834710744,1.243801652892562,1.0
KOSPI_KOSDAQ_ALL,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_M10,733,0.8614707661722559,0.9094269870609981,0.9972714870395635,19.461012311901506,0.5389876880984952,0.0
KOSPI_KOSDAQ_ALL,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_M5,733,0.7103901295802239,0.7450592885375494,0.9972714870395635,19.031463748290015,0.9685362517099864,1.0
KOSPI_KOSDAQ_ALL,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_P0,733,0.49079530607163674,0.4892086330935252,0.9931787175989086,18.412087912087912,1.5879120879120878,1.0
KOSPI_KOSDAQ_ALL,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_P10,733,0.16713524399421903,0.14864864864864866,0.9604365620736699,16.603693181818183,3.3963068181818183,3.0
KOSPI_KOSDAQ_ALL,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_P5,733,0.2915639916217484,0.2780952380952381,0.990450204638472,17.585399449035812,2.4146005509641872,2.0
KOSPI_KOSDAQ_ALL,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_M10,742,0.8276257153853182,0.8867315969539786,1.0,19.07412398921833,0.9258760107816711,1.0
KOSPI_KOSDAQ_ALL,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_M5,742,0.6849119404406457,0.7265565256042097,0.9986522911051213,18.669365721997302,1.330634278002699,1.0
KOSPI_KOSDAQ_ALL,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_P0,742,0.49664105971876454,0.4899938199796423,0.9919137466307277,18.188858695652176,1.8111413043478262,1.0
KOSPI_KOSDAQ_ALL,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_P10,742,0.211804857581137,0.17742823610110348,0.9690026954177897,17.073713490959666,2.9262865090403336,2.0
KOSPI_KOSDAQ_ALL,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_P5,742,0.32410182917995095,0.29231245909401066,0.9851752021563343,17.623803009575923,2.3761969904240767,2.0
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_M10,489,0.8378233599552521,0.8655692729766804,1.0,19.20449897750511,0.7955010224948875,0.0
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_M5,489,0.6864671763003484,0.6927374301675978,1.0,18.830265848670756,1.1697341513292434,1.0
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_P0,489,0.47484155131572625,0.45701357466063347,1.0,18.26993865030675,1.7300613496932515,1.0
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_P10,489,0.1834376728425071,0.175,1.0,16.822085889570552,3.1779141104294477,2.0
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_P5,489,0.2915228608176411,0.27247579529737204,1.0,17.65439672801636,2.34560327198364,1.0
KOSPI_KOSDAQ_ALL,YTD_2026,WEIGHTED_MOM_R1M_GE_M10,147,0.6981868722022331,0.7322074788902292,1.0,18.312925170068027,1.6870748299319729,1.0
KOSPI_KOSDAQ_ALL,YTD_2026,WEIGHTED_MOM_R1M_GE_M5,147,0.5756410602306911,0.5571776155717761,1.0,17.87074829931973,2.129251700680272,2.0
KOSPI_KOSDAQ_ALL,YTD_2026,WEIGHTED_MOM_R1M_GE_P0,147,0.44435349694140663,0.38701298701298703,1.0,17.428571428571427,2.5714285714285716,2.0
KOSPI_KOSDAQ_ALL,YTD_2026,WEIGHTED_MOM_R1M_GE_P10,147,0.24669530748308963,0.18134034165571616,1.0,16.3265306122449,3.673469387755102,3.0
KOSPI_KOSDAQ_ALL,YTD_2026,WEIGHTED_MOM_R1M_GE_P5,147,0.3273787630960537,0.25771971496437057,1.0,16.897959183673468,3.1020408163265305,2.0
