strategy,universe,horizon,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60
VETO_LOW10,K200,5,YTD_2026,28,0.0008765015086515559,0.035044642857142844,0.0008765015086515559,0.0007713675800801275,0.0006662336515086989
VETO_LOW10,K200,10,BULL_2025,25,-0.0007412670020242939,0.04175000000000001,-0.0007412670020242939,-0.0008665170020242941,-0.000991767002024294
VETO_LOW10,K200,10,EARLY_2016_2019,96,-0.00017755516524745312,0.05084635416666666,-0.00017755516524745312,-0.00033009422774745307,-0.00048263329024745313
VETO_LOW10,K200,10,LATE_2020_2022,75,-0.0003990103886102273,0.0445,-0.0003990103886102273,-0.0005325103886102273,-0.0006660103886102271
VETO_LOW10,K200,10,NORMAL_2023_2024,48,0.0007253685925894467,0.043619791666666664,0.0007253685925894467,0.0005945092175894468,0.00046364984258944673
VETO_LOW10,K200,10,YTD_2026,13,0.0027608757972407737,0.029326923076923084,0.0027608757972407737,0.002672895028010005,0.002584914258779235
VETO_LOW10,K200,20,BULL_2025,12,-0.002150090879594641,0.02552083333333334,-0.002150090879594641,-0.002226653379594641,-0.002303215879594641
VETO_LOW10,K200,20,EARLY_2016_2019,48,-0.0006723587387614513,0.04505208333333333,-0.0006723587387614513,-0.0008075149887614514,-0.0009426712387614512
VETO_LOW10,K200,20,LATE_2020_2022,38,-0.0013389323309103173,0.030098684210526316,-0.0013389323309103173,-0.0014292283835418962,-0.0015195244361734753
VETO_LOW10,K200,20,NORMAL_2023_2024,24,-0.001059501215608461,0.03567708333333334,-0.001059501215608461,-0.0011665324656084611,-0.0012735637156084609
VETO_LOW10,K200,20,YTD_2026,6,0.007554432206613732,0.015625000000000017,0.007554432206613732,0.007507557206613732,0.007460682206613732
VETO_LOW10,KOSDAQ,5,BULL_2025,49,0.000389310561718103,0.004209183673469386,0.000389310561718103,0.00037668301069769474,0.00036405545967728664
VETO_LOW10,KOSDAQ,5,EARLY_2016_2019,192,7.652191871088915e-05,0.013248697916666665,7.652191871088915e-05,3.677582496088913e-05,-2.9702687891108672e-06
VETO_LOW10,KOSDAQ,5,LATE_2020_2022,149,-0.0003298140661988994,0.009647651006711408,-0.0003298140661988994,-0.00035875701921903356,-0.0003876999722391679
VETO_LOW10,KOSDAQ,5,NORMAL_2023_2024,97,0.000364287488015803,0.005798969072164946,0.000364287488015803,0.0003468905807993081,0.00032949367358281326
VETO_LOW10,KOSDAQ,5,YTD_2026,28,-0.00016947238189590365,0.007366071428571435,-0.00016947238189590365,-0.000191570596181618,-0.00021366881046733227
VETO_LOW10,KOSDAQ,10,BULL_2025,25,0.0006477816217206988,0.007250000000000006,0.0006477816217206988,0.0006260316217206989,0.0006042816217206988
VETO_LOW10,KOSDAQ,10,EARLY_2016_2019,96,0.000526561785623005,0.014127604166666663,0.000526561785623005,0.00048417897312300496,0.000441796160623005
VETO_LOW10,KOSDAQ,10,LATE_2020_2022,75,-9.416319406742915e-05,0.008500000000000004,-9.416319406742915e-05,-0.00011966319406742911,-0.00014516319406742914
VETO_LOW10,KOSDAQ,10,NORMAL_2023_2024,48,0.00043451927871772616,0.007682291666666666,0.00043451927871772616,0.0004114724037177263,0.0003884255287177261
VETO_LOW10,KOSDAQ,10,YTD_2026,13,0.0010039544370489548,0.008173076923076929,0.0010039544370489548,0.0009794352062797238,0.000954915975510493
VETO_LOW10,KOSDAQ,20,BULL_2025,12,0.00040188184874933534,0.002604166666666676,0.00040188184874933534,0.0003940693487493353,0.00038625684874933527
VETO_LOW10,KOSDAQ,20,EARLY_2016_2019,48,0.0010034666797749594,0.011067708333333337,0.0010034666797749594,0.0009702635547749593,0.0009370604297749594
VETO_LOW10,KOSDAQ,20,LATE_2020_2022,38,1.9562788212037343e-05,0.0054276315789473575,1.9562788212037343e-05,3.2798934751952287e-06,-1.3003001261646863e-05
VETO_LOW10,KOSDAQ,20,NORMAL_2023_2024,24,0.0006445319254639851,9.25185853854297e-18,0.0006445319254639851,0.0006445319254639851,0.0006445319254639849
