low_cut,universe,horizon,sample,combo_net30,top1_only_net30,low_only_net30,combo_minus_best_component
0.05,KOSDAQ,10,YTD_2026,0.0012648336462807658,0.0008517801785168342,0.00024025794633972472,0.00041305346776393157
0.05,KOSDAQ,20,EARLY_2016_2019,0.0011505100497549775,0.0008276809600568589,0.001082435290239724,6.807475951525342e-05
0.05,KOSDAQ,20,LATE_2020_2022,-0.0003377804401792941,-0.0003231266713506744,-7.89544773634618e-05,-0.0002588259628158323
0.05,KOSDAQ,20,NORMAL_2023_2024,0.00016219426914119143,0.00036487972194331874,-4.855910437486573e-05,-0.0002026854528021273
0.05,KOSDAQ,20,BULL_2025,-0.0002791473073834385,-0.00015167185816618477,-0.00012747544921725375,-0.00015167185816618477
0.05,KOSDAQ,20,YTD_2026,0.0012639818119363556,0.0011458170011649515,0.0002176807875357285,0.00011816481077140404
0.05,KOSPI_KOSDAQ_ALL,5,EARLY_2016_2019,0.00021595464661110296,0.00020247656415559707,0.0001816509557952667,1.3478082455505892e-05
0.05,KOSPI_KOSDAQ_ALL,5,LATE_2020_2022,0.0001901692807372404,0.0001377587866031975,0.00013340437931281157,5.2410494134042895e-05
0.05,KOSPI_KOSDAQ_ALL,5,NORMAL_2023_2024,0.00021474155047550847,-8.03261289277222e-05,0.0003547528106721963,-0.00014001126019668784
0.05,KOSPI_KOSDAQ_ALL,5,BULL_2025,0.00017621969774572416,4.899004863199091e-05,0.00020395060766414236,-2.7730909918418208e-05
0.05,KOSPI_KOSDAQ_ALL,5,YTD_2026,-8.150748465780825e-05,-5.64843089223925e-05,-0.0002983679554696255,-2.502317573541575e-05
0.05,KOSPI_KOSDAQ_ALL,10,EARLY_2016_2019,0.0005238275346184884,0.0004123271159401265,0.00048632613899376033,3.750139562472808e-05
0.05,KOSPI_KOSDAQ_ALL,10,LATE_2020_2022,0.0004182300783781396,0.0003706749832729267,0.00028382534717666304,4.755509510521289e-05
0.05,KOSPI_KOSDAQ_ALL,10,NORMAL_2023_2024,0.00015988092565699576,-0.0003902589372553847,0.0005902684725930157,-0.00043038754693602
0.05,KOSPI_KOSDAQ_ALL,10,BULL_2025,8.679289049668921e-05,3.549473366886761e-05,0.00011423010871919286,-2.7437218222503654e-05
0.05,KOSPI_KOSDAQ_ALL,10,YTD_2026,0.000847826162654184,0.0006509860091752177,-3.1136179464026554e-05,0.0001968401534789664
0.05,KOSPI_KOSDAQ_ALL,20,EARLY_2016_2019,0.0009839323988404584,0.0008530452085017664,0.0009886751162885446,-4.742717448086254e-06
0.05,KOSPI_KOSDAQ_ALL,20,LATE_2020_2022,0.0007084289607183947,0.0003155435035379246,0.0005031490021679119,0.00020527995855048275
0.05,KOSPI_KOSDAQ_ALL,20,NORMAL_2023_2024,0.00015255368480371798,-4.033068619566101e-05,0.0005827774959966952,-0.00043022381119297724
0.05,KOSPI_KOSDAQ_ALL,20,BULL_2025,-0.00024363580712564415,0.0004484445147946517,-0.0006920803219202958,-0.0006920803219202958
0.05,KOSPI_KOSDAQ_ALL,20,YTD_2026,0.0013962043744665936,0.0008049265093141633,0.00028398607964534887,0.0005912778651524304
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,0.0003853747596616031,0.0002818977608365424,0.0003153790111337988,6.99957485278043e-05
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,5.633625107582665e-05,6.860330738415569e-05,-2.326844396825853e-05,-1.2267056308329042e-05
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,0.0003572467061705529,5.534424557511072e-05,0.0005312301950154658,-0.00017398348884491296
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,9.926769194691423e-05,5.3518308666348264e-05,0.00012701359811829657,-2.7745906171382342e-05
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,-0.00015700671611162788,2.726069929002958e-05,-0.00032678163924972325,-0.00018426741540165747
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,0.0007863669445694402,0.0005670899375094668,0.0006775275690490513,0.00010883937552038888
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,-1.3191005556554623e-06,0.00010593518781411447,-7.992029651594391e-05,-0.00010725428836976994
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,0.0008566387762875328,0.00020839079993342853,0.001132672556114387,-0.0002760337798268541
