strategy,universe,horizon,sample,n_dates,gross_delta,turnover_delta,mean_act5,act5_gt1_share,net_delta_0,net_delta_30,net_delta_60,metric,mean,ci025,ci975,p_gt0
CF20_ACT5_GT1_DIAG,KOSDAQ,10,EARLY_2016_2019,96,0.00019250881605659118,0.3426897321428572,1.8817425008884812,1.0,0.00019250881605659118,-0.0008355603803719803,-0.0018636295768005514,net_30,-0.0008355603803719803,-0.0033650189152260434,0.0015878232481179105,0.25025
CF20_ACT5_GT1_DIAG,KOSDAQ,10,EARLY_2016_2019,96,0.00019250881605659118,0.3426897321428572,1.8817425008884812,1.0,0.00019250881605659118,-0.0008355603803719803,-0.0018636295768005514,net_60,-0.0018636295768005514,-0.004476317939498735,0.0006962616231747005,0.081
CF20_ACT5_GT1_DIAG,KOSDAQ,10,LATE_2020_2022,75,0.0005670448792850097,0.307,2.3169485902035567,1.0,0.0005670448792850097,-0.00035395512071499045,-0.00127495512071499,gross_delta,0.0005670448792850097,-0.0026621654477587456,0.0040985421588648225,0.60275
CF20_ACT5_GT1_DIAG,KOSDAQ,10,LATE_2020_2022,75,0.0005670448792850097,0.307,2.3169485902035567,1.0,0.0005670448792850097,-0.00035395512071499045,-0.00127495512071499,net_30,-0.00035395512071499045,-0.0035092509723309503,0.0030018041637455964,0.40975
CF20_ACT5_GT1_DIAG,KOSDAQ,10,LATE_2020_2022,75,0.0005670448792850097,0.307,2.3169485902035567,1.0,0.0005670448792850097,-0.00035395512071499045,-0.00127495512071499,net_60,-0.00127495512071499,-0.004423606626256277,0.0021265305489013148,0.2185
CF20_ACT5_GT1_DIAG,KOSDAQ,10,NORMAL_2023_2024,48,-0.0015396836714362792,0.3349888392857143,2.8062110002515475,1.0,-0.0015396836714362792,-0.002544650189293422,-0.0035496167071505636,gross_delta,-0.0015396836714362792,-0.007294066237468256,0.004074853644519124,0.30425
CF20_ACT5_GT1_DIAG,KOSDAQ,10,NORMAL_2023_2024,48,-0.0015396836714362792,0.3349888392857143,2.8062110002515475,1.0,-0.0015396836714362792,-0.002544650189293422,-0.0035496167071505636,net_30,-0.002544650189293422,-0.008437096436557413,0.0030682205703907416,0.1915
CF20_ACT5_GT1_DIAG,KOSDAQ,10,NORMAL_2023_2024,48,-0.0015396836714362792,0.3349888392857143,2.8062110002515475,1.0,-0.0015396836714362792,-0.002544650189293422,-0.0035496167071505636,net_60,-0.0035496167071505636,-0.009513668842771909,0.002137387110359687,0.11
CF20_ACT5_GT1_DIAG,KOSDAQ,10,YTD_2026,13,0.007935957623385816,0.26346153846153847,2.1971324917516752,1.0,0.007935957623385816,0.007145573008001198,0.006355188392616584,gross_delta,0.007935957623385816,-0.0021823767832298176,0.018143017097172795,0.94
CF20_ACT5_GT1_DIAG,KOSDAQ,10,YTD_2026,13,0.007935957623385816,0.26346153846153847,2.1971324917516752,1.0,0.007935957623385816,0.007145573008001198,0.006355188392616584,net_30,0.007145573008001198,-0.0031029344963319177,0.017005089319003124,0.90675
CF20_ACT5_GT1_DIAG,KOSDAQ,10,YTD_2026,13,0.007935957623385816,0.26346153846153847,2.1971324917516752,1.0,0.007935957623385816,0.007145573008001198,0.006355188392616584,net_60,0.006355188392616584,-0.0040996158291433105,0.016483899115295485,0.881
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,49,-0.0015168380998915433,0.29668367346938773,2.9878557719538574,1.0,-0.0015168380998915433,-0.0024068891202997066,-0.0032969401407078693,gross_delta,-0.0015168380998915433,-0.004486539225319722,0.0015820196540614372,0.171
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,49,-0.0015168380998915433,0.29668367346938773,2.9878557719538574,1.0,-0.0015168380998915433,-0.0024068891202997066,-0.0032969401407078693,net_30,-0.0024068891202997066,-0.005373670739154335,0.0005274711044168367,0.055
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,49,-0.0015168380998915433,0.29668367346938773,2.9878557719538574,1.0,-0.0015168380998915433,-0.0024068891202997066,-0.0032969401407078693,net_60,-0.0032969401407078693,-0.006403029556899345,-0.00015794122546963673,0.0195
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,192,-0.0001071568428607413,0.3333984374999999,1.9643803682029457,1.0,-0.0001071568428607413,-0.0011073521553607414,-0.002107547467860741,gross_delta,-0.0001071568428607413,-0.0011561826125142665,0.000992319586312571,0.42275
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,192,-0.0001071568428607413,0.3333984374999999,1.9643803682029457,1.0,-0.0001071568428607413,-0.0011073521553607414,-0.002107547467860741,net_30,-0.0011073521553607414,-0.0021842240049862673,-7.492367127275045e-05,0.017
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,192,-0.0001071568428607413,0.3333984374999999,1.9643803682029457,1.0,-0.0001071568428607413,-0.0011073521553607414,-0.002107547467860741,net_60,-0.002107547467860741,-0.0031560673694100384,-0.001053029900113579,0.00025
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,149,-0.001392301446994431,0.29379194630872485,2.425569284196146,1.0,-0.001392301446994431,-0.002273677285920606,-0.00315505312484678,gross_delta,-0.001392301446994431,-0.0031806674224054412,0.0003713861572260653,0.06275
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,149,-0.001392301446994431,0.29379194630872485,2.425569284196146,1.0,-0.001392301446994431,-0.002273677285920606,-0.00315505312484678,net_30,-0.002273677285920606,-0.004095332861960667,-0.0005038667105644899,0.005
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,149,-0.001392301446994431,0.29379194630872485,2.425569284196146,1.0,-0.001392301446994431,-0.002273677285920606,-0.00315505312484678,net_60,-0.00315505312484678,-0.004967584882419679,-0.0013871212208589083,0.00025
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,97,0.0009863620218048552,0.31372422680412365,3.0681775101253574,1.0,0.0009863620218048552,4.518934139248415e-05,-0.0008959833390198869,gross_delta,0.0009863620218048552,-0.0015678127565110682,0.0037546893684916624,0.765
