strategy,universe,horizon,sample,family,n_dates,gross_delta,positive_date_rate
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,MOMENTUM,13,0.00046918389137277195,0.46153846153846156
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,REVISION,13,0.00710465590575507,0.6153846153846154
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,VALUE,13,0.0027513133067901966,0.6153846153846154
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,BULL_2025,FLOW,49,-0.001584316598871278,0.42857142857142855
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,BULL_2025,MOMENTUM,49,-0.0017258264252552815,0.3877551020408163
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,BULL_2025,REVISION,49,-0.0005032689629297509,0.4489795918367347
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,BULL_2025,VALUE,49,-0.002384840263293955,0.4489795918367347
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,EARLY_2016_2019,FLOW,192,-0.00100683485658008,0.484375
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,EARLY_2016_2019,MOMENTUM,192,-0.0010404111411191246,0.4947916666666667
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,EARLY_2016_2019,REVISION,192,-0.0011595785346545755,0.484375
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,EARLY_2016_2019,VALUE,192,-4.931988718975811e-05,0.484375
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,LATE_2020_2022,FLOW,149,-0.0018542315955932622,0.4429530201342282
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,LATE_2020_2022,MOMENTUM,149,-0.0003706633368970835,0.5503355704697986
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,LATE_2020_2022,REVISION,149,-0.0010588457819820265,0.4899328859060403
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,LATE_2020_2022,VALUE,149,-0.00028918301107989204,0.47651006711409394
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,NORMAL_2023_2024,FLOW,97,8.150772202134411e-05,0.5154639175257731
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,NORMAL_2023_2024,MOMENTUM,97,-0.000666121323231596,0.4845360824742268
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,NORMAL_2023_2024,REVISION,97,-5.790904377379941e-05,0.4948453608247423
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,NORMAL_2023_2024,VALUE,97,-0.0015791129536168493,0.4536082474226804
