date,sample,horizon,universe,factor,family,strategy,gross,turnover,mean_act5,act5_gt1_share
2016-01-18,EARLY_2016_2019,5,KOSPI_ALL,MOM1M,MOMENTUM,CF20,-0.010219669148055784,0.5,,0.0
2016-01-18,EARLY_2016_2019,5,KOSPI_ALL,MOM12_1,MOMENTUM,CF20,0.007747909202625127,0.25,,0.0
2016-01-18,EARLY_2016_2019,5,KOSPI_ALL,PRIVATE_FLOW,FLOW,CF20,0.004783598717419743,0.4,,0.0
2016-01-18,EARLY_2016_2019,5,KOSPI_ALL,FOREIGN_FLOW,FLOW,CF20,0.014826530422093337,0.44999999999999996,,0.0
2016-01-18,EARLY_2016_2019,5,KOSDAQ,OP12_REV,REVISION,CF20,0.004084230025593089,0.4,,0.0
2016-01-18,EARLY_2016_2019,5,KOSDAQ,OPFY1_REV,REVISION,CF20,0.016577981458536662,0.09999999999999998,,0.0
2016-01-18,EARLY_2016_2019,5,KOSDAQ,PBR12MF,VALUE,CF20,-0.003031416818324318,0.050000000000000044,,0.0
2016-01-18,EARLY_2016_2019,5,KOSDAQ,PER12MF,VALUE,CF20,-0.007170534267363258,0.19999999999999996,,0.0
2016-01-18,EARLY_2016_2019,5,KOSDAQ,MOM1M,MOMENTUM,CF20,0.027601119119529005,0.55,,0.0
2016-01-18,EARLY_2016_2019,5,KOSDAQ,MOM12_1,MOMENTUM,CF20,0.012133386518217545,0.050000000000000044,,0.0
2016-01-18,EARLY_2016_2019,5,KOSDAQ,PRIVATE_FLOW,FLOW,CF20,0.00348356037233963,0.35,,0.0
2016-01-18,EARLY_2016_2019,5,KOSDAQ,FOREIGN_FLOW,FLOW,CF20,0.005412171133106435,0.35,,0.0
2016-01-18,EARLY_2016_2019,5,KOSPI_KOSDAQ_ALL,OP12_REV,REVISION,CF20,0.005808636212810797,0.30000000000000004,,0.0
2016-01-18,EARLY_2016_2019,5,KOSPI_KOSDAQ_ALL,OPFY1_REV,REVISION,CF20,-0.004729091037927976,0.09999999999999998,,0.0
2016-01-18,EARLY_2016_2019,5,KOSPI_KOSDAQ_ALL,PBR12MF,VALUE,CF20,0.0015630513613586004,0.09999999999999998,,0.0
2016-01-18,EARLY_2016_2019,5,KOSPI_KOSDAQ_ALL,PER12MF,VALUE,CF20,-0.011406993162993394,0.050000000000000044,,0.0
2016-01-18,EARLY_2016_2019,5,KOSPI_KOSDAQ_ALL,MOM1M,MOMENTUM,CF20,-0.0110576985837648,0.55,,0.0
2016-01-18,EARLY_2016_2019,5,KOSPI_KOSDAQ_ALL,MOM12_1,MOMENTUM,CF20,0.01037031990092083,0.19999999999999996,,0.0
2016-01-18,EARLY_2016_2019,5,KOSPI_KOSDAQ_ALL,PRIVATE_FLOW,FLOW,CF20,0.00508923098355932,0.44999999999999996,,0.0
2016-01-18,EARLY_2016_2019,5,KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,FLOW,CF20,-0.005176162278440201,0.44999999999999996,,0.0
2016-01-18,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,REVISION,CF20,-0.003974792826216542,0.5,,0.0
2016-01-18,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,REVISION,CF20,0.006151802350702086,0.15000000000000002,,0.0
2016-01-18,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,PBR12MF,VALUE,CF20,-0.01659176182014506,0.050000000000000044,,0.0
2016-01-18,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,VALUE,CF20,-0.01765035575634159,0.09999999999999998,,0.0
2016-01-18,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,MOMENTUM,CF20,0.0033763462845488312,0.5,,0.0
2016-01-18,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,MOMENTUM,CF20,0.00889330517770069,0.19999999999999996,,0.0
2016-01-18,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,PRIVATE_FLOW,FLOW,CF20,-0.004415585163724733,0.35,,0.0
2016-01-18,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,FLOW,CF20,-0.001571459372918861,0.4,,0.0
2016-01-25,EARLY_2016_2019,5,K200,OP12_REV,REVISION,CF20,0.0035291874005070516,0.19999999999999996,,0.0
2016-01-25,EARLY_2016_2019,5,K200,OPFY1_REV,REVISION,CF20,0.008691365400493976,0.050000000000000044,,0.0
2016-01-25,EARLY_2016_2019,5,K200,PBR12MF,VALUE,CF20,0.043216441941174334,0.050000000000000044,,0.0
2016-01-25,EARLY_2016_2019,5,K200,PER12MF,VALUE,CF20,0.022826101196033413,0.19999999999999996,,0.0
