universe,predictor,target,era,n,discovery_ic,direction,raw_ic,directed_ic,frozen_q1,frozen_q2,directed_high_low,n_low,n_high
KOSDAQ_PLUS_KOSPI_EX_K200,dispersion20,future_dispersion20,CONFIRM_2023_2024,97,0.18575253799772684,1,0.1735614348832316,0.1735614348832316,0.0306052291588284,0.0445637505315736,0.002575735607876259,27,44
KOSDAQ_PLUS_KOSPI_EX_K200,dispersion20,future_dispersion20,STRESS_2025,49,0.18575253799772684,1,-0.012959183673469385,-0.012959183673469385,0.0306052291588284,0.0445637505315736,0.0014413346235679914,14,23
KOSDAQ_PLUS_KOSPI_EX_K200,dispersion20,future_dispersion20,STRESS_2026,25,0.18575253799772684,1,-0.2623076923076923,-0.2623076923076923,0.0306052291588284,0.0445637505315736,,2,15
KOSDAQ_PLUS_KOSPI_EX_K200,abs_opportunity20,future_dispersion20,DISCOVERY_2016_2019,184,0.12481362331683073,1,0.12481362331683073,0.12481362331683073,0.0278314116023535,0.0371210727761467,0.003590839902871748,62,62
KOSDAQ_PLUS_KOSPI_EX_K200,abs_opportunity20,future_dispersion20,VALIDATION_2020_2022,149,0.12481362331683073,1,0.2582151278795574,0.2582151278795574,0.0278314116023535,0.0371210727761467,0.013051147183829923,46,52
KOSDAQ_PLUS_KOSPI_EX_K200,abs_opportunity20,future_dispersion20,CONFIRM_2023_2024,97,0.12481362331683073,1,0.15403429413002312,0.15403429413002312,0.0278314116023535,0.0371210727761467,0.003565832124951804,30,45
KOSDAQ_PLUS_KOSPI_EX_K200,abs_opportunity20,future_dispersion20,STRESS_2025,49,0.12481362331683073,1,-0.2160204081632653,-0.2160204081632653,0.0278314116023535,0.0371210727761467,-0.00725340370948345,12,22
KOSDAQ_PLUS_KOSPI_EX_K200,abs_opportunity20,future_dispersion20,STRESS_2026,25,0.12481362331683073,1,-0.34076923076923077,-0.34076923076923077,0.0278314116023535,0.0371210727761467,-0.038102350787624736,5,17
KOSDAQ_PLUS_KOSPI_EX_K200,range20,future_dispersion20,DISCOVERY_2016_2019,184,0.20516653503111096,1,0.20516653503111096,0.20516653503111096,0.0843117149013419,0.1285985417784514,0.007422042399000579,62,62
KOSDAQ_PLUS_KOSPI_EX_K200,range20,future_dispersion20,VALIDATION_2020_2022,149,0.20516653503111096,1,0.2307636495555959,0.2307636495555959,0.0843117149013419,0.1285985417784514,0.007665663679216422,38,57
KOSDAQ_PLUS_KOSPI_EX_K200,range20,future_dispersion20,CONFIRM_2023_2024,97,0.20516653503111096,1,0.1837523669261519,0.1837523669261519,0.0843117149013419,0.1285985417784514,0.004121324327832625,22,45
KOSDAQ_PLUS_KOSPI_EX_K200,range20,future_dispersion20,STRESS_2025,49,0.20516653503111096,1,-0.04887755102040816,-0.04887755102040816,0.0843117149013419,0.1285985417784514,0.0024340005039435106,14,20
KOSDAQ_PLUS_KOSPI_EX_K200,range20,future_dispersion20,STRESS_2026,25,0.20516653503111096,1,-0.19538461538461538,-0.19538461538461538,0.0843117149013419,0.1285985417784514,,1,18
KOSDAQ_PLUS_KOSPI_EX_K200,breadth20,future_dispersion20,DISCOVERY_2016_2019,184,-0.1336191944650268,-1,-0.1336191944650268,0.1336191944650268,0.5,0.625,0.0017531243333827745,89,95
KOSDAQ_PLUS_KOSPI_EX_K200,breadth20,future_dispersion20,VALIDATION_2020_2022,149,-0.1336191944650268,-1,-0.10313830972783937,0.10313830972783937,0.5,0.625,0.003199437944692622,79,70
KOSDAQ_PLUS_KOSPI_EX_K200,breadth20,future_dispersion20,CONFIRM_2023_2024,97,-0.1336191944650268,-1,0.06436249617440207,-0.06436249617440207,0.5,0.625,0.0012144909532370435,58,39
KOSDAQ_PLUS_KOSPI_EX_K200,breadth20,future_dispersion20,STRESS_2025,49,-0.1336191944650268,-1,-0.16966327578905022,0.16966327578905022,0.5,0.625,0.00016870491214417138,27,22
KOSDAQ_PLUS_KOSPI_EX_K200,breadth20,future_dispersion20,STRESS_2026,25,-0.1336191944650268,-1,-0.04224539808871092,0.04224539808871092,0.5,0.625,-0.005463554809314042,9,16
KOSDAQ_PLUS_KOSPI_EX_K200,leader_abs_share20,future_dispersion20,DISCOVERY_2016_2019,184,0.04636974822292,1,0.04636974822292,0.04636974822292,0.246814421929527,0.2896571656983175,0.0012888703981472072,62,62
KOSDAQ_PLUS_KOSPI_EX_K200,leader_abs_share20,future_dispersion20,VALIDATION_2020_2022,149,0.04636974822292,1,-0.08975149646290585,-0.08975149646290585,0.246814421929527,0.2896571656983175,-0.005063448507213859,29,70
KOSDAQ_PLUS_KOSPI_EX_K200,leader_abs_share20,future_dispersion20,CONFIRM_2023_2024,97,0.04636974822292,1,0.05654323585104144,0.05654323585104144,0.246814421929527,0.2896571656983175,0.002085451059565417,20,37
KOSDAQ_PLUS_KOSPI_EX_K200,leader_abs_share20,future_dispersion20,STRESS_2025,49,0.04636974822292,1,-0.12989795918367344,-0.12989795918367344,0.246814421929527,0.2896571656983175,-0.005933671797896431,13,18
KOSDAQ_PLUS_KOSPI_EX_K200,leader_abs_share20,future_dispersion20,STRESS_2026,25,0.04636974822292,1,0.13692307692307693,0.13692307692307693,0.246814421929527,0.2896571656983175,-0.0036723205672963694,9,8
KOSDAQ_PLUS_KOSPI_EX_K200,avg_pair_corr_60,future_dispersion20,DISCOVERY_2016_2019,184,-0.3857602434936718,-1,-0.3857602434936718,0.3857602434936718,0.0716909242121023,0.1381140622582908,0.009475868503602075,62,62
KOSDAQ_PLUS_KOSPI_EX_K200,avg_pair_corr_60,future_dispersion20,VALIDATION_2020_2022,149,-0.3857602434936718,-1,-0.34166515508797385,0.34166515508797385,0.0716909242121023,0.1381140622582908,0.01621248001766004,84,41
KOSDAQ_PLUS_KOSPI_EX_K200,avg_pair_corr_60,future_dispersion20,CONFIRM_2023_2024,97,-0.3857602434936718,-1,0.14160793183252682,-0.14160793183252682,0.0716909242121023,0.1381140622582908,-0.01570410686106407,40,26
KOSDAQ_PLUS_KOSPI_EX_K200,avg_pair_corr_60,future_dispersion20,STRESS_2025,49,-0.3857602434936718,-1,-0.09836734693877551,0.09836734693877551,0.0716909242121023,0.1381140622582908,-0.002384813873367385,14,16
KOSDAQ_PLUS_KOSPI_EX_K200,avg_pair_corr_60,future_dispersion20,STRESS_2026,25,-0.3857602434936718,-1,0.2123076923076923,-0.2123076923076923,0.0716909242121023,0.1381140622582908,,20,0
KOSDAQ_PLUS_KOSPI_EX_K200,pc1_share_60,future_dispersion20,DISCOVERY_2016_2019,184,0.11182986264953479,1,0.11182986264953479,0.11182986264953479,0.3828212473877333,0.4238568464461431,0.004728224848154758,62,62
KOSDAQ_PLUS_KOSPI_EX_K200,pc1_share_60,future_dispersion20,VALIDATION_2020_2022,149,0.11182986264953479,1,0.24957373480863415,0.24957373480863415,0.3828212473877333,0.4238568464461431,0.011955347581495496,47,75
KOSDAQ_PLUS_KOSPI_EX_K200,pc1_share_60,future_dispersion20,CONFIRM_2023_2024,97,0.11182986264953479,1,-0.3889254155270356,-0.3889254155270356,0.3828212473877333,0.4238568464461431,-0.026692048824657998,13,65
KOSDAQ_PLUS_KOSPI_EX_K200,pc1_share_60,future_dispersion20,STRESS_2025,49,0.11182986264953479,1,-0.43122448979591826,-0.43122448979591826,0.3828212473877333,0.4238568464461431,,35,1
KOSDAQ_PLUS_KOSPI_EX_K200,pc1_share_60,future_dispersion20,STRESS_2026,25,0.11182986264953479,1,-0.09,-0.09,0.3828212473877333,0.4238568464461431,,3,20
KOSDAQ_PLUS_KOSPI_EX_K200,rank_agreement_20_60,future_dispersion20,DISCOVERY_2016_2019,184,-0.06590200840163239,-1,-0.06590200840163239,0.06590200840163239,0.4285714285714286,0.7380952380952381,0.0024453446767390002,65,63
KOSDAQ_PLUS_KOSPI_EX_K200,rank_agreement_20_60,future_dispersion20,VALIDATION_2020_2022,149,-0.06590200840163239,-1,-0.01195629073396398,0.01195629073396398,0.4285714285714286,0.7380952380952381,2.8137342072534488e-05,47,62
KOSDAQ_PLUS_KOSPI_EX_K200,rank_agreement_20_60,future_dispersion20,CONFIRM_2023_2024,97,-0.06590200840163239,-1,0.18241736081824803,-0.18241736081824803,0.4285714285714286,0.7380952380952381,-0.0038093114684140533,37,34
KOSDAQ_PLUS_KOSPI_EX_K200,rank_agreement_20_60,future_dispersion20,STRESS_2025,49,-0.06590200840163239,-1,-0.1372830133952164,0.1372830133952164,0.4285714285714286,0.7380952380952381,0.0013735869872512976,12,13
