date,factor_breadth_20d,n_factors_20d,breadth_bin,base_state,factor_substate,REVISION_state,ALWAYS_100,F_LOW_HALF,FB20_HIGH_HALF,CRASH_GUARD_ONLY,FB20_HALF_PLUS_CRASH0,breadth_high,crash_guard
2020-12-29,0.5,8,LOW,B4,F_LOW,N+,1.0,0.5,1.0,1.0,1.0,0,0
2021-01-07,0.375,8,LOW,B4,F_LOW,N+,1.0,0.5,1.0,1.0,1.0,0,0
2021-01-14,0.625,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2021-01-21,0.625,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2021-01-28,0.75,8,HIGH,B3,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2021-02-04,0.875,8,HIGH,B3,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2021-02-15,0.875,8,HIGH,B3,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2021-02-22,0.75,8,HIGH,B3,F_HIGH,N-,1.0,1.0,0.5,1.0,0.5,1,0
2021-03-02,0.75,8,HIGH,B3,F_HIGH,N-,1.0,1.0,0.5,1.0,0.5,1,0
2021-03-09,0.875,8,HIGH,B3,F_HIGH,N-,1.0,1.0,0.5,1.0,0.5,1,0
