policy,return_type,period,median_delta_cagr,median_delta_sharpe,median_delta_mdd,median_delta_turnover,better_cagr_phases,better_mdd_phases,n_phases
FB20_HALF_PLUS_CRASH0,GROSS,TRAIN_2016_2022,-0.03477747150038013,-0.009414491121573998,0.06365527969948459,4.776133859772408,0,10,10
FB20_HALF_PLUS_CRASH0,GROSS,YTD_2026,0.4912426328664734,1.2746949425312168,0.33924219113602627,0.1493396494535153,10,10,10
FB20_HALF_PLUS_CRASH0,NET30,BULL_2025,-0.42897694788626084,-0.7491224012179059,0.04346988343110181,3.703997929602213,0,10,10
FB20_HALF_PLUS_CRASH0,NET30,OOS_2023_2024,-0.01761137825698833,-0.0520776945646574,0.10872226917145661,4.079228486100051,1,10,10
FB20_HALF_PLUS_CRASH0,NET30,PRE_STRESS_2016_2024,-0.04063598657783407,-0.12150304282162158,0.07482258485354731,4.610405070920678,0,10,10
FB20_HALF_PLUS_CRASH0,NET30,TRAIN_2016_2022,-0.048939282044078825,-0.13702029461589008,0.07482258485354731,4.776745831385364,0,10,10
FB20_HALF_PLUS_CRASH0,NET30,YTD_2026,0.46961538839108175,1.1842666528438497,0.34452049419097025,0.15238997228182782,10,10,10
FB20_HALF_PLUS_CRASH0,NET60,BULL_2025,-0.4231760425943152,-0.9012623545475448,0.043106808279307185,3.7033450742730825,0,10,10
FB20_HALF_PLUS_CRASH0,NET60,OOS_2023_2024,-0.029433768976509067,-0.16985312125552585,0.09416426113414145,4.0802780910395455,1,10,10
FB20_HALF_PLUS_CRASH0,NET60,PRE_STRESS_2016_2024,-0.05272959845320957,-0.24467677261210388,0.048891553246631414,4.610347896395727,0,10,10
FB20_HALF_PLUS_CRASH0,NET60,TRAIN_2016_2022,-0.06170639708431114,-0.26374959545315546,0.05771863115217202,4.777591252956036,0,10,10
FB20_HALF_PLUS_CRASH0,NET60,YTD_2026,0.44888950505805636,1.0927986648768533,0.3494579440597362,0.1554458328288435,10,10,10
