universe,target,model,sample,n,event_rate,brier,logloss,auc
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_FSUB_FB20,YTD_2026,19,0.631578947368421,0.24521349366293427,0.6832613346477172,0.5952380952380952
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_DD5_20,B_ONLY,TRAIN_2016_2022,328,0.31402439024390244,0.21331518258497464,0.6174006295503343,0.5568716289104638
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_DD5_20,B_ONLY,OOS_2023_2024,96,0.34375,0.23412100346739448,0.6633233932370987,0.411976911976912
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_DD5_20,B_ONLY,BULL_2025,49,0.16326530612244897,0.15712004594129692,0.49774995625917035,0.600609756097561
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_DD5_20,B_ONLY,YTD_2026,19,0.6842105263157895,0.38327518144590966,0.9845662302029933,0.4935897435897436
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_DD5_20,B_FSUB,TRAIN_2016_2022,328,0.31402439024390244,0.20971965374238505,0.6089719652532791,0.6087162891046386
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_DD5_20,B_FSUB,OOS_2023_2024,96,0.34375,0.23534537447575787,0.6644377154362995,0.4389129389129389
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_DD5_20,B_FSUB,BULL_2025,49,0.16326530612244897,0.1679352009117958,0.5225720506102701,0.5579268292682927
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_DD5_20,B_FSUB,YTD_2026,19,0.6842105263157895,0.35101319118228297,0.9147751031648667,0.5128205128205128
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_DD5_20,B_FB20,TRAIN_2016_2022,328,0.31402439024390244,0.21031739847646014,0.6104954590092374,0.5909816612729234
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_DD5_20,B_FB20,OOS_2023_2024,96,0.34375,0.250337274782586,0.6998500731623926,0.3665223665223665
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_DD5_20,B_FB20,BULL_2025,49,0.16326530612244897,0.17104241169485945,0.5292412492045884,0.31097560975609756
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_DD5_20,B_FB20,YTD_2026,19,0.6842105263157895,0.3678061635272057,0.9468965613186264,0.6217948717948718
