"Code","Name","결산월","코스피200 구성종목여부(1:해당, 0:미해당)","상장된 시장","수정주가수익률","시가총액","","이전 시가총액"
"A004960","한신공영","12","0","KOSPI","-6.16","221.64","","236.19"
"A004970","신라교역","12","0","KOSPI","-0.62","256","","257.6"
"A004980","성신양회","12","0","KOSPI","-2.3","132.53","","135.65"
"A004990","롯데지주","12","1","KOSPI","-1.46","4472.56","","4538.87"
"A005010","휴스틸","12","0","KOSPI","-2.24","90.63","","92.71"
"A005030","부산주공","12","0","KOSPI","-1.75","38.06","","38.74"
"A005070","코스모신소재","12","0","KOSPI","-1.75","274.28","","279.17"
"A005090","SGC에너지","12","0","KOSPI","-3.27","287.38","","297.09"
"A005110","한창","12","0","KOSPI","-4.85","60.82","","63.92"
"A005160","동국산업","12","0","KOSDAQ","-5.07","192.84","","203.15"
"A005180","빙그레","12","1","KOSPI","-1.48","589.1","","597.97"
"A005250","녹십자홀딩스","12","1","KOSPI","-4.32","1824.69","","1906.99"
"A005290","동진쎄미켐","12","0","KOSDAQ","-7.86","753.22","","817.49"
"A005300","롯데칠성","12","1","KOSPI","-1.3","1215.81","","1231.79"
"A005320","온타이드","12","0","KOSPI","-5.88","56.37","","59.89"
"A005360","모나미","12","0","KOSPI","-0.95","59.05","","59.62"
"A005380","현대차","12","1","KOSPI","-0.66","33371.89","","33592.16"
"A005420","코스모화학","12","0","KOSPI","-3.39","405.37","","419.58"
"A005430","한국공항","12","0","KOSPI","-3.6","139.95","","145.18"
"A005440","현대지에프홀딩스","12","1","KOSPI","-2.1","1367.86","","1397.17"
"A005490","POSCO홀딩스","12","1","KOSPI","-5.58","28030.57","","29687.12"
"A005500","삼진제약","12","0","KOSPI","-4.64","556.7","","583.8"
"A005610","삼립","12","1","KOSPI","-3.19","1048.42","","1082.94"
"A005670","푸드웰","12","0","KOSDAQ","-2.33","43.6","","44.64"
"A005680","삼영전자","12","0","KOSPI","-1.2","248","","251"
"A005690","파미셀","12","0","KOSPI","9.66","928.69","","846.92"
"A005710","대원산업","12","0","KOSDAQ","-2.98","150.08","","154.69"
"A005720","넥센","12","0","KOSPI","-2.2","380.16","","388.73"
"A005740","크라운해태홀딩스","12","0","KOSPI","-4.24","201.18","","210.09"
"A005750","대림바스","12","0","KOSPI","-5.05","94.03","","99.03"
"A005800","신영와코루","12","0","KOSPI","-2.26","116.55","","119.25"
"A005810","풍산홀딩스","12","0","KOSPI","-2.08","388.23","","396.46"
"A005820","원림","12","0","KOSPI","-1.46","51.81","","52.58"
"A005830","DB손해보험","12","1","KOSPI","-2.81","4658.64","","4793.16"
"A005850","에스엘","12","1","KOSPI","-4.03","726.41","","756.88"
"A005860","한일사료","12","0","KOSDAQ","-3.09","74.08","","76.44"
"A005870","휴니드","12","0","KOSPI","-2.68","153.86","","158.1"
"A005880","대한해운","12","0","KOSPI","-4.5","648.52","","679.06"
"A005930","삼성전자","12","1","KOSPI","-3.98","319168.82","","332392.63"
"A005940","NH투자증권","12","1","KOSPI","-6.51","3841.23","","4108.57"
"A005950","이수화학","12","0","KOSPI","-5.41","187.16","","197.85"
"A005960","동부건설","12","0","KOSPI","-2.35","199.43","","204.22"
"A005990","매일홀딩스","12","0","KOSDAQ","-2.39","196.17","","200.97"
"A006040","동원산업","12","0","KOSPI","-1.02","980.37","","990.46"
"A006050","국영지앤엠","12","0","KOSDAQ","-3.61","41.87","","43.44"
"A006060","화승인더","12","0","KOSPI","-4.35","462.48","","483.5"
"A006090","사조오양","12","0","KOSPI","-2.26","122.5","","125.32"
"A006110","삼아알미늄","12","0","KOSPI","-3.35","36.47","","37.73"
"A006120","SK디스커버리","12","1","KOSPI","-4.1","441.62","","460.49"
"A006140","피제이전자","12","0","KOSDAQ","-1.15","77.6","","78.5"
"A006200","한국전자홀딩스","12","0","KOSPI","-2.49","38.57","","39.55"
"A006220","제주은행","12","0","KOSPI","-1.17","149.81","","151.58"
"A006260","LS","12","1","KOSPI","-3.45","2344.16","","2427.88"
"A006280","녹십자","12","1","KOSPI","-3.18","2313.93","","2389.9"
"A006340","대원전선","12","0","KOSPI","-5.63","114.08","","120.89"
"A006360","GS건설","12","1","KOSPI","-4.14","1993.1","","2079.14"
"A006370","대구백화점","12","0","KOSPI","-1.96","108.22","","110.38"
"A006380","카프로","12","0","KOSPI","-5.79","371.2","","394"
"A006400","삼성SDI","12","1","KOSPI","-4.09","13718.52","","14303.02"
"A006490","프리티","12","0","KOSPI","17.71","494.21","","419.86"
"A006570","대림통상","12","0","KOSPI","-0.39","77.34","","77.65"
"A006620","동구바이오제약","12","0","KOSDAQ","-6.65","384.16","","411.53"
"A006650","대한유화","12","1","KOSPI","-2.74","1842.75","","1894.75"
"A006660","삼성공조","12","0","KOSPI","-1.23","97.52","","98.73"
"A006730","서부T&D","12","0","KOSDAQ","-5","492.92","","518.86"
"A006740","블루산업개발","12","0","KOSPI","-5.11","72.15","","76.04"
"A006800","미래에셋증권","12","1","KOSPI","-4.92","6056.82","","6369.98"
"A006840","AK홀딩스","12","1","KOSPI","-2.44","955.15","","978.99"
"A006880","신송홀딩스","12","0","KOSPI","-1.09","74.88","","75.7"
"A006890","태경케미컬","12","0","KOSPI","-1.62","52.78","","53.65"
"A006910","보성파워텍","12","0","KOSDAQ","-7.04","142.38","","153.15"
"A006920","모헨즈","12","0","KOSDAQ","-4.79","84.63","","88.89"
"A006980","우성","12","0","KOSPI","-3.55","92.24","","95.64"
"A007070","GS리테일","12","1","KOSPI","-2.36","2544.85","","2606.45"
"A007110","일신석재","12","0","KOSPI","1.41","111.15","","109.6"
"A007120","미래아이앤지","12","0","KOSPI","2.38","53.55","","52.31"
"A007160","사조산업","12","0","KOSPI","-1.78","332","","338"
"A007210","벽산","12","0","KOSPI","-4.37","239.96","","250.93"
"A007280","한국특강","12","0","KOSPI","0.85","42.89","","42.53"
"A007310","오뚜기","12","1","KOSPI","-3.16","2421.76","","2500.88"
"A007330","푸른저축은행","12","0","KOSDAQ","-1.41","115.99","","117.65"
"A007340","DN오토모티브","12","0","KOSPI","-2.26","345.29","","353.29"
"A007370","진양제약","12","0","KOSDAQ","-12.11","70.56","","80.28"
"A007390","네이처셀","12","0","KOSDAQ","-12.52","1312.82","","1500.75"
"A007460","에이프로젠","12","0","KOSPI","-1.12","657.03","","664.49"
"A007530","와이엠","12","0","KOSDAQ","-0.58","21.4","","21.52"
"A007540","샘표","12","0","KOSPI","-3.93","87.86","","91.45"
"A007570","일양약품","12","1","KOSPI","-5.01","739.94","","778.98"
"A007590","동방아그로","12","0","KOSPI","-1.4","95.87","","97.23"
"A007610","선도전기","12","0","KOSPI","-3.3","126.72","","131.04"
"A007660","이수페타시스","12","0","KOSPI","-3.48","154.55","","160.12"
"A007680","대원","12","0","KOSDAQ","0","137.02","","137.02"
"A007690","국도화학","12","0","KOSPI","-1.29","356.77","","361.42"
"A007700","F&F홀딩스","12","0","KOSPI","-4.37","622.93","","651.42"
"A007720","소노스퀘어","12","0","KOSDAQ","-0.49","305.43","","306.94"
"A007770","한일화학","12","0","KOSDAQ","-2","43","","43.88"
"A007810","코리아써키트","12","0","KOSPI","-4.92","200.78","","211.17"
"A007820","엠엑스로보틱스","12","0","KOSDAQ","-9.38","261","","288"
"A007860","서연","12","0","KOSPI","-2.86","151.68","","156.14"
"A007980","TP","12","0","KOSPI","-2.8","155.72","","160.22"
"A008040","사조동아원","12","0","KOSPI","-2.12","195.49","","199.72"
"A008060","대덕","12","1","KOSPI","-2.02","402.57","","410.86"
"A008250","이건산업","12","0","KOSPI","-6.63","91.02","","97.48"
"A008260","NI스틸","12","0","KOSPI","-1.72","89.26","","90.82"
"A008290","원풍물산","12","0","KOSDAQ","-7.26","157.02","","169.31"
"A0082N0","카나프테라퓨틱스","12","0","외감","","","",""
"A008350","남선알미늄","12","0","KOSPI","-1.94","111.28","","113.48"
"A008370","원풍","12","0","KOSDAQ","-3.52","47.64","","49.38"
"A008420","문배철강","12","0","KOSPI","-2.74","58.33","","59.97"
"A008470","부스타","12","0","KOSDAQ","-4.48","44.8","","46.9"
"A008490","서흥","12","0","KOSPI","-1.43","358.64","","363.85"
"A008500","일정실업","12","0","KOSPI","-1.36","26.1","","26.46"
"A008600","윌비스","12","0","KOSPI","-4.9","94.05","","98.9"
"A008700","아남전자","12","0","KOSPI","-5.5","238.7","","252.58"
"A008730","율촌화학","12","0","KOSPI","-2.49","388.12","","398.04"
"A008770","호텔신라","12","1","KOSPI","-1.44","3497.01","","3548.03"
"A008830","대동기어","12","0","KOSDAQ","-3.95","27.32","","28.45"
"A008870","금비","9","0","KOSPI","-2.42","76.7","","78.6"
"A0088M0","메쥬","12","0","외감","","","",""
"A008930","한미사이언스","12","1","KOSPI","-3.64","5721.28","","5937.18"
"A008970","KBI동양철관","12","0","KOSPI","-4.74","113.84","","119.51"
"A009070","KCTC","12","0","KOSPI","-2.23","78.9","","80.7"
"A009140","경인전자","12","0","KOSPI","-3.22","44.85","","46.34"
"A009150","삼성전기","12","1","KOSPI","-2.42","7544.06","","7730.8"
"A009160","SIMPAC","12","0","KOSPI","-0.35","124.63","","125.07"
"A009180","한솔로지스틱스","12","0","KOSPI","-3.59","39.88","","41.36"
"A009190","대양금속","12","0","KOSPI","0","47.73","","47.73"
"A009200","무림페이퍼","12","0","KOSPI","-3.96","131.07","","136.48"
"A009240","한샘","12","1","KOSPI","-1.99","3471.25","","3541.86"
"A009270","신원","12","0","KOSPI","-2.91","172.19","","177.34"
"A009290","광동제약","12","1","KOSPI","-3.39","462.88","","479.13"
"A009300","삼아제약","12","0","KOSDAQ","4.02","164.66","","158.29"
"A009310","참엔지니어링","12","0","KOSPI","-2.06","116.83","","119.29"
"A009320","아진전자부품","12","0","KOSPI","-6.71","149.13","","159.85"
"A009410","태영건설","12","0","KOSPI","-4.13","798.38","","832.76"
"A009420","한올바이오파마","12","1","KOSPI","-9","1663.86","","1828.42"
"A009440","KC그린홀딩스","12","0","KOSPI","-2.28","115.32","","118.01"
"A009450","경동나비엔","12","0","KOSPI","-1.83","819.15","","834.44"
"A009460","한창제지","12","0","KOSPI","-2.42","60.26","","61.76"
"A009470","삼화전기","12","0","KOSPI","-7.92","123.02","","133.6"
"A009520","포스코엠텍","12","0","KOSDAQ","-3.35","132.01","","136.59"
"A009540","HD한국조선해양","12","1","KOSPI","-1.01","8358.15","","8443.15"
"A009580","무림P&P","12","0","KOSPI","-1.81","405.39","","412.88"
"A009620","삼보산업","12","0","KOSDAQ","-1.46","25.04","","25.41"
"A009680","모토닉","12","0","KOSPI","-4.31","330","","344.85"
"A009730","이렘","12","0","KOSDAQ","-5.66","60.26","","63.87"
"A009770","삼정펄프","12","0","KOSPI","-1.68","95.25","","96.87"
"A009780","엠에스씨","12","0","KOSDAQ","-0.42","104.72","","105.16"
"A009810","플레이그램","12","0","KOSPI","-3.5","39.22","","40.64"
"A009830","한화솔루션","12","1","KOSPI","-3.6","4853.64","","5034.93"
"A009900","명신산업","12","0","외감","","","",""
"A009970","영원무역홀딩스","12","0","KOSPI","-3.46","722.69","","748.59"
