universe,factor,overlay,cost_bp,period,n_phases,median_delta_return,median_delta_sharpe,median_delta_mdd,median_delta_turnover,return_wins
KOSDAQ,WEIGHTED_MOM,MCAP_W10,60,PRE_STRESS_2017_2024,10,0.02853106169708025,0.07752581471190985,0.02941722765874205,-0.0234693877551021,8
KOSDAQ,WEIGHTED_MOM,MCAP_W10,60,YTD_2026,10,0.006648043738163301,0.0474174670428007,0.0212952748674069,-0.053333333333333344,5
KOSDAQ,WEIGHTED_MOM,RAW_TA_W10,30,BULL_2025,10,0.05600227585350215,0.07614151928315382,0.015041506390368498,0.00520833333333337,7
KOSDAQ,WEIGHTED_MOM,RAW_TA_W10,30,EARLY_2017_2019,10,0.015225210114540477,0.04168836055417338,0.003936365358588767,-0.0016938171047760076,7
KOSDAQ,WEIGHTED_MOM,RAW_TA_W10,30,LATE_2020_2022,10,-0.010576623440038124,-0.021284006682923858,-0.01839252950784903,0.017229729729729804,4
KOSDAQ,WEIGHTED_MOM,RAW_TA_W10,30,NORMAL_2023_2024,10,-0.0016741997293899247,0.003591620485695571,0.0036395172711790047,0.004081632653061246,5
KOSDAQ,WEIGHTED_MOM,RAW_TA_W10,30,PRE_STRESS_2017_2024,10,-0.001821395615523802,-0.004336369597421848,-0.014396129788251055,0.006122448979591827,4
KOSDAQ,WEIGHTED_MOM,RAW_TA_W10,30,YTD_2026,10,-0.03734042314561037,-0.03030723196810811,-0.015685114101675834,0.0016666666666666496,4
KOSDAQ,WEIGHTED_MOM,RAW_TA_W10,60,BULL_2025,10,0.054722746943249634,0.07626937148801327,0.014220106196803861,0.00520833333333337,7
KOSDAQ,WEIGHTED_MOM,RAW_TA_W10,60,EARLY_2017_2019,10,0.01443949135684075,0.042649759647879926,0.0035868961192226934,-0.0016938171047760076,7
KOSDAQ,WEIGHTED_MOM,RAW_TA_W10,60,LATE_2020_2022,10,-0.011391831238759142,-0.022870274847662256,-0.01799395996631309,0.017229729729729804,4
KOSDAQ,WEIGHTED_MOM,RAW_TA_W10,60,NORMAL_2023_2024,10,-0.0017556028650016486,0.007138130507782614,0.008524896475686272,0.004081632653061246,5
KOSDAQ,WEIGHTED_MOM,RAW_TA_W10,60,PRE_STRESS_2017_2024,10,-0.0022881970804193297,-0.005768322445391695,-0.012764121098455372,0.006122448979591827,4
KOSDAQ,WEIGHTED_MOM,RAW_TA_W10,60,YTD_2026,10,-0.037638647471611386,-0.031377591536489655,-0.015882132421609296,0.0016666666666666496,4
KOSDAQ,WEIGHTED_MOM_R1M_GE0,ACT1_W10,30,BULL_2025,10,-0.07531352936061919,-0.1819022138406161,-0.013309183798888846,0.060250000000000026,3
KOSDAQ,WEIGHTED_MOM_R1M_GE0,ACT1_W10,30,EARLY_2017_2019,10,-0.00030187410056115027,-0.004041437782021817,-0.008961600850770857,0.023943382517326167,5
KOSDAQ,WEIGHTED_MOM_R1M_GE0,ACT1_W10,30,LATE_2020_2022,10,0.0049607447399971916,0.016590551612076843,0.021783488476684376,0.0558843946686412,6
KOSDAQ,WEIGHTED_MOM_R1M_GE0,ACT1_W10,30,NORMAL_2023_2024,10,0.017398898331090373,0.06858048619764362,0.014230252364084373,0.046386054421768685,6
KOSDAQ,WEIGHTED_MOM_R1M_GE0,ACT1_W10,30,PRE_STRESS_2017_2024,10,-0.00489936924724238,-0.01399432378765963,0.03068092927588867,0.04053174893407796,4
KOSDAQ,WEIGHTED_MOM_R1M_GE0,ACT1_W10,30,YTD_2026,10,-0.11387969006164522,-0.24500072396056805,-0.0209026246584178,0.07333333333333339,2
KOSDAQ,WEIGHTED_MOM_R1M_GE0,ACT1_W10,60,BULL_2025,10,-0.07915994163641726,-0.19305158593837646,-0.014680137904127921,0.060250000000000026,2
KOSDAQ,WEIGHTED_MOM_R1M_GE0,ACT1_W10,60,EARLY_2017_2019,10,-0.002101967508816416,-0.007765984715196836,-0.008509731168198142,0.023943382517326167,5
KOSDAQ,WEIGHTED_MOM_R1M_GE0,ACT1_W10,60,LATE_2020_2022,10,0.001293620230077508,0.007496608872538196,0.019426456416512417,0.0558843946686412,5
KOSDAQ,WEIGHTED_MOM_R1M_GE0,ACT1_W10,60,NORMAL_2023_2024,10,0.013646131324259847,0.06321999804048345,0.011544719597319786,0.046386054421768685,6
KOSDAQ,WEIGHTED_MOM_R1M_GE0,ACT1_W10,60,PRE_STRESS_2017_2024,10,-0.007556084025785781,-0.02257535993546013,0.018000326056190563,0.04053174893407796,4
KOSDAQ,WEIGHTED_MOM_R1M_GE0,ACT1_W10,60,YTD_2026,10,-0.11394004382502565,-0.2522121948627929,-0.021144634476676527,0.07333333333333339,2
KOSDAQ,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,30,BULL_2025,10,0.005399374920782907,0.038871186336677965,0.013098082398664057,0.103125,6
KOSDAQ,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,30,EARLY_2017_2019,10,0.023838720095792798,0.08052995466208401,0.03948324275849929,0.10261806761420889,7
KOSDAQ,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,30,LATE_2020_2022,10,0.029646256146313388,0.08510798683356458,0.0014664235487443777,0.1196556048620489,6
KOSDAQ,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,30,NORMAL_2023_2024,10,0.029771914457033477,0.050320127269533596,0.011897045939447626,0.0943877551020409,6
