universe,factor,overlay,phase,cost_bp,period,ann_return,sharpe,mdd,avg_turnover
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,7,30,LATE_2020_2022,-0.08041743625504882,-0.18756609138894642,-0.5276414524121309,0.5492753623188406
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,7,30,NORMAL_2023_2024,-0.030646825140478895,-0.04898286287969619,-0.2393816263935682,0.5214285714285714
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,7,30,BULL_2025,0.26876522626603117,0.8055720578805473,-0.2014825003738574,0.5260869565217391
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,7,30,YTD_2026,0.8094426605132734,1.2191573747251763,-0.2890054555786318,0.48000000000000004
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,7,60,PRE_STRESS_2017_2024,-0.11425705540304287,-0.4669937548211086,-0.6350796962907722,0.5297368421052632
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,7,60,EARLY_2017_2019,-0.14080743547190988,-0.9212025517394768,-0.44954437418233373,0.5166666666666667
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,7,60,LATE_2020_2022,-0.11798278556504793,-0.34437868880222067,-0.5561992551532755,0.5492753623188406
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,7,60,NORMAL_2023_2024,-0.0682342949916851,-0.23937333159941684,-0.25742341712713823,0.5214285714285714
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,7,60,BULL_2025,0.2195015652140473,0.701088683002984,-0.2068190100872378,0.5260869565217391
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,7,60,YTD_2026,0.7452425192940095,1.1616454160538037,-0.2932764161700969,0.48000000000000004
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,8,30,PRE_STRESS_2017_2024,-0.061790259208358345,-0.20479102268436902,-0.5350860274383453,0.525
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,8,30,EARLY_2017_2019,-0.09236548330121486,-0.5494267736827013,-0.42634630606899226,0.51875
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,8,30,LATE_2020_2022,-0.08417389384690999,-0.21450405393544633,-0.5185092631045598,0.5443661971830985
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,8,30,NORMAL_2023_2024,0.02008929987784569,0.19633415538286142,-0.21684647447164973,0.5061224489795918
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,8,30,BULL_2025,0.2355574407624701,0.7831254932187162,-0.20434318977072663,0.5304347826086957
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,8,30,YTD_2026,0.7015433208043125,1.1408311860572118,-0.2674352281806691,0.4933333333333333
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,8,60,PRE_STRESS_2017_2024,-0.09846031022026103,-0.39595820705376444,-0.6159358671870667,0.525
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,8,60,EARLY_2017_2019,-0.12746521507688124,-0.8026071460205271,-0.45646520121182577,0.51875
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,8,60,LATE_2020_2022,-0.12127587315183852,-0.3740423132626014,-0.5541222538847077,0.5443661971830985
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,8,60,NORMAL_2023_2024,-0.01828885693917759,0.0010608442698736363,-0.23214894922376017,0.5061224489795918
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,8,60,BULL_2025,0.18699613060983777,0.6653360512260057,-0.20876779862929584,0.5304347826086957
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,8,60,YTD_2026,0.639476775455923,1.080425010841386,-0.27103777778413496,0.4933333333333333
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,9,30,PRE_STRESS_2017_2024,-0.09964424216113954,-0.41784083990248394,-0.6098773327532034,0.5327225130890052
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,9,30,EARLY_2017_2019,-0.11840840746509929,-0.741603818149289,-0.4630004627558827,0.5305555555555556
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,9,30,LATE_2020_2022,-0.10945034093839856,-0.3684215925305976,-0.524752686051321,0.5464285714285714
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,9,30,NORMAL_2023_2024,-0.056702905082184674,-0.17073357017481774,-0.26045551733040295,0.5163265306122449
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,9,30,BULL_2025,0.5676870821932343,1.5706374163372956,-0.15158412928498688,0.5229166666666667
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,9,30,YTD_2026,0.851227755996284,1.4084963240348998,-0.21739192186857292,0.49000000000000005
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,9,60,PRE_STRESS_2017_2024,-0.135396996395153,-0.6169984850247464,-0.6982351317416279,0.5327225130890052
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,9,60,EARLY_2017_2019,-0.15333176279348493,-1.0001497750252442,-0.493098411515268,0.5305555555555556
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,9,60,LATE_2020_2022,-0.14566633488178737,-0.5423972597547035,-0.5596657754342805,0.5464285714285714
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,9,60,NORMAL_2023_2024,-0.09300176490193302,-0.35462851725309935,-0.27614426080716814,0.5163265306122449
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,9,60,BULL_2025,0.5076686616724086,1.4450035067731437,-0.158676492352119,0.5229166666666667
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,9,60,YTD_2026,0.7869136352716992,1.339919362994849,-0.22411566309186504,0.49000000000000005
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,0,30,PRE_STRESS_2017_2024,-0.08306055694810954,-0.40123131714902144,-0.5006835261276221,0.607936507936508
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,0,30,EARLY_2017_2019,-0.1483852128430566,-1.1025030114317638,-0.43496481390774355,0.6131944444444445
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,0,30,LATE_2020_2022,-0.02571930173149617,-0.022422999314673692,-0.4255349750906797,0.6161764705882353
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,0,30,NORMAL_2023_2024,-0.06039347927440197,-0.2479649042603044,-0.2867070555388288,0.5887755102040817
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,0,30,BULL_2025,0.5969897033278955,1.579587213422577,-0.15066538416012376,0.5708333333333333
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,0,30,YTD_2026,1.5701488788842686,2.5487672726408035,-0.11299046930678491,0.5392857142857143
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,0,60,PRE_STRESS_2017_2024,-0.1244286845851581,-0.6616446060731171,-0.634901147283276,0.607936507936508
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,0,60,EARLY_2017_2019,-0.18725158085572102,-1.4415837507069948,-0.4835479628059347,0.6131944444444445
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,0,60,LATE_2020_2022,-0.07009204379613654,-0.2470467989258943,-0.46508081645521904,0.6161764705882353
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,0,60,NORMAL_2023_2024,-0.10150197817352935,-0.4893828576364612,-0.3052113888408432,0.5887755102040817
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,0,60,BULL_2025,0.5306686337352677,1.4503594621556162,-0.15701704103000513,0.5708333333333333
