sample,universe,cut_name,factor_a,factor_b,family_pair,contrast,n_left,n_right,mkt_5d_diff,mkt_20d_diff,mom_top_fwd20_diff,mom_spread_fwd20_diff,oth_top_fwd20_diff,oth_spread_fwd20_diff
OOS,KOSPI_ALL,Q25,MOM12_1,PBR12MF,MOMENTUM_X_VALUE,GENUINE_MINUS_DEFENSIVE_ROTATION,10,10,-0.008311315622233561,0.05366173715811288,0.09519955992516496,0.08473954682307645,0.016094226489353627,-0.05432729047072499
OOS,KOSPI_ALL,Q25,MOM12_1,PBR12MF,MOMENTUM_X_VALUE,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,10,13,0.0070080947361036905,0.014815390248036586,0.02876750589899328,0.01638438390300291,0.022495815962198785,0.031172594404435948
OOS,KOSPI_ALL,Q25,MOM1M,FOREIGN_FLOW,MOMENTUM_X_FLOW,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,14,25,-0.0047890525534533095,-0.004066947142829666,-0.007994341431898925,0.012787839389881294,-0.0011651156880014332,0.00578457599755461
OOS,KOSPI_ALL,Q25,MOM1M,OP12_REV,MOMENTUM_X_REVISION,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,12,37,-0.018533231675891444,-0.06775591562482867,-0.037899987299658724,-0.009157235414057179,-0.0410448242661193,0.0007811933444050283
OOS,KOSPI_ALL,Q25,MOM1M,OP12_REV,MOMENTUM_X_REVISION,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,11,37,-0.01752024434538076,-0.026600687242028014,-0.0065449923634734695,0.015213016819492983,-0.004742025111116967,0.029086135485919696
OOS,KOSPI_ALL,Q25,MOM1M,OPFY1_REV,MOMENTUM_X_REVISION,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,10,34,-0.017078464652810176,-0.06988964276104859,-0.04294256520098106,-0.008868713967008127,-0.04158272045724518,0.0038952858389183827
OOS,KOSPI_ALL,Q25,MOM1M,OPFY1_REV,MOMENTUM_X_REVISION,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,15,34,-0.007120443041359323,-0.05877554428070375,-0.0499892821623429,-0.006810637378404254,-0.04584119104058203,0.007325804984831848
OOS,KOSPI_ALL,Q25,MOM1M,PBR12MF,MOMENTUM_X_VALUE,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,18,9,-0.008421928736876996,-0.06222363769901227,-0.07365041310426221,-0.011639989026601188,-0.05600471143214526,0.019847737564437393
OOS,KOSPI_ALL,Q25,MOM1M,PBR12MF,MOMENTUM_X_VALUE,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,10,9,-0.005948386081813106,-0.06810941686761421,-0.09757728330711354,-0.015074835392404643,-0.09397482677565099,0.004351686389175959
OOS,KOSPI_ALL,Q25,MOM1M,PER12MF,MOMENTUM_X_VALUE,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,19,13,-0.008490177809297469,-0.06425920317131723,-0.08765563981459948,-0.04289836107746171,-0.04100563630834381,0.029144519291752886
OOS,KOSPI_ALL,Q25,MOM1M,PER12MF,MOMENTUM_X_VALUE,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,10,13,-0.00844552531504733,-0.042450042013757815,-0.1018749760742289,-0.039525158501381746,-0.06982911561049202,0.015865451623684083
OOS,KOSPI_ALL,Q25,MOM1M,PRIVATE_FLOW,MOMENTUM_X_FLOW,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,11,30,-0.02473645557534057,-0.06407201743344026,-0.03508236323308188,-0.034075314729133326,-0.02640867401281434,-0.030425320733237178
OOS,KOSPI_ALL,Q25,MOM1M,PRIVATE_FLOW,MOMENTUM_X_FLOW,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,8,30,-0.02415052044366965,-0.06371750487449591,-0.05114489567855787,-0.022127976892049084,-0.04271309768098092,-0.018483994530238572
OOS,KOSPI_ALL,Q33,MOM12_1,PBR12MF,MOMENTUM_X_VALUE,GENUINE_MINUS_DEFENSIVE_ROTATION,10,9,-0.00989841380634666,0.049171138547476734,0.09353765534175182,0.09661300203518051,0.016261599288448066,-0.043392216874931784
OOS,KOSPI_ALL,Q33,MOM12_1,PBR12MF,MOMENTUM_X_VALUE,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,10,9,0.012199618478843738,0.043262040821848716,0.06278853891499346,0.030503959110795734,0.04488961040612444,0.025731837672188486
OOS,KOSPI_ALL,Q33,MOM1M,FOREIGN_FLOW,MOMENTUM_X_FLOW,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,12,24,-0.0021584590220996482,-0.007318085960693346,-0.018062480880025517,0.008709154150957424,-0.010156207178858359,0.0026596095296141558
OOS,KOSPI_ALL,Q33,MOM1M,OP12_REV,MOMENTUM_X_REVISION,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,11,31,-0.018354706904551273,-0.0750212489071966,-0.04327772935037928,-0.0032202284989780814,-0.0475795864170789,0.004447013684101463
OOS,KOSPI_ALL,Q33,MOM1M,OP12_REV,MOMENTUM_X_REVISION,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,10,31,-0.01838040462853407,-0.03657071080208493,-0.019164707234788525,0.016247886218854223,-0.017198431679186766,0.03170027635230947
OOS,KOSPI_ALL,Q33,MOM1M,OPFY1_REV,MOMENTUM_X_REVISION,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,8,32,-0.016045566277591294,-0.07772534111615831,-0.05532522927892104,-0.004441849501253859,-0.0510697297126253,0.00436610189392787
OOS,KOSPI_ALL,Q33,MOM1M,OPFY1_REV,MOMENTUM_X_REVISION,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,13,32,-0.005426582228923997,-0.05693964588812464,-0.05778805002876398,-0.009040453369903844,-0.04996039125210113,0.007441487598307199
OOS,KOSPI_ALL,Q33,MOM1M,PER12MF,MOMENTUM_X_VALUE,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,16,11,-0.0016990265919509511,-0.03586044831610524,-0.07079842126664562,-0.026661882011200448,-0.03229688900596114,0.027456998015398568
OOS,KOSPI_ALL,Q33,MOM1M,PER12MF,MOMENTUM_X_VALUE,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,10,11,-0.003420537106644467,-0.016619113795596656,-0.08869635769508946,-0.028863491365127687,-0.05863187045324412,0.021717178383330264
OOS,KOSPI_ALL,Q33,MOM1M,PRIVATE_FLOW,MOMENTUM_X_FLOW,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,8,26,-0.02269838257332841,-0.04962050687146063,-0.019529583550880483,-0.03596275948554989,-0.008827413037368323,-0.026487057549916985
OOS,KOSPI_ALL,Q50,MOM1M,PER12MF,MOMENTUM_X_VALUE,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,12,8,-0.006686003749997064,-0.06530912774907952,-0.08773840909294243,-0.024704918532004686,-0.0545868742003165,0.031728357295261266
OOS,KOSPI_EX_K200,Q25,MOM1M,OP12_REV,MOMENTUM_X_REVISION,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,9,28,8.342872529322452e-05,0.0027426716006414753,3.899072691941792e-07,0.0032382030617650924,-0.007805728985753648,0.00408965046575881
OOS,KOSPI_EX_K200,Q25,MOM1M,OP12_REV,MOMENTUM_X_REVISION,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,8,28,0.016265548328081265,0.024583686025457123,0.02768702623212255,0.00864967433900369,0.03809465437221915,0.02127916435219042
OOS,KOSPI_EX_K200,Q25,MOM1M,OPFY1_REV,MOMENTUM_X_REVISION,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,8,27,0.013909748650550616,-0.007059020116654531,-0.027939079426891715,-0.027239979623592994,0.007421255088182189,-0.00449496758277196
OOS,KOSPI_EX_K200,Q25,MOM1M,PRIVATE_FLOW,MOMENTUM_X_FLOW,GENUINE_MINUS_DEFENSIVE_ROTATION,10,10,0.015996497475260878,0.018226217602401666,-0.006486236739937909,-0.015235444812650644,-0.006301382991698435,-0.03327657068208416
OOS,KOSPI_EX_K200,Q25,MOM1M,PRIVATE_FLOW,MOMENTUM_X_FLOW,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,10,31,0.0029922168501804185,-0.0021005500246231825,-0.048097680951948656,-0.031597380217918004,-0.021516317740255655,-0.024628050694586495
