variant,universe,strategy,factor,period,return_type,median_cagr,median_sharpe,median_mdd,median_calmar,median_annual_turnover,min_cagr,max_cagr,positive_cagr_phases,n_phases
KOSPI_ALL_PRIVATE_FLOW_BASE,KOSPI_ALL,PRIMARY8,PRIVATE_FLOW,YTD_2026,GROSS,0.4099066294754554,0.9568104954852683,-0.3385650466309712,1.2357470848671936,14.16290552330524,0.2222751063581374,0.8326778149198777,10,10
KOSPI_ALL_PRIVATE_FLOW_BASE,KOSPI_ALL,PRIMARY8,PRIVATE_FLOW,YTD_2026,NET30,0.352964712860384,0.8713019924788148,-0.34354061087581955,1.046074537238863,14.16290552330524,0.16874568400852463,0.7568129646676611,10,10
KOSPI_ALL_PRIVATE_FLOW_BASE,KOSPI_ALL,PRIMARY8,PRIVATE_FLOW,YTD_2026,NET60,0.29823371350393,0.785566072416435,-0.34848626107794656,0.8692488940744729,14.16290552330524,0.11747162109754616,0.683968585830999,10,10
MIXED_OPFY1_BASE,KOSDAQ_PLUS_KOSPI_EX_K200,PRIMARY8,OPFY1_REV,BULL_2025,GROSS,0.9186165066329616,2.8322910618392996,-0.19232686281150113,4.854799982806628,14.789077708778692,0.6673977062133833,1.037341083648403,10,10
MIXED_OPFY1_BASE,KOSDAQ_PLUS_KOSPI_EX_K200,PRIMARY8,OPFY1_REV,BULL_2025,NET30,0.8351410568920744,2.6497272036564565,-0.19730085867108682,4.304719508259713,14.789077708778692,0.5941615010068586,0.9480745320485882,10,10
MIXED_OPFY1_BASE,KOSDAQ_PLUS_KOSPI_EX_K200,PRIMARY8,OPFY1_REV,BULL_2025,NET60,0.7551474533973142,2.4640309500134765,-0.20225260035141246,3.7997709725439854,14.789077708778692,0.5240111682784436,0.8625583336341387,10,10
MIXED_OPFY1_BASE,KOSDAQ_PLUS_KOSPI_EX_K200,PRIMARY8,OPFY1_REV,EARLY_2016_2019,GROSS,0.12174875006524821,0.6774225760183323,-0.22697620713641858,0.53464191467909,13.264428231789328,0.07754113264918172,0.1546810491468842,10,10
MIXED_OPFY1_BASE,KOSDAQ_PLUS_KOSPI_EX_K200,PRIMARY8,OPFY1_REV,EARLY_2016_2019,NET30,0.0780684325508394,0.4771131535610845,-0.2413891926633588,0.3163906663835328,13.264428231789328,0.035537638999724175,0.1098384156155463,10,10
MIXED_OPFY1_BASE,KOSDAQ_PLUS_KOSPI_EX_K200,PRIMARY8,OPFY1_REV,EARLY_2016_2019,NET60,0.03601806514899619,0.2772316801101638,-0.25887718693193945,0.13369289294664352,13.264428231789328,-0.0048970081437380575,0.06666456131507603,9,10
MIXED_OPFY1_BASE,KOSDAQ_PLUS_KOSPI_EX_K200,PRIMARY8,OPFY1_REV,FULL_2016_2026,GROSS,0.16322017834611158,0.6922382205551476,-0.4925052421829867,0.3269927199031652,13.931035992490255,0.11329035149902267,0.19578870210651722,10,10
