date,period,universe,strategy,cost_bps,gross_return,net_return,turnover
2023-09-20,CONF_2023_2024,K200,EW8,0,0.0029556740457156124,0.0029556740457156124,0.0
2023-09-27,CONF_2023_2024,K200,EW8,0,0.006135602253507362,0.006135602253507362,0.0
2023-10-11,CONF_2023_2024,K200,EW8,0,0.003655214518094612,0.003655214518094612,0.0
2023-10-18,CONF_2023_2024,K200,EW8,0,0.007192281993521076,0.007192281993521076,0.0
2023-10-25,CONF_2023_2024,K200,EW8,0,-0.0012307575068832375,-0.0012307575068832375,0.0
2023-11-01,CONF_2023_2024,K200,EW8,0,0.007739338032354551,0.007739338032354551,0.0
2023-11-08,CONF_2023_2024,K200,EW8,0,-0.028737500292370204,-0.028737500292370204,0.0
2023-11-15,CONF_2023_2024,K200,EW8,0,0.0004311612291248879,0.0004311612291248879,0.0
2023-11-22,CONF_2023_2024,K200,EW8,0,-0.009791826782379786,-0.009791826782379786,0.0
2023-11-29,CONF_2023_2024,K200,EW8,0,0.003130914327007587,0.003130914327007587,0.0
2023-12-06,CONF_2023_2024,K200,EW8,0,0.0069800842197932506,0.0069800842197932506,0.0
2023-12-13,CONF_2023_2024,K200,EW8,0,0.001960067911858163,0.001960067911858163,0.0
2023-12-20,CONF_2023_2024,K200,EW8,0,-0.007892259651161962,-0.007892259651161962,0.0
2023-12-28,CONF_2023_2024,K200,EW8,0,-0.008775198501816451,-0.008775198501816451,0.0
2024-01-08,CONF_2023_2024,K200,EW8,0,-0.008999151839399287,-0.008999151839399287,0.0
2024-01-15,CONF_2023_2024,K200,EW8,0,0.003042663153664538,0.003042663153664538,0.0
2024-01-22,CONF_2023_2024,K200,EW8,0,0.009750468078252488,0.009750468078252488,0.0
2024-01-29,CONF_2023_2024,K200,EW8,0,-0.004396006337273498,-0.004396006337273498,0.0
2024-02-05,CONF_2023_2024,K200,EW8,0,0.020790311884453152,0.020790311884453152,0.0
2024-02-14,CONF_2023_2024,K200,EW8,0,-0.01660014476026801,-0.01660014476026801,0.0
2024-02-21,CONF_2023_2024,K200,EW8,0,0.0028570247025623,0.0028570247025623,0.0
2024-02-28,CONF_2023_2024,K200,EW8,0,-9.550109859003762e-05,-9.550109859003762e-05,0.0
2024-03-07,CONF_2023_2024,K200,EW8,0,0.024878427043421338,0.024878427043421338,0.0
2024-03-14,CONF_2023_2024,K200,EW8,0,-0.006699893129701226,-0.006699893129701226,0.0
2024-03-21,CONF_2023_2024,K200,EW8,0,-0.0023503902853016373,-0.0023503902853016373,0.0
2024-03-28,CONF_2023_2024,K200,EW8,0,-0.010084902479586011,-0.010084902479586011,0.0
2024-04-04,CONF_2023_2024,K200,EW8,0,0.011746794739770923,0.011746794739770923,0.0
2024-04-12,CONF_2023_2024,K200,EW8,0,0.010425262463050039,0.010425262463050039,0.0
2024-04-19,CONF_2023_2024,K200,EW8,0,0.012359801329968174,0.012359801329968174,0.0
2024-04-26,CONF_2023_2024,K200,EW8,0,0.0045824119248767,0.0045824119248767,0.0
2024-05-07,CONF_2023_2024,K200,EW8,0,-0.016145629372629713,-0.016145629372629713,0.0
2024-05-14,CONF_2023_2024,K200,EW8,0,0.008772345478293026,0.008772345478293026,0.0
2024-05-22,CONF_2023_2024,K200,EW8,0,0.023932657445319763,0.023932657445319763,0.0
2024-05-29,CONF_2023_2024,K200,EW8,0,0.0015335893587826808,0.0015335893587826808,0.0
2024-06-05,CONF_2023_2024,K200,EW8,0,-0.011381843858985913,-0.011381843858985913,0.0
2024-06-13,CONF_2023_2024,K200,EW8,0,0.00536919242508165,0.00536919242508165,0.0
2024-06-20,CONF_2023_2024,K200,EW8,0,0.01744698859098994,0.01744698859098994,0.0
2024-06-27,CONF_2023_2024,K200,EW8,0,0.008333326487530525,0.008333326487530525,0.0
2024-07-04,CONF_2023_2024,K200,EW8,0,-0.004714508083864613,-0.004714508083864613,0.0
2024-07-11,CONF_2023_2024,K200,EW8,0,-0.0007075687032236993,-0.0007075687032236993,0.0
2024-07-18,CONF_2023_2024,K200,EW8,0,0.0132494583862946,0.0132494583862946,0.0
2024-07-25,CONF_2023_2024,K200,EW8,0,0.009432017631464486,0.009432017631464486,0.0
2024-08-01,CONF_2023_2024,K200,EW8,0,0.010026571278493763,0.010026571278493763,0.0
2024-08-08,CONF_2023_2024,K200,EW8,0,0.008577897299536386,0.008577897299536386,0.0
2024-08-16,CONF_2023_2024,K200,EW8,0,1.078903224627475e-05,1.078903224627475e-05,0.0
2024-08-23,CONF_2023_2024,K200,EW8,0,0.004881741299792113,0.004881741299792113,0.0
2024-08-30,CONF_2023_2024,K200,EW8,0,-0.0088108084271512,-0.0088108084271512,0.0
2024-09-06,CONF_2023_2024,K200,EW8,0,0.0030329121764167116,0.0030329121764167116,0.0
2024-09-13,CONF_2023_2024,K200,EW8,0,-0.012313279037057312,-0.012313279037057312,0.0
2024-09-25,CONF_2023_2024,K200,EW8,0,-0.019436980213024913,-0.019436980213024913,0.0
2024-10-04,CONF_2023_2024,K200,EW8,0,0.002660851248494975,0.002660851248494975,0.0
2024-10-14,CONF_2023_2024,K200,EW8,0,0.004660043142951037,0.004660043142951037,0.0
2024-10-21,CONF_2023_2024,K200,EW8,0,0.00622937929215415,0.00622937929215415,0.0
2024-10-28,CONF_2023_2024,K200,EW8,0,0.0064329946675597376,0.0064329946675597376,0.0
2024-11-04,CONF_2023_2024,K200,EW8,0,-0.004577706297635025,-0.004577706297635025,0.0
2024-11-11,CONF_2023_2024,K200,EW8,0,0.044391457046931544,0.044391457046931544,0.0
