universe,period,rule,n,win_rate,mean5,median5,cagr,mdd,worst5,mean_excess,beat_mkt
KOSDAQ,STRESS_2025,F_LOW_MARKET,45,0.6888888888888889,0.009361081917868545,0.0104853597479857,0.5147737793614406,-0.11921867763776228,-0.0464875692579932,0.004224740136255158,0.4444444444444444
KOSDAQ,STRESS_2026,F_LOW_MARKET,13,0.6153846153846154,0.01779004073588125,0.0143456364470248,0.856269141762322,-0.06915402496870726,-0.0677471842403504,0.002797335108730338,0.3076923076923077
KOSDAQ,TRAIN_2016_2022,F_LOW_MARKET,256,0.5390625,0.0001734958237034033,0.0016741779305516,-0.011895322679654208,-0.4170217192162805,-0.0987587117774958,0.0006077080397600374,0.23828125
KOSDAQ,VALID_2023_2024,F_LOW_MARKET,73,0.5616438356164384,0.00038918504239983414,0.0025286294968741,-0.006156217074605563,-0.2696223450288726,-0.1226332439141122,8.801944587396737e-05,0.2054794520547945
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,F_LOW_MARKET,49,0.673469387755102,0.010888211701179235,0.0116410443421048,0.6850139774888555,-0.08617147769636602,-0.0357121962969579,0.004121093595964455,0.3877551020408163
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,F_LOW_MARKET,19,0.5789473684210527,0.0069608080310865055,0.0087157622693863,0.22375355767867044,-0.2452587861870119,-0.1387290815705174,0.0011778831125665848,0.2631578947368421
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,F_LOW_MARKET,328,0.5670731707317073,0.0006896569078916092,0.0037817506805162,0.008785735133730599,-0.4407360284724715,-0.1795414963672664,0.0008362943226318162,0.2682926829268293
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,F_LOW_MARKET,96,0.53125,0.00018262153985240266,0.00088901985959835,-0.016283557887151634,-0.3325256025304141,-0.119514170924694,-0.0002032159166563107,0.20833333333333334
KOSPI_ALL,STRESS_2025,F_LOW_MARKET,49,0.673469387755102,0.012330343250653816,0.0107242416243189,0.7986037861512538,-0.09068629620664781,-0.0471882838165168,-0.0012927945415283492,0.24489795918367346
KOSPI_ALL,STRESS_2026,F_LOW_MARKET,21,0.5714285714285714,0.012380889635320812,0.017312921348168,0.5492236362819403,-0.1812975379876972,-0.1171188857215179,-0.010294665679715534,0.19047619047619047
KOSPI_ALL,TRAIN_2016_2022,F_LOW_MARKET,328,0.5670731707317073,0.0012436823999059628,0.0033682218153501,0.04615330408011098,-0.33148518536517757,-0.1485489948560243,0.0009045934926511136,0.19817073170731708
KOSPI_ALL,VALID_2023_2024,F_LOW_MARKET,97,0.5463917525773195,0.0004967184108838548,0.0033500849339695,0.009525968312101396,-0.17605999971953412,-0.0797921995920308,-0.00027824465653541227,0.21649484536082475
KOSPI_EX_K200,STRESS_2025,F_LOW_MARKET,49,0.5714285714285714,0.005558738298295065,0.0057170179811785,0.29914781117839584,-0.08126327928369126,-0.0567332381096187,-0.0004017723763956999,0.12244897959183673
KOSPI_EX_K200,STRESS_2026,F_LOW_MARKET,15,0.7333333333333333,0.011186391058568699,0.0194570510026079,0.5057866583176789,-0.11865046308934923,-0.0870298141417973,-0.0023813624130279067,0.2
KOSPI_EX_K200,TRAIN_2016_2022,F_LOW_MARKET,288,0.5347222222222222,0.0007520510684458417,0.0036019706605435,0.01923938085009591,-0.35149312329266447,-0.0822901276597724,0.0007718716507309163,0.1840277777777778
KOSPI_EX_K200,VALID_2023_2024,F_LOW_MARKET,91,0.5274725274725275,0.0009355499505494206,0.0017950046725089,0.030889183061181935,-0.19516474275603068,-0.0722978128048661,0.00040531246528760013,0.2087912087912088
KOSPI_KOSDAQ_ALL,STRESS_2025,F_LOW_MARKET,49,0.6326530612244898,0.010638926745898732,0.0119465258647805,0.6596180242587029,-0.10392489405519656,-0.0451858077967192,-0.002058527790537931,0.1836734693877551
KOSPI_KOSDAQ_ALL,STRESS_2026,F_LOW_MARKET,21,0.5714285714285714,0.011461404051839978,0.0236451643260484,0.502919770051852,-0.1964576871810948,-0.1199360562858491,-0.008767897613481113,0.23809523809523808
KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,F_LOW_MARKET,328,0.573170731707317,0.00025679943638215013,0.00289782502739405,-0.0036436448095547025,-0.40999989398567316,-0.1525988953215112,-2.5532168817673876e-05,0.17682926829268292
KOSPI_KOSDAQ_ALL,VALID_2023_2024,F_LOW_MARKET,96,0.5104166666666666,0.0006216022152270648,0.00072500840825635,0.014951466049723638,-0.2559613475625657,-0.0805372055042861,0.0004799639644457772,0.23958333333333334
K200,STRESS_2025,REPAIR_F_LOW_MARKET,49,0.6122448979591837,0.01252025264800948,0.0088060428358136,0.811453974571956,-0.09182627902659757,-0.0485567318099933,-0.0017275548652113104,0.3877551020408163
K200,STRESS_2026,REPAIR_F_LOW_MARKET,20,0.5,0.004809554326777576,0.00806045714089465,0.12841803741790492,-0.3057885263070579,-0.1263883730489126,-0.012970278977589438,0.25
K200,TRAIN_2016_2022,REPAIR_F_LOW_MARKET,328,0.5701219512195121,0.0014537626849671014,0.0027625721242465,0.05615184704141041,-0.34030683688200825,-0.1450765868387732,0.0010110237355530041,0.27134146341463417
K200,VALID_2023_2024,REPAIR_F_LOW_MARKET,97,0.5360824742268041,0.0012369285730384435,0.0017684368275892,0.0465692847585939,-0.13491994059153933,-0.0707523827426301,0.0005421560350823691,0.1958762886597938
KOSDAQ,STRESS_2025,REPAIR_F_LOW_MARKET,45,0.6444444444444445,0.009289681935005597,0.0092010510078723,0.5067828147787163,-0.13799338216734702,-0.0494594121099022,0.004153340153392207,0.4888888888888889
KOSDAQ,STRESS_2026,REPAIR_F_LOW_MARKET,13,0.6923076923076923,0.021991136493869388,0.0263839996549397,1.1692577062163387,-0.06774718424035042,-0.0677471842403504,0.0069984308667184756,0.5384615384615384
KOSDAQ,TRAIN_2016_2022,REPAIR_F_LOW_MARKET,256,0.5390625,0.000570063211692692,0.00215531699750965,0.003080687465436771,-0.4089431995237448,-0.0987587117774958,0.0010042754277493266,0.375
KOSDAQ,VALID_2023_2024,REPAIR_F_LOW_MARKET,73,0.5753424657534246,0.001325083857201244,0.0034114691169379,0.031053879638838433,-0.23994280766843112,-0.1226332439141122,0.0010239182606753769,0.3424657534246575
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,REPAIR_F_LOW_MARKET,49,0.673469387755102,0.011271493628801015,0.0116410443421048,0.7175556900426532,-0.07377956073793368,-0.0333676221159958,0.004504375523586235,0.5102040816326531
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,REPAIR_F_LOW_MARKET,19,0.5789473684210527,0.007369382539586766,0.0087157622693863,0.24388165389647565,-0.2452587861870119,-0.1387290815705174,0.0015864576210668426,0.3157894736842105
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,REPAIR_F_LOW_MARKET,328,0.5701219512195121,0.0009612329058971908,0.00471668235532735,0.021486488049770713,-0.4244799677564013,-0.1795414963672664,0.0011078703206373983,0.3719512195121951
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,REPAIR_F_LOW_MARKET,96,0.5625,0.0005599526875866455,0.00236913228505195,0.0022921111108935577,-0.3066850446097348,-0.119514170924694,0.00017411523107793255,0.28125
KOSPI_ALL,STRESS_2025,REPAIR_F_LOW_MARKET,49,0.673469387755102,0.009476472604901674,0.0100276814354954,0.5711402284252192,-0.08004059320469092,-0.0471882838165168,-0.004146665187280495,0.32653061224489793
KOSPI_ALL,STRESS_2026,REPAIR_F_LOW_MARKET,21,0.5714285714285714,0.016459141622308823,0.017312921348168,0.8543375086691882,-0.16804712566907176,-0.1028297644163698,-0.006216413692727523,0.38095238095238093
KOSPI_ALL,TRAIN_2016_2022,REPAIR_F_LOW_MARKET,328,0.5853658536585366,0.0017199461203830579,0.00445758058262275,0.07066121413034887,-0.3551529166287878,-0.1485489948560243,0.0013808572131282092,0.3048780487804878
KOSPI_ALL,VALID_2023_2024,REPAIR_F_LOW_MARKET,97,0.5463917525773195,0.0009175772332562341,0.0021703982622773,0.03075615019325073,-0.176059999719534,-0.0797921995920308,0.00014261416583696696,0.27835051546391754
KOSPI_EX_K200,STRESS_2025,REPAIR_F_LOW_MARKET,49,0.5918367346938775,0.006570533877318599,0.0099013927523973,0.3645048200891472,-0.06406180546245399,-0.0567332381096187,0.0006100232026278347,0.30612244897959184
KOSPI_EX_K200,STRESS_2026,REPAIR_F_LOW_MARKET,15,0.7333333333333333,0.014933007361412693,0.0194570510026079,0.7334643499060751,-0.11865046308934923,-0.0870298141417973,0.0013652538898160857,0.3333333333333333
KOSPI_EX_K200,TRAIN_2016_2022,REPAIR_F_LOW_MARKET,288,0.53125,0.0009471898001480131,0.00302890493306075,0.027156616878259987,-0.34031893231561394,-0.0822901276597724,0.0009670103824330877,0.2569444444444444
KOSPI_EX_K200,VALID_2023_2024,REPAIR_F_LOW_MARKET,91,0.5274725274725275,0.0009358134823782661,0.0017950046725089,0.028921938106353906,-0.21722757517822378,-0.0722978128048661,0.0004055759971164451,0.31868131868131866
KOSPI_KOSDAQ_ALL,STRESS_2025,REPAIR_F_LOW_MARKET,49,0.6530612244897959,0.008915851480865771,0.0108678523958841,0.5297113579821962,-0.09197481117620054,-0.0451858077967192,-0.00378160305557089,0.30612244897959184
KOSPI_KOSDAQ_ALL,STRESS_2026,REPAIR_F_LOW_MARKET,21,0.5714285714285714,0.012344356924943447,0.0236451643260484,0.5713173592131833,-0.19289418069466602,-0.1160331957620569,-0.007884944740377643,0.42857142857142855
KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,REPAIR_F_LOW_MARKET,328,0.5884146341463414,0.001213710656098194,0.004993216282003251,0.04305348867650838,-0.39078877721299066,-0.1525988953215112,0.0009313790508983703,0.32926829268292684
KOSPI_KOSDAQ_ALL,VALID_2023_2024,REPAIR_F_LOW_MARKET,96,0.5416666666666666,0.000746589960826265,0.004367734134561849,0.01872104629474225,-0.2559613475625655,-0.1073010956149836,0.0006049517100449772,0.34375
K200,STRESS_2025,B2_F_LOW_MARKET,49,0.5714285714285714,0.010192209521397856,0.0088060428358136,0.6210585482003887,-0.08226489165743311,-0.0406898096706884,-0.004055597991822932,0.4489795918367347
K200,STRESS_2026,B2_F_LOW_MARKET,20,0.5,0.006335666675245807,0.00806045714089465,0.20261029150900844,-0.28365788691950644,-0.1263883730489126,-0.011444166629121207,0.3
K200,TRAIN_2016_2022,B2_F_LOW_MARKET,328,0.5487804878048781,0.0010814181235757412,0.00215634900838305,0.036931447529029215,-0.420486948349273,-0.1450765868387732,0.000638679174161644,0.3719512195121951
K200,VALID_2023_2024,B2_F_LOW_MARKET,97,0.5360824742268041,0.0026123315378061927,0.0020071409234045,0.11919251690533583,-0.1346818776443678,-0.0707523827426301,0.0019175589998501187,0.36082474226804123
KOSDAQ,STRESS_2025,B2_F_LOW_MARKET,45,0.6222222222222222,0.010537933964738937,0.0101547187668461,0.5971510635629831,-0.10058698392159982,-0.0494594121099022,0.00540159218312555,0.6444444444444445
KOSDAQ,STRESS_2026,B2_F_LOW_MARKET,13,0.6923076923076923,0.02233824879287821,0.0263839996549397,1.1961507943752738,-0.06774718424035031,-0.0677471842403504,0.0073455431657272995,0.6153846153846154
KOSDAQ,TRAIN_2016_2022,B2_F_LOW_MARKET,256,0.5625,0.0015413079880922324,0.0035115063313331998,0.04108080383750168,-0.3936556834696189,-0.0987587117774958,0.0019755202041488672,0.56640625
KOSDAQ,VALID_2023_2024,B2_F_LOW_MARKET,73,0.5753424657534246,0.0016310722677836836,0.0038792353432302,0.04304703111776975,-0.24942657042650196,-0.1226332439141122,0.0013299066712578165,0.547945205479452
