universe,period,spec,n,switch_share,win_rate,mean5,beat_wplus,mean_edge,beat_market,cagr,mdd,worst5
KOSDAQ,TRAIN_2016_2022,TILT_20BP_W60,256,0.0,0.5625,0.0015413079880922324,0.0,0.0,0.56640625,0.04108080383750168,-0.3936556834696189,-0.0987587117774958
KOSDAQ,VALID_2023_2024,TILT_0BP_W50,73,0.726027397260274,0.6027397260273972,0.0027546972883504117,0.3561643835616438,0.0011236250205667265,0.4931506849315068,0.09259314775427208,-0.24653780252375912,-0.0904173436077361
KOSDAQ,VALID_2023_2024,TILT_10BP_W55,73,0.0,0.5753424657534246,0.0016310722677836836,0.0,0.0,0.547945205479452,0.04304703111776975,-0.24942657042650196,-0.1226332439141122
KOSDAQ,VALID_2023_2024,TILT_20BP_W55,73,0.0,0.5753424657534246,0.0016310722677836836,0.0,0.0,0.547945205479452,0.04304703111776975,-0.24942657042650196,-0.1226332439141122
KOSDAQ,VALID_2023_2024,TILT_20BP_W60,73,0.0,0.5753424657534246,0.0016310722677836836,0.0,0.0,0.547945205479452,0.04304703111776975,-0.24942657042650196,-0.1226332439141122
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,TILT_0BP_W50,49,0.4489795918367347,0.7142857142857143,0.011948214712111625,0.24489795918367346,0.0006209663489311287,0.6938775510204082,0.7781814713177542,-0.07285751643152583,-0.0345957426206935
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,TILT_10BP_W55,49,0.3877551020408163,0.7142857142857143,0.01221959455028608,0.22448979591836735,0.000892346187105584,0.7142857142857143,0.8014650005420261,-0.07129655700755355,-0.0345957426206935
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,TILT_20BP_W55,49,0.24489795918367346,0.6938775510204082,0.01122125253907647,0.10204081632653061,-0.00010599582410402633,0.6938775510204082,0.7147676174292865,-0.0757979982339948,-0.0345957426206935
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,TILT_20BP_W60,49,0.24489795918367346,0.6938775510204082,0.01122125253907647,0.10204081632653061,-0.00010599582410402633,0.6938775510204082,0.7147676174292865,-0.0757979982339948,-0.0345957426206935
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,TILT_0BP_W50,19,0.8421052631578947,0.5789473684210527,0.010154298330124129,0.47368421052631576,0.0013124106658809651,0.5263157894736842,0.4228337461867444,-0.20416730040299802,-0.09347472484976
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,TILT_10BP_W55,19,0.5789473684210527,0.5789473684210527,0.009087988402526734,0.3157894736842105,0.0002461007382835697,0.5789473684210527,0.32990577082531614,-0.23352020344365132,-0.1261787356825765
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,TILT_20BP_W55,19,0.5263157894736842,0.5789473684210527,0.00826624700890283,0.2631578947368421,-0.0005756406553403307,0.5789473684210527,0.28752957628449094,-0.2335202034436512,-0.1261787356825765
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,TILT_20BP_W60,19,0.5263157894736842,0.5789473684210527,0.00826624700890283,0.2631578947368421,-0.0005756406553403307,0.5789473684210527,0.28752957628449094,-0.2335202034436512,-0.1261787356825765
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,TILT_0BP_W50,328,0.5609756097560976,0.5914634146341463,0.0024129645417820585,0.3353658536585366,0.001116484643953579,0.6067073170731707,0.09816121381540377,-0.3568978796485741,-0.1858142583073437
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,TILT_10BP_W55,328,0.4146341463414634,0.5975609756097561,0.002191616285342325,0.25914634146341464,0.0008951363875138454,0.600609756097561,0.0859995765348216,-0.3689163546928873,-0.1755646143519117
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,TILT_20BP_W55,328,0.19207317073170732,0.5853658536585366,0.0017997109517263925,0.11585365853658537,0.0005032310538979132,0.5914634146341463,0.06548604890385135,-0.3701768064205203,-0.1755646143519117
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,TILT_20BP_W60,328,0.19207317073170732,0.5853658536585366,0.0017997109517263925,0.11585365853658537,0.0005032310538979132,0.5914634146341463,0.06548604890385135,-0.3701768064205203,-0.1755646143519117
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,TILT_0BP_W50,96,0.59375,0.5729166666666666,0.0019108224696112919,0.3333333333333333,0.0008963998181682177,0.5520833333333334,0.08109917060128047,-0.23272393872232566,-0.0874308106658808
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,TILT_10BP_W55,96,0.4166666666666667,0.5625,0.00193119886256412,0.23958333333333334,0.0009167762111210471,0.5520833333333334,0.07725671673277712,-0.2657557373437308,-0.0874308106658808
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,TILT_20BP_W55,96,0.09375,0.5625,0.0015940224331983846,0.052083333333333336,0.0005795997817553105,0.5208333333333334,0.05989606095898847,-0.28450703356637275,-0.0743782902621572
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,TILT_20BP_W60,96,0.09375,0.5625,0.0015940224331983846,0.052083333333333336,0.0005795997817553105,0.5208333333333334,0.05989606095898847,-0.28450703356637275,-0.0743782902621572
KOSPI_ALL,STRESS_2025,TILT_0BP_W50,49,0.7959183673469388,0.7346938775510204,0.011162681103999145,0.4489795918367347,0.0015046345065584978,0.5102040816326531,0.704245087908087,-0.08021465437635233,-0.0442571625888557
KOSPI_ALL,STRESS_2025,TILT_10BP_W55,49,0.3877551020408163,0.6938775510204082,0.010642179488025504,0.24489795918367346,0.000984132890584857,0.5102040816326531,0.662716161587491,-0.08255233038275356,-0.0442571625888557
KOSPI_ALL,STRESS_2025,TILT_20BP_W55,49,0.3877551020408163,0.6938775510204082,0.010642179488025504,0.24489795918367346,0.000984132890584857,0.5102040816326531,0.662716161587491,-0.08255233038275356,-0.0442571625888557
KOSPI_ALL,STRESS_2025,TILT_20BP_W60,49,0.3877551020408163,0.6938775510204082,0.010642179488025504,0.24489795918367346,0.000984132890584857,0.5102040816326531,0.662716161587491,-0.08255233038275356,-0.0442571625888557
KOSPI_ALL,STRESS_2026,TILT_0BP_W50,21,0.8095238095238095,0.5714285714285714,0.011468007378404333,0.38095238095238093,0.0009207240679445659,0.47619047619047616,0.51239326367544,-0.1969213590015092,-0.1077357785913363
KOSPI_ALL,STRESS_2026,TILT_10BP_W55,21,0.5714285714285714,0.5714285714285714,0.012409295065198056,0.3333333333333333,0.0018620117547382851,0.47619047619047616,0.5758431710449687,-0.1889889794084435,-0.1028297644163698
KOSPI_ALL,STRESS_2026,TILT_20BP_W55,21,0.5714285714285714,0.5714285714285714,0.012409295065198056,0.3333333333333333,0.0018620117547382851,0.47619047619047616,0.5758431710449687,-0.1889889794084435,-0.1028297644163698
KOSPI_ALL,STRESS_2026,TILT_20BP_W60,21,0.5714285714285714,0.5714285714285714,0.012409295065198056,0.3333333333333333,0.0018620117547382851,0.47619047619047616,0.5758431710449687,-0.1889889794084435,-0.1028297644163698
KOSPI_ALL,TRAIN_2016_2022,TILT_0BP_W50,328,0.6463414634146342,0.5609756097560976,0.0021674427422954043,0.36890243902439024,0.001353207253685633,0.5274390243902439,0.0899053407448569,-0.40276589317508205,-0.1646983058260274
KOSPI_ALL,TRAIN_2016_2022,TILT_10BP_W55,328,0.13414634146341464,0.5548780487804879,0.0014027124158165116,0.09451219512195122,0.0005884769272067409,0.5030487804878049,0.05130862083898213,-0.44874872224335915,-0.1647852780350054
KOSPI_ALL,TRAIN_2016_2022,TILT_20BP_W55,328,0.13414634146341464,0.5548780487804879,0.0014027124158165116,0.09451219512195122,0.0005884769272067409,0.5030487804878049,0.05130862083898213,-0.44874872224335915,-0.1647852780350054
KOSPI_ALL,TRAIN_2016_2022,TILT_20BP_W60,328,0.13414634146341464,0.5548780487804879,0.0014027124158165116,0.09451219512195122,0.0005884769272067409,0.5030487804878049,0.05130862083898213,-0.44874872224335915,-0.1647852780350054
KOSPI_ALL,VALID_2023_2024,TILT_0BP_W50,97,0.5979381443298969,0.5670103092783505,0.003101247204915279,0.27835051546391754,0.0002007422331906021,0.5876288659793815,0.14674971612169307,-0.1487411538360165,-0.0690076561593042
KOSPI_ALL,VALID_2023_2024,TILT_10BP_W55,97,0.1134020618556701,0.5876288659793815,0.0038778220864155574,0.061855670103092786,0.0009773171146908806,0.6288659793814433,0.19252348719796308,-0.15765710667173838,-0.0690076561593042
