universe,period,policy,avg_mult,win_rate,mean5,cagr,mdd,worst5
KOSPI_EX_K200,VALID_2023_2024,SIZE_HIT55_150_50,0.7857142857142857,0.5604395604395604,0.0025431980545050476,0.11646415127835685,-0.13916455698580676,-0.07609526572234035
KOSPI_KOSDAQ_ALL,STRESS_2025,SIZE_HIT55_150_50,0.8061224489795918,0.673469387755102,0.008857860803732825,0.5288230124540882,-0.0658259933035712,-0.0465777698782038
KOSPI_KOSDAQ_ALL,STRESS_2026,SIZE_HIT55_150_50,0.7857142857142857,0.5238095238095238,0.0027240141010626195,0.04524690916174334,-0.2702138260502851,-0.17404979364308534
KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,SIZE_HIT55_150_50,0.8445121951219512,0.5701219512195121,0.002634362486635563,0.12038167122234333,-0.2714734377086726,-0.11515326421043326
KOSPI_KOSDAQ_ALL,VALID_2023_2024,SIZE_HIT55_150_50,0.7395833333333334,0.5208333333333334,-0.0009004191072533033,-0.056040450413163745,-0.23820216833553887,-0.16095164342247542
K200,STRESS_2025,SIZE_HIT60_125_75,0.8214285714285714,0.5714285714285714,0.008732333329386506,0.5198018416015913,-0.06746003839124926,-0.0305173572530163
K200,STRESS_2026,SIZE_HIT60_125_75,0.875,0.5,0.006780205938519732,0.23954565766219083,-0.25523202674367085,-0.09479127978668445
K200,TRAIN_2016_2022,SIZE_HIT60_125_75,0.8902439024390244,0.5304878048780488,0.0011054639996386337,0.039922674224047716,-0.37370425401781127,-0.12415067751549087
K200,VALID_2023_2024,SIZE_HIT60_125_75,0.8582474226804123,0.5257731958762887,0.0016619748688995516,0.07297229484221601,-0.11923505146636382,-0.05966452189580813
KOSDAQ,STRESS_2025,SIZE_HIT60_125_75,0.75,0.6222222222222222,0.007903450473554204,0.42625104448061224,-0.07596042723261864,-0.03709455908242665
KOSDAQ,STRESS_2026,SIZE_HIT60_125_75,0.75,0.6923076923076923,0.016753686594658652,0.8200170238490339,-0.050810388180262844,-0.050810388180262796
KOSDAQ,TRAIN_2016_2022,SIZE_HIT60_125_75,0.75,0.5625,0.0011559809910691747,0.03421142452296544,-0.3110556073509322,-0.07406903383312186
KOSDAQ,VALID_2023_2024,SIZE_HIT60_125_75,0.75,0.5753424657534246,0.001223304200837763,0.03648232839898813,-0.18883523903837784,-0.09197493293558415
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,SIZE_HIT60_125_75,0.9642857142857143,0.6938775510204082,0.01067219979682532,0.6676085130996361,-0.07107127501170019,-0.04013770535958225
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,SIZE_HIT60_125_75,1.0657894736842106,0.5789473684210527,0.01167641858733883,0.5014104211518737,-0.21102950380507157,-0.09463405176193238
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,SIZE_HIT60_125_75,0.9359756097560976,0.5823170731707317,0.0017739279751042799,0.06760934553449816,-0.3323933588261546,-0.13167346076393377
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,SIZE_HIT60_125_75,0.859375,0.5625,0.00041199144694320397,0.0013612533309588226,-0.29927044937083436,-0.1493927136558675
KOSPI_ALL,STRESS_2025,SIZE_HIT60_125_75,0.8418367346938775,0.6530612244897959,0.008432955520235742,0.4997100653715443,-0.056395207022105986,-0.035391212862387604
KOSPI_ALL,STRESS_2026,SIZE_HIT60_125_75,0.8690476190476191,0.5238095238095238,0.009679112515047938,0.4061151220922603,-0.21340638690823377,-0.12853720552046224
KOSPI_ALL,TRAIN_2016_2022,SIZE_HIT60_125_75,0.8719512195121951,0.5548780487804879,0.0013169384681915523,0.05231251670733017,-0.37217082582400873,-0.12358895852625404
KOSPI_ALL,VALID_2023_2024,SIZE_HIT60_125_75,0.8427835051546392,0.5670103092783505,0.0019692932295738855,0.09006458754190771,-0.11228761141465882,-0.05749516515674932
KOSPI_EX_K200,STRESS_2025,SIZE_HIT60_125_75,0.8928571428571429,0.6122448979591837,0.00681441493595885,0.38546651121918174,-0.06863809234121898,-0.04254992858221403
KOSPI_EX_K200,STRESS_2026,SIZE_HIT60_125_75,0.8833333333333333,0.7333333333333333,0.016733529540619484,0.8989835501428418,-0.08955302305677926,-0.06527236060634797
KOSPI_EX_K200,TRAIN_2016_2022,SIZE_HIT60_125_75,0.8767361111111112,0.5659722222222222,0.0018841165546279197,0.07219984077279662,-0.24966864909489228,-0.0764799784784465
KOSPI_EX_K200,VALID_2023_2024,SIZE_HIT60_125_75,0.8489010989010989,0.5604395604395604,0.0016668977289290739,0.07060140748902,-0.16971697277126074,-0.06341272143528362
KOSPI_KOSDAQ_ALL,STRESS_2025,SIZE_HIT60_125_75,0.9030612244897959,0.673469387755102,0.00951519186306783,0.5790892335654383,-0.0726582608118852,-0.0388148082318365
KOSPI_KOSDAQ_ALL,STRESS_2026,SIZE_HIT60_125_75,0.8928571428571429,0.5238095238095238,0.004455913076945814,0.13025480357741204,-0.25665237344639,-0.1450414947025711
KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,SIZE_HIT60_125_75,0.9222560975609756,0.5701219512195121,0.0017882905255804285,0.07391647606799956,-0.33911916178736756,-0.12523556069400654
KOSPI_KOSDAQ_ALL,VALID_2023_2024,SIZE_HIT60_125_75,0.8697916666666666,0.5208333333333334,-0.00012934317371028162,-0.021102669622726,-0.2356234465402942,-0.1341263695187295
K200,STRESS_2025,SIZE_HIT60_150_50,0.6428571428571429,0.5714285714285714,0.006596030565958092,0.37497645968520543,-0.0532831609585126,-0.0203449048353442
K200,STRESS_2026,SIZE_HIT60_150_50,0.75,0.5,0.007224745201793658,0.266091051294691,-0.22718925455549122,-0.08763813596005635
K200,TRAIN_2016_2022,SIZE_HIT60_150_50,0.7804878048780488,0.5304878048780488,0.001640677286528496,0.06816480155137605,-0.28424441865314753,-0.14898081301858904
K200,VALID_2023_2024,SIZE_HIT60_150_50,0.7164948453608248,0.5257731958762887,0.0006975819324795261,0.0262103160275704,-0.147767967775429,-0.07159742627496975
KOSDAQ,STRESS_2025,SIZE_HIT60_150_50,0.5,0.6222222222222222,0.005268966982369469,0.2703802936879103,-0.05098485645696449,-0.0247297060549511
