universe,period,base_state,factor_substate,policy,action,n,win_rate,mean_5d,beat_mkt_rate,mean_excess
KOSPI_ALL,STRESS_2025,B3,F_HIGH,ABS_STATE,POSABS,9,0.6666666666666666,0.00791562751782214,0.4444444444444444,-0.00250238694602937
KOSPI_ALL,STRESS_2025,B3,F_HIGH,ALPHA_STATE,LEADER_OR_ROTATE,9,0.6666666666666666,0.006043129569777244,0.4444444444444444,-0.004374884894074267
KOSPI_ALL,STRESS_2025,B3,F_LOW,ABS_STATE,CASH,9,0.0,0.0,0.4444444444444444,-0.001654504446688711
KOSPI_ALL,STRESS_2025,B3,F_LOW,ALPHA_STATE,EW4,9,0.4444444444444444,0.00033568110990252816,0.4444444444444444,-0.0013188233367861827
KOSPI_ALL,STRESS_2025,B4,F_HIGH,ABS_STATE,WPLUS,19,0.631578947368421,0.009853818606415621,0.42105263157894735,-0.0020722637442661
KOSPI_ALL,STRESS_2025,B4,F_HIGH,ALPHA_STATE,LEADER,19,0.5789473684210527,0.007614690173872374,0.42105263157894735,-0.004311392176809347
KOSPI_ALL,STRESS_2025,B4,F_LOW,ABS_STATE,LEADER,8,0.75,0.0129606439643617,0.375,-0.016425958386934475
KOSPI_ALL,STRESS_2025,B4,F_LOW,ALPHA_STATE,LEADER,8,0.75,0.0129606439643617,0.375,-0.016425958386934475
KOSPI_ALL,STRESS_2026,B2,F_HIGH,ABS_STATE,POSABS,1,1.0,0.07559227564941357,0.0,-0.01067575633245274
KOSPI_ALL,STRESS_2026,B2,F_HIGH,ALPHA_STATE,WPLUS,1,1.0,0.07622131480685296,0.0,-0.010046717175013348
KOSPI_ALL,STRESS_2026,B3,F_HIGH,ABS_STATE,POSABS,1,0.0,-0.0360188925467009,1.0,0.11884430083955919
KOSPI_ALL,STRESS_2026,B3,F_HIGH,ALPHA_STATE,LEADER_OR_ROTATE,1,0.0,-0.0360188925467009,1.0,0.11884430083955919
KOSPI_ALL,STRESS_2026,B3,F_LOW,ABS_STATE,CASH,3,0.0,0.0,0.3333333333333333,-0.05589234322472634
KOSPI_ALL,STRESS_2026,B3,F_LOW,ALPHA_STATE,EW4,3,0.3333333333333333,0.014509335041782987,0.3333333333333333,-0.041383008182943354
KOSPI_ALL,STRESS_2026,B4,F_HIGH,ABS_STATE,WPLUS,12,0.5833333333333334,0.011641711299039707,0.25,-0.027082130244880986
KOSPI_ALL,STRESS_2026,B4,F_HIGH,ALPHA_STATE,LEADER,12,0.5833333333333334,0.009003416985274975,0.16666666666666666,-0.02972042455864572
