universe,period,spec,n,mean_edge,median_edge,win_vs_wplus,abs_win
KOSPI_EX_K200,VALID_2023_2024,TILT_0BP_W50,73,-0.0005972145090264266,-0.0009831764562603026,0.4246575342465753,0.547945205479452
KOSPI_EX_K200,VALID_2023_2024,TILT_10BP_W55,34,-0.00019837214468017023,-0.0014983935164299491,0.38235294117647056,0.5882352941176471
KOSPI_EX_K200,VALID_2023_2024,TILT_20BP_W55,13,0.006647335371529369,0.0064314637498347985,0.5384615384615384,0.46153846153846156
KOSPI_EX_K200,VALID_2023_2024,TILT_20BP_W60,13,0.006647335371529369,0.0064314637498347985,0.5384615384615384,0.46153846153846156
KOSPI_KOSDAQ_ALL,STRESS_2025,TILT_0BP_W50,15,-0.0003206436428395141,-0.0006286723876372038,0.4666666666666667,0.6666666666666666
KOSPI_KOSDAQ_ALL,STRESS_2025,TILT_10BP_W55,12,-0.0005187843883020429,0.00021598643254559877,0.5,0.6666666666666666
KOSPI_KOSDAQ_ALL,STRESS_2025,TILT_20BP_W55,12,-0.0005187843883020429,0.00021598643254559877,0.5,0.6666666666666666
KOSPI_KOSDAQ_ALL,STRESS_2025,TILT_20BP_W60,10,0.00436868069683153,0.0030433047060244474,0.7,0.8
KOSPI_KOSDAQ_ALL,STRESS_2026,TILT_0BP_W50,13,-0.006102193049688654,-0.006870962717091599,0.46153846153846156,0.5384615384615384
KOSPI_KOSDAQ_ALL,STRESS_2026,TILT_10BP_W55,12,-0.007583352876282566,-0.010406528647816,0.4166666666666667,0.5
KOSPI_KOSDAQ_ALL,STRESS_2026,TILT_20BP_W55,12,-0.007583352876282566,-0.010406528647816,0.4166666666666667,0.5
KOSPI_KOSDAQ_ALL,STRESS_2026,TILT_20BP_W60,11,0.0017033852395578538,0.001303466144817203,0.5454545454545454,0.5454545454545454
KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,TILT_0BP_W50,110,0.0027761017017888727,0.0012161732833617968,0.5454545454545454,0.5727272727272728
KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,TILT_10BP_W55,54,0.004844815362919121,0.0017229789889903003,0.5740740740740741,0.6111111111111112
KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,TILT_20BP_W55,54,0.004844815362919121,0.0017229789889903003,0.5740740740740741,0.6111111111111112
KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,TILT_20BP_W60,25,0.004230810656774548,0.0027544496564821004,0.8,0.48
KOSPI_KOSDAQ_ALL,VALID_2023_2024,TILT_0BP_W50,31,0.003716044756637825,0.0003236872926736002,0.5161290322580645,0.4838709677419355
KOSPI_KOSDAQ_ALL,VALID_2023_2024,TILT_10BP_W55,15,0.0072867283957552004,0.0008465217749228995,0.6666666666666666,0.5333333333333333
KOSPI_KOSDAQ_ALL,VALID_2023_2024,TILT_20BP_W55,15,0.0072867283957552004,0.0008465217749228995,0.6666666666666666,0.5333333333333333
KOSPI_KOSDAQ_ALL,VALID_2023_2024,TILT_20BP_W60,7,0.005240544603788728,0.0015820406665945,0.8571428571428571,0.7142857142857143
