universe,eval_year,period,feature,target,train_n,test_n,train_spearman,direction,oos_spearman,directed_oos_spearman,train_q33,train_q67,low_n,high_n,raw_high_minus_low,directed_high_minus_low
KOSDAQ,2025,BULL_2025,ABS_OPPORTUNITY_20,TARGET_RANK_CORR_20,430,49,-0.1421290373548256,-1,0.33705236627796054,-0.33705236627796054,0.03156163862510526,0.043721002198120765,9,23,0.3004370830457787,-0.3004370830457787
KOSDAQ,2025,BULL_2025,RANGE_20,TARGET_RANK_CORR_20,430,49,-0.12876385396202414,-1,0.323317010039698,-0.323317010039698,0.11043140149433284,0.15158502280980968,6,26,0.3672161172161173,-0.3672161172161173
KOSDAQ,2025,BULL_2025,LEADER_STRENGTH_20,TARGET_RANK_CORR_20,430,49,-0.10286488154525053,-1,0.2425898791374929,-0.2425898791374929,0.04569395280922289,0.07768678739601109,10,24,0.12301587301587302,-0.12301587301587302
KOSDAQ,2025,BULL_2025,LOSER_WEAKNESS_20,TARGET_RANK_CORR_20,430,49,-0.14340416912668236,-1,0.12116728755909717,-0.12116728755909717,0.05122857847472073,0.08357706474357196,8,24,0.22519841269841268,-0.22519841269841268
KOSDAQ,2025,BULL_2025,WINNER_GAP_20,TARGET_RANK_CORR_20,430,49,-0.025629514595918383,-1,0.1496592161128166,-0.1496592161128166,0.011150211305434032,0.031305590911749004,10,18,0.15793650793650799,-0.15793650793650799
KOSDAQ,2025,BULL_2025,CROSS_HORIZON_RANK_CORR,TARGET_RANK_CORR_20,430,49,-0.13236677117773038,-1,0.21527298803683378,-0.21527298803683378,0.38095238095238104,0.6904761904761906,15,17,0.25480859010270773,-0.25480859010270773
KOSDAQ,2025,BULL_2025,PREV_RANK_CORR_20,TARGET_RANK_CORR_20,430,49,-0.1839509954411998,-1,0.055511560473712425,-0.055511560473712425,-0.14285714285714288,0.28571428571428575,17,20,-0.001330532212885177,0.001330532212885177
KOSDAQ,2025,BULL_2025,RANK_TURNOVER_20,TARGET_RANK_CORR_20,430,49,0.1839509954411998,1,-0.055511560473712425,-0.055511560473712425,0.7142857142857142,1.1428571428571428,20,17,0.001330532212885177,0.001330532212885177
KOSDAQ,2025,BULL_2025,BREADTH_CHANGE_20,TARGET_RANK_CORR_20,430,49,-0.09839409843110086,-1,0.09967894976411264,-0.09967894976411264,-0.125,0.125,21,19,0.07924573338107177,-0.07924573338107177
KOSDAQ,2025,BULL_2025,DISPERSION_CHANGE_20,TARGET_RANK_CORR_20,430,49,-0.09222771328386958,-1,0.02614313157617267,-0.02614313157617267,-0.008741316768338274,0.010049963702082873,16,13,0.015567765567765512,-0.015567765567765512
KOSDAQ,2025,BULL_2025,AVG_PAIR_CORR_60,TARGET_RANK_CORR_20,430,49,0.05600684580395374,1,0.6626671124913456,0.6626671124913456,0.028224113771513844,0.09668230112113406,11,19,0.672362724994304,0.672362724994304
