strategy,universe,sample,family,n_dates,gross_delta,positive_date_rate
PROMOTE20,KOSPI_KOSDAQ_ALL,BULL_2025,REVISION,25,0.003186425537916997,0.64
PROMOTE20,KOSPI_KOSDAQ_ALL,BULL_2025,VALUE,25,0.002217376186750968,0.64
PROMOTE20,KOSPI_KOSDAQ_ALL,EARLY_2016_2019,FLOW,98,0.0018894904113721993,0.6530612244897959
PROMOTE20,KOSPI_KOSDAQ_ALL,EARLY_2016_2019,MOMENTUM,98,0.0015970828305105404,0.5102040816326531
PROMOTE20,KOSPI_KOSDAQ_ALL,EARLY_2016_2019,REVISION,98,0.001081857368104424,0.5714285714285714
PROMOTE20,KOSPI_KOSDAQ_ALL,EARLY_2016_2019,VALUE,98,-0.00046512911297262756,0.4387755102040816
PROMOTE20,KOSPI_KOSDAQ_ALL,LATE_2020_2022,FLOW,75,0.0009892498633121442,0.5466666666666666
PROMOTE20,KOSPI_KOSDAQ_ALL,LATE_2020_2022,MOMENTUM,75,0.0014328748821410093,0.5333333333333333
PROMOTE20,KOSPI_KOSDAQ_ALL,LATE_2020_2022,REVISION,75,0.0018543806829202307,0.52
PROMOTE20,KOSPI_KOSDAQ_ALL,LATE_2020_2022,VALUE,75,0.00025675018404117643,0.4
PROMOTE20,KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,FLOW,48,-0.0005615763803991592,0.4583333333333333
PROMOTE20,KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,MOMENTUM,48,0.0010779975089252533,0.4583333333333333
PROMOTE20,KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,REVISION,48,0.0003834213368239857,0.5
PROMOTE20,KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,VALUE,48,0.0011192847849151178,0.5833333333333334
PROMOTE20,KOSPI_KOSDAQ_ALL,YTD_2026,FLOW,13,-0.0030702861110736158,0.5384615384615384
PROMOTE20,KOSPI_KOSDAQ_ALL,YTD_2026,MOMENTUM,13,-0.00014031803258627676,0.46153846153846156
PROMOTE20,KOSPI_KOSDAQ_ALL,YTD_2026,REVISION,13,0.008663768191598737,0.8461538461538461
PROMOTE20,KOSPI_KOSDAQ_ALL,YTD_2026,VALUE,13,0.002295232773927023,0.6923076923076923
VETO20,K200,BULL_2025,FLOW,25,0.003070279772139286,0.64
VETO20,K200,BULL_2025,MOMENTUM,25,-0.0003505122099029742,0.4
VETO20,K200,BULL_2025,REVISION,25,0.0031219701462298554,0.64
VETO20,K200,BULL_2025,VALUE,25,0.0017147453068831488,0.6
VETO20,K200,EARLY_2016_2019,FLOW,98,0.0002968401716384642,0.5306122448979592
VETO20,K200,EARLY_2016_2019,MOMENTUM,98,0.0009855394043923672,0.47959183673469385
VETO20,K200,EARLY_2016_2019,REVISION,98,-0.000385773968989918,0.4387755102040816
VETO20,K200,EARLY_2016_2019,VALUE,98,-0.00038917713646064676,0.5102040816326531
VETO20,K200,LATE_2020_2022,FLOW,75,0.0007278154555436173,0.48
VETO20,K200,LATE_2020_2022,MOMENTUM,75,0.0010845798166896333,0.5866666666666667
VETO20,K200,LATE_2020_2022,REVISION,75,-0.0009406395625284286,0.4266666666666667
VETO20,K200,LATE_2020_2022,VALUE,75,2.5527260892635276e-05,0.5066666666666667
VETO20,K200,NORMAL_2023_2024,FLOW,48,0.0003443695045391855,0.4791666666666667
VETO20,K200,NORMAL_2023_2024,MOMENTUM,48,-0.00019220975403097792,0.5416666666666666
VETO20,K200,NORMAL_2023_2024,REVISION,48,0.001970814713049928,0.5833333333333334
VETO20,K200,NORMAL_2023_2024,VALUE,48,0.0008857690143667824,0.5625
VETO20,K200,YTD_2026,FLOW,13,0.0028363269695449492,0.5384615384615384
VETO20,K200,YTD_2026,MOMENTUM,13,-0.0015718966021846836,0.6153846153846154
VETO20,K200,YTD_2026,REVISION,13,0.004481750794578168,0.46153846153846156
VETO20,K200,YTD_2026,VALUE,13,0.0029221089527481903,0.7692307692307693
VETO20,KOSDAQ,BULL_2025,FLOW,25,-0.00219879398886892,0.48
VETO20,KOSDAQ,BULL_2025,MOMENTUM,25,-0.0035900712879196966,0.56
VETO20,KOSDAQ,BULL_2025,REVISION,25,-9.691273785767146e-05,0.52
VETO20,KOSDAQ,BULL_2025,VALUE,25,0.0015207660431881594,0.6
VETO20,KOSDAQ,EARLY_2016_2019,FLOW,98,0.0009972042411422928,0.5408163265306123
VETO20,KOSDAQ,EARLY_2016_2019,MOMENTUM,98,0.0009850333038665176,0.5612244897959183
