strategy,universe,horizon,sample,family,n_dates,gross_delta,positive_date_rate
HOT_HIGH30_DIAG,KOSPI_ALL,5,NORMAL_2023_2024,VALUE,97,-0.002356638959378406,0.4536082474226804
HOT_HIGH30_DIAG,KOSPI_ALL,5,YTD_2026,FLOW,28,0.0065682849613056425,0.6071428571428571
HOT_HIGH30_DIAG,KOSPI_ALL,5,YTD_2026,MOMENTUM,28,0.0034164540337540935,0.5357142857142857
HOT_HIGH30_DIAG,KOSPI_ALL,5,YTD_2026,REVISION,28,-0.0011187802839039923,0.42857142857142855
HOT_HIGH30_DIAG,KOSPI_ALL,5,YTD_2026,VALUE,28,0.0003860149321732006,0.4642857142857143
HOT_HIGH30_DIAG,KOSPI_ALL,10,BULL_2025,FLOW,25,-0.0027779413783388524,0.44
HOT_HIGH30_DIAG,KOSPI_ALL,10,BULL_2025,MOMENTUM,25,-0.004132288261421912,0.44
HOT_HIGH30_DIAG,KOSPI_ALL,10,BULL_2025,REVISION,25,-0.004238659322755853,0.36
HOT_HIGH30_DIAG,KOSPI_ALL,10,BULL_2025,VALUE,25,-0.006831258841374644,0.32
HOT_HIGH30_DIAG,KOSPI_ALL,10,EARLY_2016_2019,FLOW,96,-0.002108100283869744,0.4166666666666667
HOT_HIGH30_DIAG,KOSPI_ALL,10,EARLY_2016_2019,MOMENTUM,96,-0.0029748616032464867,0.4791666666666667
HOT_HIGH30_DIAG,KOSPI_ALL,10,EARLY_2016_2019,REVISION,96,-0.0021731496413887885,0.4270833333333333
HOT_HIGH30_DIAG,KOSPI_ALL,10,EARLY_2016_2019,VALUE,96,0.00022229021816003487,0.5208333333333334
HOT_HIGH30_DIAG,KOSPI_ALL,10,LATE_2020_2022,FLOW,75,-0.004815777982525887,0.44
HOT_HIGH30_DIAG,KOSPI_ALL,10,LATE_2020_2022,MOMENTUM,75,-0.003565157757459306,0.41333333333333333
HOT_HIGH30_DIAG,KOSPI_ALL,10,LATE_2020_2022,REVISION,75,-0.005814994943838377,0.38666666666666666
HOT_HIGH30_DIAG,KOSPI_ALL,10,LATE_2020_2022,VALUE,75,-0.003021614943967814,0.4266666666666667
HOT_HIGH30_DIAG,KOSPI_ALL,10,NORMAL_2023_2024,FLOW,48,-0.001745072245327896,0.4375
HOT_HIGH30_DIAG,KOSPI_ALL,10,NORMAL_2023_2024,MOMENTUM,48,-0.0041924026773606975,0.4166666666666667
HOT_HIGH30_DIAG,KOSPI_ALL,10,NORMAL_2023_2024,REVISION,48,-0.0012686484061497929,0.5416666666666666
HOT_HIGH30_DIAG,KOSPI_ALL,10,NORMAL_2023_2024,VALUE,48,-0.00270242976660278,0.4583333333333333
