date,sample,universe,factor,family,strategy,gross,turnover
2016-01-04,EARLY_2016_2019,KOSDAQ,PBR12MF,VALUE,VETO20,-0.038536863940884854,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,PBR12MF,VALUE,PROMOTE20,0.006282904287948067,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,PBR12MF,VALUE,VETO_PROMOTE20,-0.020282313410616436,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,PBR12MF,VALUE,CF20,-0.0329413556495673,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,PER12MF,VALUE,BASE,0.011099726309944036,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,PER12MF,VALUE,VETO20,-0.00409537926761285,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,PER12MF,VALUE,PROMOTE20,0.007250180066820616,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,PER12MF,VALUE,VETO_PROMOTE20,0.005262136507812664,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,PER12MF,VALUE,CF20,0.008012010655384354,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,MOM1M,MOMENTUM,BASE,-0.01925345658243154,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,MOM1M,MOMENTUM,VETO20,-0.01811683138784868,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,MOM1M,MOMENTUM,PROMOTE20,-0.042887104246395316,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,MOM1M,MOMENTUM,VETO_PROMOTE20,-0.022447480902420193,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,MOM1M,MOMENTUM,CF20,-0.019253456582431543,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,MOM12_1,MOMENTUM,BASE,-0.01598103527361728,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,MOM12_1,MOMENTUM,VETO20,-0.005252669702968787,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,MOM12_1,MOMENTUM,PROMOTE20,-0.011701781091223027,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,MOM12_1,MOMENTUM,VETO_PROMOTE20,-0.0010014508736651533,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,MOM12_1,MOMENTUM,CF20,-0.011808367011630228,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,PRIVATE_FLOW,FLOW,BASE,-0.006339269971299516,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,PRIVATE_FLOW,FLOW,VETO20,-0.018936893615800005,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,PRIVATE_FLOW,FLOW,PROMOTE20,-0.028368572418157083,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,PRIVATE_FLOW,FLOW,VETO_PROMOTE20,-0.02535593053759718,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,PRIVATE_FLOW,FLOW,CF20,-0.013132317136301844,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,FOREIGN_FLOW,FLOW,BASE,-0.019870408990812678,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,FOREIGN_FLOW,FLOW,VETO20,-0.00894395266651938,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,FOREIGN_FLOW,FLOW,PROMOTE20,-0.01566881163144941,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,FOREIGN_FLOW,FLOW,VETO_PROMOTE20,-0.01095202444754075,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,FOREIGN_FLOW,FLOW,CF20,-0.014236916375753233,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,OP12_REV,REVISION,BASE,-0.00798641644854284,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,OP12_REV,REVISION,VETO20,0.016462544255122717,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,OP12_REV,REVISION,PROMOTE20,-0.011155435691486682,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,OP12_REV,REVISION,VETO_PROMOTE20,-0.005068328664783858,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,OP12_REV,REVISION,CF20,-0.007700958150516679,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,OPFY1_REV,REVISION,BASE,-0.034859343360271015,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,OPFY1_REV,REVISION,VETO20,-0.030877048811070167,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,OPFY1_REV,REVISION,PROMOTE20,-0.03281223365082521,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,OPFY1_REV,REVISION,VETO_PROMOTE20,-0.01656050413090144,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,OPFY1_REV,REVISION,CF20,-0.01199779487516034,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,PBR12MF,VALUE,BASE,-0.039305932410355626,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,PBR12MF,VALUE,VETO20,-0.03978140709766288,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,PBR12MF,VALUE,PROMOTE20,-0.05358362877120164,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,PBR12MF,VALUE,VETO_PROMOTE20,-0.0386112164587113,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,PBR12MF,VALUE,CF20,-0.0547654555222304,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,PER12MF,VALUE,BASE,-0.025361455808574192,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,PER12MF,VALUE,VETO20,-0.04346120319767995,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,PER12MF,VALUE,PROMOTE20,-0.02725555535412406,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,PER12MF,VALUE,VETO_PROMOTE20,-0.03362234327396736,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,PER12MF,VALUE,CF20,-0.031026476084019088,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,MOM1M,MOMENTUM,BASE,0.015620347464942449,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,MOM1M,MOMENTUM,VETO20,0.027291241112029258,1.0
