universe,sample,contrast,n_dates,mean,ci025,ci975,p_gt0
KOSPI_EX_K200,BULL_2025,MID60_MINUS_HIGH20,25,0.0007426569064701208,-0.011110907731454131,0.011728386480169878,0.5493333333333333
KOSPI_EX_K200,BULL_2025,LOW20_MINUS_HIGH20,25,0.00539720838097376,-0.013643620134807443,0.027508366302105448,0.6896666666666667
KOSPI_EX_K200,EARLY_2016_2019,MID60_MINUS_LOW20,96,0.0004047637713157787,-0.00561492687312925,0.006390751064787438,0.552
KOSPI_EX_K200,EARLY_2016_2019,MID60_MINUS_HIGH20,96,0.0012415578940428316,-0.0031057325977625746,0.00573899104875677,0.7091666666666666
KOSPI_EX_K200,EARLY_2016_2019,LOW20_MINUS_HIGH20,96,0.0008367941227270531,-0.0060372936514969935,0.008043089857415914,0.5825
KOSPI_EX_K200,LATE_2020_2022,MID60_MINUS_LOW20,75,-0.004748951583920777,-0.013038241589603074,0.0023147656850848737,0.10183333333333333
KOSPI_EX_K200,LATE_2020_2022,MID60_MINUS_HIGH20,75,-0.002601149501653876,-0.009043395912132384,0.0037746647822782526,0.21733333333333332
KOSPI_EX_K200,LATE_2020_2022,LOW20_MINUS_HIGH20,75,0.0021478020822669,-0.007341231941237201,0.01166640656267706,0.6688333333333333
KOSPI_EX_K200,NORMAL_2023_2024,MID60_MINUS_LOW20,48,0.0034703110143371684,-0.009610501178361054,0.014313060135114755,0.7256666666666667
KOSPI_EX_K200,NORMAL_2023_2024,MID60_MINUS_HIGH20,48,0.004444998199425114,-0.002882118132468791,0.011880645877743443,0.8858333333333334
KOSPI_EX_K200,NORMAL_2023_2024,LOW20_MINUS_HIGH20,48,0.0009746871850879448,-0.011752842860008285,0.014652155429201109,0.5528333333333333
KOSPI_EX_K200,YTD_2026,MID60_MINUS_LOW20,13,0.013334574505088693,-0.013037690861366956,0.03902747413710039,0.8328333333333333
KOSPI_EX_K200,YTD_2026,MID60_MINUS_HIGH20,13,0.006450235814501491,-0.00828011693152089,0.019449092955651448,0.8155
KOSPI_EX_K200,YTD_2026,LOW20_MINUS_HIGH20,13,-0.006884338690587201,-0.03405364097136075,0.020252691158009338,0.317
KOSPI_KOSDAQ_ALL,BULL_2025,MID60_MINUS_LOW20,25,0.019967344686121935,-0.007023581793345272,0.04173306812094301,0.934
KOSPI_KOSDAQ_ALL,BULL_2025,MID60_MINUS_HIGH20,25,0.00180024586325239,-0.009016885243373919,0.012468718849588917,0.6333333333333333
KOSPI_KOSDAQ_ALL,BULL_2025,LOW20_MINUS_HIGH20,25,-0.01816709882286954,-0.04340145421695758,0.012663765588848906,0.10083333333333333
KOSPI_KOSDAQ_ALL,EARLY_2016_2019,MID60_MINUS_LOW20,96,0.0025956321173318474,-0.0047393189056807545,0.009706695514701484,0.7608333333333334
KOSPI_KOSDAQ_ALL,EARLY_2016_2019,MID60_MINUS_HIGH20,96,7.08080020602331e-05,-0.004258239508813374,0.004119578842743322,0.5193333333333333
KOSPI_KOSDAQ_ALL,EARLY_2016_2019,LOW20_MINUS_HIGH20,96,-0.0025248241152716136,-0.0112502496470782,0.006585040194152664,0.2765
KOSPI_KOSDAQ_ALL,LATE_2020_2022,MID60_MINUS_LOW20,75,-0.003518752986853703,-0.01324863622187467,0.006451117101363533,0.24616666666666667
KOSPI_KOSDAQ_ALL,LATE_2020_2022,MID60_MINUS_HIGH20,75,-0.001521636454910662,-0.007938558706654247,0.004641187878690962,0.31
KOSPI_KOSDAQ_ALL,LATE_2020_2022,LOW20_MINUS_HIGH20,75,0.001997116531943041,-0.010991181144584633,0.01406931009103216,0.6346666666666667
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,MID60_MINUS_LOW20,48,0.007053294312425393,-0.0034133211497128597,0.018419836334153304,0.897
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,MID60_MINUS_HIGH20,48,0.0026094904016969443,-0.007262663857856978,0.010731169893347731,0.7275
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,LOW20_MINUS_HIGH20,48,-0.004443803910728448,-0.01703575965710546,0.006956966495463841,0.23633333333333334
KOSPI_KOSDAQ_ALL,YTD_2026,MID60_MINUS_LOW20,13,0.040311023730973755,0.018044352027265113,0.06809208710050897,1.0
KOSPI_KOSDAQ_ALL,YTD_2026,MID60_MINUS_HIGH20,13,0.0263683549659191,0.01171325382782572,0.043439016244249846,1.0
KOSPI_KOSDAQ_ALL,YTD_2026,LOW20_MINUS_HIGH20,13,-0.013942668765054652,-0.04839127006332376,0.021135343543434434,0.2365
