strategy,universe,horizon,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60
VETO_BOTH20,KOSPI_EX_K200,5,EARLY_2016_2019,192,-5.1102994361514304e-05,0.191015625,-5.1102994361514304e-05,-0.0006241498693615144,-0.0011971967443615142
VETO_BOTH20,KOSPI_EX_K200,5,LATE_2020_2022,149,0.0003963531968813303,0.18506711409395973,0.0003963531968813303,-0.00015884814540054925,-0.0007140494876824282
VETO_BOTH20,KOSPI_EX_K200,5,NORMAL_2023_2024,97,0.0007075127395667911,0.20586340206185566,0.0007075127395667911,8.992253338122421e-05,-0.0005276676728043427
VETO_BOTH20,KOSPI_EX_K200,5,YTD_2026,28,0.00382138503947415,0.2073660714285714,0.00382138503947415,0.003199286825188436,0.0025771886109027214
VETO_BOTH20,KOSPI_EX_K200,10,BULL_2025,25,-0.0001506388251720601,0.18800000000000006,-0.0001506388251720601,-0.0007146388251720603,-0.00127863882517206
VETO_BOTH20,KOSPI_EX_K200,10,EARLY_2016_2019,96,0.0002562370729865305,0.1592447916666667,0.0002562370729865305,-0.00022149730201346968,-0.0006992316770134697
VETO_BOTH20,KOSPI_EX_K200,10,LATE_2020_2022,75,-0.0006336010959128032,0.1709166666666667,-0.0006336010959128032,-0.0011463510959128032,-0.0016591010959128027
VETO_BOTH20,KOSPI_EX_K200,10,NORMAL_2023_2024,48,0.0010860452634494629,0.17851562499999998,0.0010860452634494629,0.000550498388449463,1.495151344946295e-05
VETO_BOTH20,KOSPI_EX_K200,10,YTD_2026,13,0.00885632912328243,0.17932692307692305,0.00885632912328243,0.00831834835405166,0.007780367584820891
VETO_BOTH20,KOSPI_EX_K200,20,BULL_2025,12,0.0038460923190163725,0.11875000000000001,0.0038460923190163725,0.0034898423190163723,0.0031335923190163716
VETO_BOTH20,KOSPI_EX_K200,20,EARLY_2016_2019,48,-0.0005986959858371903,0.096875,-0.0005986959858371903,-0.0008893209858371908,-0.0011799459858371903
VETO_BOTH20,KOSPI_EX_K200,20,LATE_2020_2022,38,-0.0032849550139597227,0.0861842105263158,-0.0032849550139597227,-0.003543507645538669,-0.0038020602771176165
VETO_BOTH20,KOSPI_EX_K200,20,NORMAL_2023_2024,24,-0.0012578508987091278,0.09557291666666667,-0.0012578508987091278,-0.0015445696487091287,-0.001831288398709128
VETO_BOTH20,KOSPI_EX_K200,20,YTD_2026,6,0.02297619464600899,0.10729166666666667,0.02297619464600899,0.022654319646008992,0.022332444646008993
VETO_BOTH20,KOSPI_KOSDAQ_ALL,5,BULL_2025,49,-0.0004410270529267746,0.15153061224489794,-0.0004410270529267746,-0.0008956188896614686,-0.0013502107263961623
VETO_BOTH20,KOSPI_KOSDAQ_ALL,5,EARLY_2016_2019,192,-0.00033101357713956987,0.15100911458333333,-0.00033101357713956987,-0.0007840409208895701,-0.0012370682646395698
VETO_BOTH20,KOSPI_KOSDAQ_ALL,5,LATE_2020_2022,149,0.00042109776244711526,0.13905201342281878,0.00042109776244711526,3.941722178658678e-06,-0.0004132143180897975
VETO_BOTH20,KOSPI_KOSDAQ_ALL,5,NORMAL_2023_2024,97,0.00044183378092413366,0.16185567010309276,0.00044183378092413366,-4.373322938514465e-05,-0.0005293002396944231
VETO_BOTH20,KOSPI_KOSDAQ_ALL,5,YTD_2026,28,0.003243115063371361,0.15625,0.003243115063371361,0.0027743650633713607,0.0023056150633713607
VETO_BOTH20,KOSPI_KOSDAQ_ALL,10,BULL_2025,25,-0.0005198184396358092,0.13949999999999999,-0.0005198184396358092,-0.0009383184396358093,-0.0013568184396358094
VETO_BOTH20,KOSPI_KOSDAQ_ALL,10,EARLY_2016_2019,96,5.6498703262711975e-05,0.12213541666666668,5.6498703262711975e-05,-0.0003099075467372881,-0.000676313796737288
VETO_BOTH20,KOSPI_KOSDAQ_ALL,10,LATE_2020_2022,75,-0.001045319564905962,0.11508333333333333,-0.001045319564905962,-0.0013905695649059622,-0.0017358195649059627
VETO_BOTH20,KOSPI_KOSDAQ_ALL,10,NORMAL_2023_2024,48,0.0014695841131733584,0.13255208333333332,0.0014695841131733584,0.001071927863173358,0.0006742716131733586
VETO_BOTH20,KOSPI_KOSDAQ_ALL,10,YTD_2026,13,0.009246715106950177,0.11634615384615382,0.009246715106950177,0.008897676645411716,0.008548638183873254
VETO_BOTH20,KOSPI_KOSDAQ_ALL,20,BULL_2025,12,-0.005101781293368136,0.046875,-0.005101781293368136,-0.005242406293368137,-0.005383031293368136
VETO_BOTH20,KOSPI_KOSDAQ_ALL,20,EARLY_2016_2019,48,0.00022511284702797954,0.048828125,0.00022511284702797954,7.862847202797918e-05,-6.785590297202024e-05
VETO_BOTH20,KOSPI_KOSDAQ_ALL,20,LATE_2020_2022,38,-0.002504470281715906,0.03634868421052632,-0.002504470281715906,-0.002613516334347485,-0.0027225623869790642
VETO_BOTH20,KOSPI_KOSDAQ_ALL,20,NORMAL_2023_2024,24,0.0019601036508884867,0.04010416666666666,0.0019601036508884867,0.001839791150888486,0.0017194786508884865
VETO_BOTH20,KOSPI_KOSDAQ_ALL,20,YTD_2026,6,0.011273551212741472,0.04687499999999999,0.011273551212741472,0.011132926212741472,0.010992301212741473
VETO_HIGH10,K200,5,BULL_2025,49,6.253081479458737e-06,0.07512755102040816,6.253081479458737e-06,-0.00021912957158176565,-0.00044451222464299007
VETO_HIGH10,K200,5,EARLY_2016_2019,192,-3.948259208276945e-05,0.07675781250000001,-3.948259208276945e-05,-0.00026975602958276946,-0.0005000294670827695
