policy,phase,return_type,period,cagr,sharpe,mdd,annual_turnover,annual_allocation_turnover,avg_target_exposure
ALWAYS_100,8,NET30,YTD_2026,0.029844460200719958,0.3312520133585733,-0.44699932844294,15.872912105866382,0.0,1.0
ALWAYS_100,8,NET60,TRAIN_2016_2022,0.08315904039052002,0.4562482692663279,-0.43882146349925466,13.782755339169901,0.0,1.0
ALWAYS_100,8,NET60,OOS_2023_2024,-0.0018307136219899434,0.1042394452283342,-0.2673689914593115,14.555772123156252,0.0,1.0
ALWAYS_100,8,NET60,PRE_STRESS_2016_2024,0.0636809292677909,0.3816828835029379,-0.43882146349925466,13.954419829346708,0.0,1.0
ALWAYS_100,8,NET60,BULL_2025,0.5737018524120543,2.0213526527041803,-0.18964150651518352,15.136010235853977,0.0,1.0
ALWAYS_100,8,NET60,YTD_2026,-0.018186555671522497,0.24591325346860166,-0.4528765323574431,15.872912105866382,0.0,1.0
ALWAYS_100,9,GROSS,TRAIN_2016_2022,0.1621856126404524,0.758841259491932,-0.47349235590883,13.658738342469306,0.0,1.0
ALWAYS_100,9,GROSS,OOS_2023_2024,0.14065364058859453,0.7095153367712566,-0.24011336455689425,14.709272596537907,0.0,1.0
ALWAYS_100,9,GROSS,PRE_STRESS_2016_2024,0.15736696407621253,0.7483190426466306,-0.47349235590883,13.892137365749427,0.0,1.0
ALWAYS_100,9,GROSS,BULL_2025,0.6569788834478274,2.284474900508966,-0.17240728963155205,15.147489005128609,0.0,1.0
ALWAYS_100,9,GROSS,YTD_2026,-0.04603449402492954,0.19507627415593534,-0.4340163435658164,14.777237971180172,0.0,1.0
ALWAYS_100,9,NET30,TRAIN_2016_2022,0.11548589637872109,0.5835463946574589,-0.4896586281589196,13.658738342469306,0.0,1.0
ALWAYS_100,9,NET30,OOS_2023_2024,0.09136864213074158,0.5084680554172515,-0.25333499020433226,14.709272596537907,0.0,1.0
ALWAYS_100,9,NET30,PRE_STRESS_2016_2024,0.11008208388548746,0.5676112755919526,-0.4896586281589196,13.892137365749427,0.0,1.0
ALWAYS_100,9,NET30,BULL_2025,0.5832970972278211,2.082017485851582,-0.18024453661873174,15.147489005128609,0.0,1.0
ALWAYS_100,9,NET30,YTD_2026,-0.08744222841705895,0.11600515351218901,-0.44009033004197873,14.777237971180172,0.0,1.0
ALWAYS_100,9,NET60,TRAIN_2016_2022,0.07058525991204645,0.40813429550514996,-0.5236386360351716,13.658738342469306,0.0,1.0
ALWAYS_100,9,NET60,OOS_2023_2024,0.044127066918804525,0.30716448935663965,-0.26634794224500824,14.709272596537907,0.0,1.0
ALWAYS_100,9,NET60,PRE_STRESS_2016_2024,0.06464965608415385,0.38675901246820393,-0.5236386360351716,13.892137365749427,0.0,1.0
ALWAYS_100,9,NET60,BULL_2025,0.5127580099700533,1.8783714523792598,-0.18802367235238548,15.147489005128609,0.0,1.0
ALWAYS_100,9,NET60,YTD_2026,-0.12713036550976387,0.0369019885832408,-0.44611036193486586,14.777237971180172,0.0,1.0
CRASH_GUARD_REBAL10,0,GROSS,TRAIN_2016_2022,0.17069110468056237,0.8173908583472278,-0.4523212508196637,16.01880294840207,3.8070889018012783,0.8837884950610111
