date,universe,family,cut_name,state6,cut,top_20d,bottom_20d,spread_20d,spread_60d,member_positive_spread_share_20d,member_same_sign_20d
2016-08-04,K200,MOMENTUM,Q50,R-,0.021674514539781864,-0.022681512616868238,0.002123250747381622,-0.02480476336424986,-0.007256659751864736,0.5,0.0
2016-08-11,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.0027750310699509173,0.01873402006072955,-0.021509051130680468,-0.025527655412017736,0.0,1.0
2016-08-19,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.0004772440064479966,-0.017414025396707777,0.017891269403155774,0.0004296411369414388,1.0,1.0
2016-08-26,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.003973318872344422,-0.023873895442837245,0.019900576570492823,-0.0003088877556537417,1.0,1.0
2016-09-02,K200,MOMENTUM,Q50,W+,0.021674514539781864,0.012831855135511772,-0.022127213589601902,0.03495906872511367,0.013053953710880584,1.0,1.0
2016-09-09,K200,MOMENTUM,Q50,W-,0.021674514539781864,-0.015139187638614438,-0.05835896838976873,0.04321978075115429,0.016973428411306557,1.0,1.0
2016-09-21,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.018648246370905563,-0.015472001634250221,-0.0031762447366553426,0.012824505219300009,0.5,0.0
2016-09-28,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.019813025127908945,0.006845447224452794,0.012967577903456151,0.012484085410813028,0.5,0.0
2016-10-06,K200,MOMENTUM,Q50,R-,0.021674514539781864,-0.011598294399457587,0.02911131870351724,-0.04070961310297483,-0.03009804770579516,0.0,1.0
2016-10-13,K200,MOMENTUM,Q50,R-,0.021674514539781864,-0.02100926127547209,0.037224991975776556,-0.05823425325124865,-0.033496995567878995,0.0,1.0
2016-10-20,K200,MOMENTUM,Q50,R-,0.021674514539781864,-0.02360374375205987,0.0064149609289945175,-0.030018704681054387,-0.014943661659803875,0.0,1.0
2016-10-27,K200,MOMENTUM,Q50,R-,0.021674514539781864,-0.06804223653423591,-0.019144306703145264,-0.04889792983109065,-0.017346610392828032,0.0,1.0
2016-11-03,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.07931243643768382,-0.06433038242354405,-0.014982054014139767,-0.019915454899202767,0.5,0.0
2016-11-10,K200,MOMENTUM,Q50,R-,0.021674514539781864,-0.050556776813295734,-0.02449696545239155,-0.026059811360904184,-0.0373432755610793,0.0,1.0
2016-11-17,K200,MOMENTUM,Q50,R-,0.021674514539781864,-0.02793807621690525,0.011396781931362288,-0.03933485814826754,-0.07071789271545537,0.0,1.0
2016-11-24,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.04162312447389316,-0.03894036547779001,-0.0026827589961031517,-0.038250643852923316,0.5,0.0
2016-12-01,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.0032299851761976583,0.009253542343035548,-0.0060235571668378896,-0.058870031519464794,0.5,0.0
2016-12-08,K200,MOMENTUM,Q50,W+,0.021674514539781864,0.021886818212208503,-0.017816231792837645,0.03970305000504615,-0.04394954142195551,1.0,1.0
2016-12-15,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.019214400784719254,0.013126931740993886,0.006087469043725369,-0.06389220812625052,0.5,0.0
2016-12-22,K200,MOMENTUM,Q50,R+,0.021674514539781864,0.0332150851512516,0.05711243827358059,-0.02389735312232899,-0.07366509190327486,0.5,0.0
2016-12-29,K200,MOMENTUM,Q50,R+,0.021674514539781864,0.028634534320922445,0.055230966013892324,-0.02659643169296988,-0.04637403286119113,0.0,1.0
2017-01-06,K200,MOMENTUM,Q50,R+,0.021674514539781864,0.012705458211367704,0.05204792420371196,-0.039342465992344255,-0.025440923740849164,0.0,1.0
2017-01-13,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.006410396660480044,-0.0025704432851128,0.008980839945592844,-0.02494890937192462,0.5,0.0
2017-01-20,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.0043746995737357075,0.01689618134304749,-0.012521481769311782,-0.038572422909392556,0.5,0.0
2017-01-31,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.01688591714630794,-0.012997234026625004,-0.003888683119682934,-0.03662212544089716,0.5,0.0
2017-02-07,K200,MOMENTUM,Q50,R-,0.021674514539781864,-0.02568198790879561,0.006447296945601311,-0.03212928485439692,-0.031673584351493034,0.0,1.0
2017-02-14,K200,MOMENTUM,Q50,R-,0.021674514539781864,-0.011484824136141936,0.02916138803576085,-0.040646212171902785,-0.02602355801018086,0.0,1.0
2017-02-21,K200,MOMENTUM,Q50,R+,0.021674514539781864,0.0014855633639319077,0.03615271637214956,-0.034667153008217655,-0.07456010548544256,0.0,1.0
2017-02-28,K200,MOMENTUM,Q50,R+,0.021674514539781864,0.02307656112703005,0.07143400709420411,-0.04835744596717406,-0.08131391749151873,0.0,1.0
2017-03-08,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.006589347310810734,0.015749026926553,-0.009159679615742267,-0.08230748497294471,0.5,0.0
2017-03-15,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.02215555480306053,-0.011613989403395197,-0.010541565399665331,-0.04178358791905401,0.0,1.0
2017-03-22,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.010522507337760834,-0.020231230130843714,0.00970872279308288,-0.03706038642714227,1.0,1.0
2017-03-29,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.00648198553815682,-0.00813141926337646,0.00164943372521964,-0.04962789725911565,0.5,0.0
2017-04-05,K200,MOMENTUM,Q50,R-,0.021674514539781864,-0.0011693040720712755,0.026123907546765412,-0.027293211618836688,-0.06941292659839471,0.0,1.0
2017-04-12,K200,MOMENTUM,Q50,R-,0.021674514539781864,-0.002224709767676636,0.029064305159577808,-0.031289014927254444,-0.08230954524855338,0.0,1.0
2017-04-19,K200,MOMENTUM,Q50,R-,0.021674514539781864,-0.006004750840605033,0.04189516599493759,-0.04789991683554262,-0.0727245971161754,0.0,1.0
2017-04-26,K200,MOMENTUM,Q50,R+,0.021674514539781864,0.007647808917007337,0.04522329933137259,-0.037575490414365253,-0.08656294003991194,0.0,1.0
2017-05-08,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.035497661566003647,0.054852827517729796,-0.01935516595172615,-0.058354479646005375,0.0,1.0
2017-05-16,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.05197419986957752,0.0673870051923553,-0.015412805322777778,-0.05927430425464841,0.0,1.0
2017-05-23,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.06583864096726866,0.060067906600399956,0.005770734366868702,-0.0338440503711539,0.5,0.0
2017-05-30,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.0686058632669937,0.06431620957592465,0.00428965369106904,-0.033603623213295464,0.5,0.0
2017-06-07,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.04951358183474541,0.05185595882337135,-0.0023423769886259382,-0.05304100184667937,0.5,0.0
2017-06-14,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.05966940769672835,0.049156323339360375,0.010513084357367974,-0.04013876393683624,0.5,0.0
2017-06-21,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.01990323140702599,0.016212672439331,0.00369055896769499,-0.04186139790569632,0.5,0.0
2017-06-28,K200,MOMENTUM,Q50,W+,0.021674514539781864,0.00985089377216175,-0.021322568460210745,0.031173462232372495,-0.0013422634068582795,1.0,1.0
2017-07-05,K200,MOMENTUM,Q50,W+,0.021674514539781864,0.012420518902679367,-0.02598237759244648,0.03840289649512585,0.01954269167177025,1.0,1.0
2017-07-12,K200,MOMENTUM,Q50,W-,0.021674514539781864,-0.006770377915391812,-0.058004069951620996,0.051233692036229184,0.05229800290573339,1.0,1.0
2017-07-19,K200,MOMENTUM,Q50,W+,0.021674514539781864,0.037819488961384984,-0.020987455241436304,0.05880694420282129,0.07351842457762459,1.0,1.0
2017-07-26,K200,MOMENTUM,Q50,W+,0.021674514539781864,0.03501649330203471,0.0004232202739198332,0.03459327302811488,0.07485693509415636,1.0,1.0
2017-08-02,K200,MOMENTUM,Q50,W+,0.021674514539781864,0.034396659068810065,-0.015190231619900962,0.04958689068871103,0.09013377450103088,1.0,1.0
2017-08-09,K200,MOMENTUM,Q50,W+,0.021674514539781864,0.0194663741715162,-0.008176747102621507,0.027643121274137705,0.0927634083657789,1.0,1.0
2017-08-17,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.015415836864035581,-0.03149453266464208,0.0160786958006065,0.07860664777590909,1.0,1.0
2017-08-24,K200,MOMENTUM,Q50,W-,0.021674514539781864,-0.01838813287262686,-0.043900409382533034,0.025512276509906173,0.08988372321787685,1.0,1.0
2017-08-31,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.023996882871360592,-0.018486717348384474,-0.005510165522976118,0.08062459921020682,0.0,1.0
2017-09-07,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.02207557332296428,-0.030274361663118032,0.008198788340153751,0.08420293705052073,0.5,0.0
2017-09-14,K200,MOMENTUM,Q50,W+,0.021674514539781864,0.012063302362407491,-0.03552340021086353,0.04758670257327102,0.11965070425928104,1.0,1.0
2017-09-21,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.00920094134978644,-0.029692043247361743,0.020491101897575303,0.07853279260946022,1.0,1.0
2017-09-28,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.03903278581337222,-0.051572081176319506,0.01253929536294729,0.053413768325676125,1.0,1.0
2017-10-13,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.006851142424666445,0.013848735373325427,-0.006997592948658982,0.028675290384284957,0.5,0.0
2017-10-20,K200,MOMENTUM,Q50,R-,0.021674514539781864,-0.012310073513264741,0.051521983801767535,-0.06383205731503228,0.001967395892342072,0.0,1.0
2017-10-27,K200,MOMENTUM,Q50,R+,0.021674514539781864,0.006911178581044064,0.05500676246151959,-0.04809558388047552,0.0005603677146790442,0.0,1.0
2017-11-03,K200,MOMENTUM,Q50,R+,0.021674514539781864,0.046457472520279985,0.08223475090712551,-0.035777278386845524,-0.025966700490558714,0.0,1.0
2017-11-10,K200,MOMENTUM,Q50,R+,0.021674514539781864,0.021032615210913486,0.05249655366948547,-0.03146393845857198,-0.02943381640890963,0.0,1.0
2017-11-17,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.022334851825617008,0.022769565718421925,-0.00043471389280491657,-0.015329768169348057,0.5,0.0
2017-11-24,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.039888417984532465,0.018686370906326744,0.02120204707820572,-0.005369153047745101,1.0,1.0
2017-12-01,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.0132719340522498,0.0014974737885027345,0.011774460263747066,-0.009000962719919015,0.5,0.0
2017-12-08,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.022462638832734694,-0.022317660559620478,-0.00014497827311421574,-0.0383221058809986,0.5,0.0
2017-12-15,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.006272346896627035,0.0034261606878085438,0.002846186208818491,-0.06306606164718342,1.0,1.0
2017-12-22,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.036263586909718426,-0.015972221490079153,-0.020291365419639273,-0.04845076072105425,0.0,1.0
2018-01-03,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.0020062231468557234,0.0158955181869207,-0.017901741333776422,-0.0428651153897226,0.5,0.0
2018-01-10,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.062094620666066414,0.0457602811322011,0.016334339533865316,-0.016020940103233405,1.0,1.0
2018-01-17,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.027060630827312027,0.0255878180287743,0.001472812798537726,0.004051997039840716,0.5,0.0
2018-01-24,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.0629887631481314,0.08311656144328072,-0.020127798295149324,-0.020428723892369494,0.0,1.0
2018-01-31,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.06648447647223987,0.0660115997793489,0.0004728766928909778,-0.00610731982238355,0.5,0.0
2018-02-07,K200,MOMENTUM,Q50,R-,0.021674514539781864,-0.05549771166491768,-0.004668826322107633,-0.05082888534281005,-0.03703046486170769,0.0,1.0
2018-02-14,K200,MOMENTUM,Q50,R-,0.021674514539781864,-0.05765612787468477,-0.023032097917514482,-0.03462402995717029,-0.03148432989797012,0.0,1.0
2018-02-23,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.05020839465631877,-0.037226311032587445,-0.012982083623731322,-0.0531349158873442,0.5,0.0
2018-03-05,K200,MOMENTUM,Q50,R-,0.021674514539781864,-0.11650937835401154,-0.09098963117085279,-0.025519747183158747,-0.04407989114648991,0.5,0.0
2018-03-12,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.006331542601111462,0.0038994661258071606,0.002432076475304301,-0.03543438408766875,0.5,0.0
2018-03-19,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.0028313552276477694,0.013157919491414427,-0.010326564263766658,-0.04456556917235488,0.5,0.0
2018-03-26,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.03146457269684444,-0.03243835479594126,0.0009737820990968205,-0.03111892565197172,0.5,0.0
2018-04-02,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.029838519109754547,0.0317715572406565,-0.001933038130901954,-0.02945897991036317,0.5,0.0
2018-04-09,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.016478212712612073,-0.01997644805364407,0.0034982353410319966,-0.04443152568844644,0.5,0.0
2018-04-16,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.00016101478847585504,-0.010760409335160537,0.010921424123636392,-0.03400772566235155,0.5,0.0
2018-04-23,K200,MOMENTUM,Q50,R+,0.021674514539781864,0.01319695262274978,0.03517156868874216,-0.02197461606599238,-0.032259934326032136,0.0,1.0
2018-04-30,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.024764741490444386,0.029841028670132053,-0.005076287179687666,-0.03349373762661878,0.5,0.0
2018-05-09,K200,MOMENTUM,Q50,R+,0.021674514539781864,0.014600540936882345,0.03814098948948308,-0.023540448552600735,-0.017170078857109417,0.5,0.0
2018-05-16,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.032382587874147495,0.04747541173580627,-0.015092823861658777,-0.014366109058741694,0.5,0.0
2018-05-24,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.029380160375326536,0.013679707392201479,0.015700452983125057,-0.005145397237879212,0.5,0.0
2018-05-31,K200,MOMENTUM,Q50,W+,0.021674514539781864,0.013230520672804946,-0.021619348248246517,0.03484986892105146,0.02971611821158504,1.0,1.0
2018-06-08,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.02395885001942899,0.006998885924325293,0.016959964095103697,-0.0027334685280551163,0.5,0.0
2018-06-18,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.03174749205132954,-0.01819573924334994,-0.0135517528079796,-0.01758166567939623,0.5,0.0
2018-06-25,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.0298542037221472,-0.029506550593064396,-0.0003476531290828033,-0.0065422761935007845,0.5,0.0
2018-07-02,K200,MOMENTUM,Q50,R-,0.021674514539781864,-0.08257759995330183,-0.05744184656529083,-0.025135753388010995,0.0028812184899499327,0.0,1.0
2018-07-09,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.08113308009530729,-0.08103751007036741,-9.557002493987277e-05,-0.006070354619419405,0.5,0.0
2018-07-16,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.05270268884816376,-0.06494146538666423,0.012238776538500473,-0.014703940148425909,1.0,1.0
2018-07-23,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.07678507963463832,-0.07447529330255309,-0.0023097863320852285,0.011464512421792028,0.5,0.0
2018-07-30,K200,MOMENTUM,Q50,R-,0.021674514539781864,-0.01381729453282865,0.010619052683322083,-0.024436347216150733,-0.015256978914547692,0.0,1.0
2018-08-06,K200,MOMENTUM,Q50,R-,0.021674514539781864,-0.011653107092469361,0.023212838638600575,-0.034865945731069936,-0.01695751297584991,0.0,1.0
2018-08-13,K200,MOMENTUM,Q50,R-,0.021674514539781864,-0.03573305407110561,-0.0014350433181192779,-0.03429801075298633,-0.0322792014435751,0.0,1.0
2018-08-21,K200,MOMENTUM,Q50,R+,0.021674514539781864,0.019577963666058906,0.04626573499530107,-0.02668777132924216,-0.026584135650286167,0.0,1.0
2018-08-28,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.010128499885304176,0.015309889397647103,-0.0051813895123429266,-0.05324110167927276,0.0,1.0
2018-09-04,K200,MOMENTUM,Q50,W+,0.021674514539781864,0.024362408709907024,-0.003571949890226467,0.02793435860013349,-0.006651321616967132,1.0,1.0
2018-09-11,K200,MOMENTUM,Q50,W+,0.021674514539781864,0.060608082798725205,0.021632242117876288,0.03897584068084892,0.014894715407917314,1.0,1.0
2018-09-18,K200,MOMENTUM,Q50,W+,0.021674514539781864,0.0499415267126071,0.009713066211231247,0.04022846050137585,0.010548643116727985,1.0,1.0
2018-09-28,K200,MOMENTUM,Q50,W+,0.021674514539781864,0.04263055270906757,0.013603763530306123,0.029026789178761447,-0.0014116368222496511,1.0,1.0
2018-10-08,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.011420616265084504,-0.025599268743203174,0.01417865247811867,0.007404846740050486,0.5,0.0
2018-10-16,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.0805667777809006,-0.09005979472763259,0.009493016946731991,0.012022721530239311,0.5,0.0
