universe,family_pair,anchor_family,other_family,contrast,outcome,n_blocks,sign_stability,median_train_diff,median_valid_diff,positive_valid_block_share,min_valid_n_left,min_valid_n_right
K200,VALUE_X_FLOW,FLOW,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_5d_diff,2,0.0,0.004788716393739597,-0.007994070011369814,0.0,11,10
K200,VALUE_X_FLOW,FLOW,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_20d_diff,2,0.5,0.008211966166466309,-0.014336495589920777,0.5,11,10
K200,VALUE_X_FLOW,FLOW,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_5d_diff,2,0.5,0.0028649390919104527,-0.006286723631070085,0.0,11,10
K200,VALUE_X_FLOW,FLOW,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_20d_diff,2,1.0,0.015253677281507998,0.017401333668187507,1.0,11,10
K200,VALUE_X_FLOW,FLOW,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_5d_diff,2,0.5,0.0015950403891515819,0.0008310461620176632,0.5,11,10
K200,VALUE_X_FLOW,FLOW,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_20d_diff,2,0.5,0.00507001844888367,-0.0032108734792472794,0.5,11,10
K200,VALUE_X_FLOW,VALUE,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_1d_diff,1,0.0,-0.00040262972214849904,0.003615844354227357,1.0,17,8
K200,VALUE_X_FLOW,VALUE,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_5d_diff,1,1.0,-0.007000611178308486,-0.004525116908463533,0.0,17,8
K200,VALUE_X_FLOW,VALUE,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_20d_diff,1,0.0,0.0024625899506683984,-0.002782770683339021,0.0,17,8
K200,VALUE_X_FLOW,VALUE,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_5d_diff,1,1.0,-0.002595575689727558,-0.017094405131795276,0.0,17,8
K200,VALUE_X_FLOW,VALUE,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_20d_diff,1,1.0,0.006207938085894946,0.01665980727095942,1.0,17,8
K200,VALUE_X_FLOW,VALUE,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_5d_diff,1,0.0,0.00440328453474454,-0.02097939836002804,0.0,17,8
K200,VALUE_X_FLOW,VALUE,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_20d_diff,1,1.0,-0.006318714474883002,-0.032396569251791796,0.0,17,8
K200,VALUE_X_FLOW,VALUE,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_5d_diff,1,1.0,-0.004177111486854789,-0.0028798537737107555,0.0,17,8
K200,VALUE_X_FLOW,VALUE,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_20d_diff,1,1.0,0.012716312621024529,0.04617047328399383,1.0,17,8
K200,VALUE_X_FLOW,VALUE,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_5d_diff,1,1.0,0.0070466909644900455,0.0017694662753918252,1.0,17,8
K200,VALUE_X_FLOW,VALUE,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_20d_diff,1,1.0,0.00879616197336876,0.01744193829823229,1.0,17,8
KOSDAQ,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_1d_diff,1,0.0,-0.0011356310800598659,0.0019373194875800565,1.0,14,8
KOSDAQ,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_5d_diff,1,1.0,-0.00495998809392123,-0.004168964838515115,0.0,14,8
KOSDAQ,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_20d_diff,1,1.0,-0.002348066328643302,-0.00985464132819202,0.0,14,8
KOSDAQ,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_5d_diff,1,0.0,-0.005132234816068818,0.00025161097391979137,1.0,14,8
KOSDAQ,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_20d_diff,1,1.0,-0.013041863859687707,-0.0038720224359372404,0.0,14,8
KOSDAQ,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_5d_diff,1,1.0,0.0014217710162530146,0.007067372942941045,1.0,14,8
