model,universe,cost_bps,period,n_rebalances,cagr,sharpe,mdd,ew8_cagr,ew8_sharpe,ew8_mdd,delta_cagr_vs_ew8,delta_sharpe_vs_ew8,delta_mdd_vs_ew8,avg_abs_lambda,annual_turnover
PERSIST_ALL_CONT,K200,10,BULL_2025,12,0.2743755124504035,2.117354977140511,-0.0606854070723869,0.24428861752413122,1.99165182428855,-0.06198041966511103,0.030086894926272256,0.125703152851961,0.0012950125927241318,0.12073643410852714,1.6944625897966639
LIQ_ALL_CONT,K200,10,BULL_2025,12,0.2501435107674439,2.033545222304484,-0.06759113088991375,0.24428861752413122,1.99165182428855,-0.06198041966511103,0.0058548932433126755,0.04189339801593395,-0.0056107112248027224,0.13546511627906976,1.917770569523925
COMBINED_ALL_CONT,K200,10,BULL_2025,12,0.27156031894827626,2.123078176392943,-0.06546214858013577,0.24428861752413122,1.99165182428855,-0.06198041966511103,0.027271701424145034,0.13142635210439302,-0.00348172891502474,0.1440891472868217,1.82677531048338
PERSIST_ALL_CONT,KOSDAQ,10,BULL_2025,12,0.0951997411206229,1.0108421022651652,-0.04766280590832217,0.11958291186537218,1.2571306378429388,-0.04204034533001999,-0.024383170744749272,-0.24628853557777353,-0.00562246057830218,0.12422480620155037,1.5601203123097527
LIQ_ALL_CONT,KOSDAQ,10,BULL_2025,12,0.13089557931687312,1.4096922810200125,-0.038658022812663395,0.11958291186537218,1.2571306378429388,-0.04204034533001999,0.011312667451500946,0.15256164317707377,0.003382322517356595,0.12122093023255816,1.648568237854621
COMBINED_ALL_CONT,KOSDAQ,10,BULL_2025,12,0.11110792404149428,1.2150940082645294,-0.043306127428627494,0.11958291186537218,1.2571306378429388,-0.04204034533001999,-0.0084749878238779,-0.04203662957840937,-0.0012657820986075041,0.15358527131782948,1.7193422394374773
PERSIST_ALL_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,12,0.12048301501041547,1.454433955375985,-0.024012501360857752,0.12347214370878823,1.476147799073752,-0.024328852993387606,-0.002989128698372756,-0.021713843697766855,0.0003163516325298543,0.1359496124031008,1.7918917037014486
LIQ_ALL_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,12,0.12083360330198767,1.4488868462331888,-0.02437525609743052,0.12347214370878823,1.476147799073752,-0.024328852993387606,-0.0026385404068005602,-0.02726095284056318,-4.640310404291359e-05,0.13972868217054263,1.915869657859491
COMBINED_ALL_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,12,0.11793470287380914,1.4404184691876607,-0.024443109684224806,0.12347214370878823,1.476147799073752,-0.024328852993387606,-0.0055374408349790905,-0.03572932988609123,-0.00011425669083720003,0.1497093023255814,1.7952256902167296
PERSIST_ALL_CONT,KOSPI_ALL,10,BULL_2025,12,0.22601855789823921,2.602193979831591,-0.03934007877211465,0.19042237372146853,2.1353087016045973,-0.04581588063655484,0.035596184176770684,0.4668852782269939,0.006475801864440189,0.11656976744186044,1.5516936563983925
