universe,period,n_valid_dates,replacement_event_rate,avg_replacements_all_valid_dates,n_replacement_events,n_pairs,mean_removed_fwd10,mean_added_fwd10,mean_pair_delta_fwd10,median_pair_delta_fwd10,pair_win_rate,mean_removed_r1m,mean_added_r1m,mean_wmom_sacrifice,mean_removed_rank,mean_added_rank
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,489,0.6666666666666666,1.756646216768916,326,859,-0.00469626785749525,0.00121680322784627,0.005913071085341519,-0.00107298081673457,0.4947613504074505,-0.10817382235523666,0.27232603980058523,-0.3488514356504562,11.142025611175786,23.431897555296857
K200,BULL_2025,239,0.5313807531380753,1.4184100418410042,127,339,0.04206010272068091,0.008944775940025792,-0.033115326780655124,-0.027765903605251663,0.41887905604719766,-0.057579865935787296,0.12760802971937368,-0.12510793565809833,11.250737463126844,22.958702064896755
KOSPI_EX_K200,BULL_2025,242,0.5661157024793388,1.2933884297520661,137,313,0.0182661696422235,0.013095054759665848,-0.005171114882557649,-0.005767818860155427,0.48881789137380194,-0.07037547702492418,0.1189070253578288,-0.15995359347535573,12.779552715654953,22.849840255591054
KOSPI_ALL,BULL_2025,242,0.5289256198347108,1.024793388429752,128,248,0.024764532362330966,0.02127270740513866,-0.003491824957192297,-0.008015880760395722,0.47580645161290325,-0.06491550835885464,0.1705416683677897,-0.16105757974837853,12.004032258064516,22.5
KOSDAQ,BULL_2025,242,0.628099173553719,1.322314049586777,152,320,-0.019581414002671764,0.009521733189217223,0.029103147191888983,0.02883401798308638,0.55,-0.10045961201223182,0.27094390497822063,-0.24057667109670938,12.2625,22.2875
KOSPI_KOSDAQ_ALL,BULL_2025,242,0.5619834710743802,0.8842975206611571,136,214,-0.0037934405998825906,0.02867838241838647,0.03247182301826906,0.0029681857085080976,0.5046728971962616,-0.09672471422222423,0.3287820744574819,-0.2577380313889261,12.322429906542055,21.64018691588785
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,242,0.5991735537190083,0.9710743801652892,145,235,-0.017613465318476067,-0.0036031810220291615,0.014010284296446901,0.0001871838110962809,0.502127659574468,-0.09990783774916254,0.32470854466895455,-0.26412181600206847,11.83404255319149,21.714893617021275
K200,YTD_2026,132,0.5984848484848485,2.484848484848485,79,328,-0.08034386016334433,0.008984860310239956,0.0893287204735843,0.09590521053928597,0.6859756097560976,-0.13466189309971274,0.11569173071259535,-0.29662326948961415,11.396341463414634,26.86890243902439
KOSPI_EX_K200,YTD_2026,131,0.8625954198473282,2.8244274809160306,113,370,-0.04507047005561925,-0.018762293156551556,0.026308176899067684,0.027804819490999333,0.5945945945945946,-0.1352469492636064,0.13555626787196795,-0.4139277806412098,11.94054054054054,24.72972972972973
KOSPI_ALL,YTD_2026,137,0.7883211678832117,2.240875912408759,108,307,-0.08833796237462688,-0.016581072115768206,0.07175689025885866,0.07290838787521181,0.6872964169381107,-0.16840949914429215,0.22589791745198068,-0.4680614671154873,11.315960912052118,24.377850162866448
KOSDAQ,YTD_2026,137,0.7299270072992701,2.875912408759124,100,394,-0.11580794234061066,-0.038343347134780874,0.07746459520582978,0.07022704682042158,0.616751269035533,-0.18034297688616838,0.30467548340543854,-0.6300382163019078,11.263959390862944,25.961928934010153
KOSPI_KOSDAQ_ALL,YTD_2026,137,0.8467153284671532,2.386861313868613,116,327,-0.11516027149874608,-0.02944722930723383,0.08571304219151227,0.07964646877224557,0.6483180428134556,-0.16710465525931803,0.4506627903089836,-0.6581127710112844,11.162079510703364,24.244648318042813
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,137,0.8467153284671532,2.7153284671532845,116,372,-0.10911876694396051,-0.028018940270707053,0.08109982667325348,0.08416479328866533,0.6532258064516129,-0.17371963586872874,0.38642720150504806,-0.6563418139844548,11.344086021505376,24.922043010752688
