date,phase,universe,n_pairs,removed_mean_fwd10,added_mean_fwd10,event_delta_fwd10,pair_win_rate,avg_removed_r1m,avg_added_r1m,avg_wmom_sacrifice,avg_removed_rank,avg_added_rank
2025-10-14,1,KOSPI_ALL,4,0.1550548827324007,0.13405345957090242,-0.021001423161498278,0.5,-0.13872939172179563,0.07393683313139582,-0.30363037560472006,10.75,23.0
2025-10-14,1,KOSPI_EX_K200,8,0.1901142977103964,0.10621441791937944,-0.08389987979101697,0.25,-0.12912253382643757,0.059216138601444986,-0.25617900099926905,10.25,26.5
2025-10-14,1,KOSPI_KOSDAQ_ALL,2,0.052845038838642056,0.08772983965875991,0.034884800820117856,0.5,-0.2899687231640318,0.48505685552664546,-0.33010018514188244,7.0,21.5
2025-10-15,2,K200,2,0.35867470467434814,0.17557248491782196,-0.18310221975652619,0.5,-0.01822021819211,0.09280264441847787,-0.031138272422073177,17.0,22.5
2025-10-15,2,KOSDAQ_PLUS_KOSPI_EX_K200,1,0.25206781757533503,0.10010341272416845,-0.15196440485116658,0.0,-0.26996852458775056,0.591637765600122,-0.3223941434730433,9.0,21.0
2025-10-15,2,KOSPI_ALL,2,0.14473187409103117,0.150699668323047,0.005967794232015822,0.5,-0.2474849305430395,0.2521698928910456,-0.4220813178897883,8.5,23.5
2025-10-15,2,KOSPI_EX_K200,5,0.14076192589654615,0.05052364626489512,-0.09023827963165103,0.2,-0.14709403694505524,0.12424754369065409,-0.2914391444356767,8.8,23.4
2025-10-15,2,KOSPI_KOSDAQ_ALL,1,0.25206781757533503,0.07283639254997154,-0.1792314250253635,0.0,-0.26996852458775056,0.29121257858483607,-0.3168177744198031,9.0,21.0
2025-10-16,3,K200,1,0.29233592097126015,0.09209774944588323,-0.20023817152537693,0.0,-0.015226537611990556,0.060682283295187135,-0.035390428372565036,15.0,22.0
2025-10-16,3,KOSDAQ_PLUS_KOSPI_EX_K200,1,0.11082492754902251,0.006210856201296355,-0.10461407134772616,0.0,-0.2087542504207857,0.6272118915186013,-0.521904174942018,7.0,21.0
2025-10-16,3,KOSPI_ALL,2,0.06249241716919696,0.17870862996132608,0.11621621279212913,1.0,-0.21339029947379956,0.19192627559634012,-0.4433581536215374,10.0,22.5
2025-10-16,3,KOSPI_EX_K200,4,0.027371385675823035,0.056330269387683624,0.02895888371186059,0.75,-0.1767078733362105,0.1064564713962511,-0.394370292318769,10.75,22.5
2025-10-16,3,KOSPI_KOSDAQ_ALL,1,0.11082492754902251,0.007252805828975362,-0.10357212172004715,0.0,-0.2087542504207857,0.33714188465884076,-0.5069250053936709,7.0,21.0
2025-10-17,4,KOSDAQ_PLUS_KOSPI_EX_K200,1,0.09542354207173931,0.16864067221293366,0.07321713014119435,1.0,-0.18950192589572748,0.31398470428463376,-0.6101502001744621,5.0,21.0
2025-10-17,4,KOSPI_ALL,2,0.060773143445583266,0.09297179434358044,0.03219865089799717,0.5,-0.19758492180607484,0.15288723422939562,-0.44815774153845755,9.5,21.5
2025-10-17,4,KOSPI_EX_K200,3,0.07283238602988103,-2.1459603489685602e-05,-0.07285384563337072,0.0,-0.1876526262642492,0.06485601464846319,-0.48771643366269135,7.666666666666667,23.333333333333332
2025-10-17,4,KOSPI_KOSDAQ_ALL,1,0.09542354207173931,0.009811936021498546,-0.08561160605024076,0.0,-0.18950192589572748,0.5635847859287655,-0.5698460665181023,5.0,21.0
2025-10-20,5,KOSDAQ_PLUS_KOSPI_EX_K200,1,0.06399790404836447,0.03987923171408836,-0.024118672334276114,0.0,-0.11661041445850213,0.24586153043967293,-0.6789570153035526,4.0,21.0
2025-10-20,5,KOSPI_ALL,2,0.021194643017371173,0.2630457899841614,0.24185114696679022,1.0,-0.15537778649489103,0.2004857387900093,-0.48235979714013866,10.0,22.5
2025-10-20,5,KOSPI_EX_K200,5,0.013915017967417587,0.04507751256155672,0.031162494594139133,0.6,-0.1079223999108669,0.09331968124945811,-0.34518825851082025,11.6,23.8
2025-10-20,5,KOSPI_KOSDAQ_ALL,1,0.06399790404836447,0.06967564967702344,0.00567774562865897,1.0,-0.11661041445850213,0.3680781872085311,-0.5935568797022129,4.0,21.0
2025-10-21,6,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.04844119148789516,0.07662258514996245,0.12506377663785762,1.0,-0.042847384065787086,0.5680276094219572,-0.8543571251733751,3.0,21.0
2025-10-21,6,KOSPI_ALL,2,-0.023479886443319387,0.07249970765874514,0.09597959410206452,0.5,-0.11849627129853352,0.1824266990482327,-0.5616882690205388,9.0,21.5
2025-10-21,6,KOSPI_EX_K200,4,-0.037079568840008265,0.12118076903964636,0.15826033787965463,0.75,-0.09392805118813895,0.0882777976510092,-0.40227309633655106,12.25,22.75
2025-10-21,6,KOSPI_KOSDAQ_ALL,1,-0.04844119148789516,0.22333333686493329,0.27177452835282845,1.0,-0.042847384065787086,0.3568414697701971,-0.8001781026891494,3.0,21.0
2025-10-22,7,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.08361273225821653,-0.10621872367849283,-0.022605991420276306,0.0,-0.053202235565425963,0.15347798750808625,-0.7595591193494118,5.0,21.0
2025-10-22,7,KOSPI_ALL,2,-0.08369009467361782,0.0843686860215268,0.16805878069514463,0.5,-0.08729389843086743,0.16074145704806508,-0.5577892503872767,8.5,21.5
2025-10-22,7,KOSPI_EX_K200,3,-0.0984091891775456,-0.05449527791182174,0.04391391126572386,1.0,-0.08612295354684178,0.0924052589581217,-0.49598428953221285,9.333333333333334,22.0
2025-10-22,7,KOSPI_KOSDAQ_ALL,1,-0.08361273225821653,0.17035260589176549,0.253965338149982,1.0,-0.053202235565425963,0.31748409361037055,-0.6914516693017653,5.0,21.0
2025-10-23,8,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.16937375644046482,0.028749941957824987,0.1981236983982898,1.0,-0.003523678425716817,0.5505126944278282,-0.904355778757751,4.0,21.0
2025-10-23,8,KOSPI_ALL,2,-0.0852658323423805,0.27001285262404084,0.35527868496642134,1.0,-0.08605539642142795,0.20230562947198422,-0.5822038199656955,10.5,21.5
2025-10-23,8,KOSPI_EX_K200,3,-0.09992971740070596,0.2147883636367233,0.31471808103742926,1.0,-0.08368400554991147,0.05464469637378275,-0.524419181102415,10.333333333333334,23.0
2025-10-23,8,KOSPI_KOSDAQ_ALL,1,-0.16937375644046482,0.07448024345543924,0.24385399989590406,1.0,-0.003523678425716817,0.3357391461201499,-0.8816471794320134,4.0,21.0
2025-10-24,9,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.20673612704337319,-0.2331073138441193,-0.026371186800746127,0.0,-0.027490551236361474,0.4228297634903301,-0.838931319155341,6.0,21.0
2025-10-24,9,KOSPI_ALL,1,-0.20673612704337319,-0.15284793014176035,0.05388819690161284,1.0,-0.027490551236361474,0.038888630369829334,-1.0154442645660975,1.0,21.0
2025-10-24,9,KOSPI_EX_K200,2,-0.13344316084927926,0.1332868632079337,0.26673002405721297,1.0,-0.09812261082811896,0.12654951689773464,-0.7306864799900608,7.0,21.5
2025-10-24,9,KOSPI_KOSDAQ_ALL,1,-0.20673612704337319,0.029716682112222115,0.2364528091555953,1.0,-0.027490551236361474,0.2578831772886825,-0.7877224769732345,6.0,21.0
