era,universe,factor,sector,n_obs,mean_top_weight,mean_bottom_weight,mean_allocation_contribution,mean_within_selection_contribution,mean_abs_top_bottom_weight
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,미디어와엔터테인먼트,196,0.08189559007378944,0.07143541027622514,1.1666532567024233e-05,-0.00020971501414516848,0.03262583839779784
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,반도체와반도체장비,196,0.08931676526158472,0.08352410007889909,0.00019977076140317968,2.4043695019580987e-05,0.05055352543926222
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,보험,196,0.011027211194964963,0.009563958039001326,2.3064911631269686e-06,3.2541073137770545e-06,0.013637135737459496
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,부동산,196,0.006816441612613571,0.0026951654087078035,5.821733612506481e-06,-1.7531153203017366e-05,0.00785735032922095
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,상업서비스와공급품,196,0.020396285748903564,0.011900694747510203,-4.073153205999029e-05,1.4219055332721687e-05,0.018325075668300116
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,소매(유통),196,0.01137432689061417,0.012847546473420462,-6.143842219598635e-05,7.38736298012168e-05,0.014117403436252273
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,소재,196,0.0697997944953361,0.07521110783529641,1.108995006284336e-05,0.000388098868167859,0.041076013177803974
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,소프트웨어와서비스,196,0.037623765670424116,0.03761096456600451,4.680769694616411e-05,0.00014399466725120756,0.02801612720503135
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,"식품,음료,담배",196,0.024757197486656515,0.02940402374593482,-2.0104052989887478e-05,-4.457113514889658e-06,0.021258629493222603
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,식품과기본식료품소매,196,0.002243128058185636,0.0009689524652675946,-1.115948841353285e-05,3.1565596682984874e-06,0.00321208052345323
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,에너지,196,0.00414113318897808,0.009488634053841673,-5.469756713063802e-05,-4.9099317440111664e-05,0.01170420316701378
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,운송,196,0.031419961751914784,0.035180323455306826,5.930973515513256e-05,-0.0002525165675810211,0.02918563105707948
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,유틸리티,196,0.0040068498667627395,0.006433313576992384,2.0682602887137224e-06,-4.4973891228281365e-05,0.00786183473954293
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,은행,196,0.0068719976038970985,0.00835633041729778,-6.30859792300325e-06,-2.177706252180646e-05,0.01121132051858445
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,자동차와부품,196,0.01880405070893972,0.020299199653951903,-2.9040762533493288e-05,0.00011238537013076355,0.021751917247985184
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,자본재,196,0.08283113912089468,0.09114854605073004,0.00021263503429053864,-8.552897507117563e-06,0.0449648706033001
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,전기통신서비스,173,0.002934550026596464,0.004246451352038363,-6.5752332338213136e-06,6.73101836209359e-06,0.006419330119266507
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,전자와 전기제품,196,0.017025191324419913,0.01602920657538416,3.1674855449611573e-06,0.00013950397133279693,0.0204387252788004
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,제약과생물공학,196,0.16915510944819445,0.17773668906393758,9.298363876468058e-05,-0.0005720589321043777,0.08324307693400272
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,증권,196,0.022432058426495177,0.024782854034966537,-4.1744347112879935e-05,5.081899741465039e-05,0.02410166837226095
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,"호텔,레스토랑,레저등",196,0.019954718841679285,0.02934076694127968,-0.00012657995516161377,-8.238294482286143e-05,0.021482790090328552
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,UNKNOWN,195,0.015031564155900345,0.0061201292774934685,1.638921460626256e-06,7.718716684419665e-05,0.010965230310128015
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,가정용품과개인용품,11,0.017249725317491166,0.0,-0.00032122578720934655,0.0,0.017249725317491166
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,건강관리장비와서비스,196,0.053970943454980144,0.06818308195938676,-0.00038681660212153086,-0.0004044933957468929,0.05518619803807962
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,교육서비스,165,0.011137763342224332,0.006140269001429105,-3.344879694153503e-05,4.0999666374792875e-05,0.011125121347003665
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,기술하드웨어와장비,196,0.10139612963235015,0.026396759839254668,0.0001089359125965667,0.00014694343405453596,0.0817199128894325
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,내구소비재와의류,196,0.06840056765637965,0.08084426450176889,-8.285238063608566e-05,-0.0001604923531309914,0.04120664602483653
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,다각화된금융,166,0.015901225077103575,0.0009741914760236344,6.677755748778846e-05,-3.368519283221208e-05,0.015455027601470992
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,디스플레이,196,0.03754742916540935,0.019082405992641972,3.662499972455935e-05,-1.436920499823126e-05,0.03716407653029548
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,미디어와엔터테인먼트,196,0.04955763193532369,0.08521431877493699,0.00013129836670983181,-0.00044123034218987277,0.06355957108095422
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,반도체와반도체장비,196,0.09175424572813154,0.05166592184977091,0.0005394509968954624,-3.5555151205534687e-05,0.08282334170035986
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,보험,196,0.007295218660990762,0.017489397884236556,8.722255478741752e-05,-2.7508493566208586e-05,0.02147506344128824
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,부동산,196,0.00014866588527302814,0.009533257880694925,1.1368422049562723e-05,-2.7579942070453102e-05,0.00968192376596795
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,상업서비스와공급품,196,0.013223160871145431,0.011237320285811007,7.566963617284805e-06,1.5658698135851055e-05,0.019323642916793702
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,소매(유통),196,0.01535335363014679,0.015967072207171657,-4.812800360590022e-06,-5.963547571241384e-05,0.009879283439919463
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,소재,196,0.09939223904191243,0.06153468389574512,-9.693130702587317e-05,0.0003643160961375337,0.04554511752838554
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,소프트웨어와서비스,196,0.021878404094532792,0.03183546520444472,1.172036650035413e-05,-0.0001901375723837849,0.02188179438394592
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,"식품,음료,담배",196,0.024402967622249812,0.044580280375505286,5.66563324227872e-05,0.00017003854047343718,0.03200198522698454
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,식품과기본식료품소매,196,0.0011946756774706979,0.0062471521171200755,-2.28459770178501e-05,8.807612498016357e-06,0.006598234953963421
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,에너지,196,0.012988206519146915,0.010575001411998143,-4.4844371438862753e-05,9.353265362726372e-05,0.012048614218915664
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,운송,196,0.023224358438999605,0.03912316062134947,4.344153067680356e-05,2.6238075956640483e-06,0.04179209181446729
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,유틸리티,196,0.003717242301351341,0.010394460283238798,7.623954306617138e-06,2.091228434147915e-05,0.013375256849832097
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,은행,196,0.001666299987990973,0.002800248269735713,-2.6595188696014085e-06,4.853266574346021e-06,0.004466548257726685
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,자동차와부품,196,0.008969119781151612,0.02901912696756582,5.5864723214258275e-05,-8.998632786771532e-05,0.02485412106446769
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,자본재,196,0.0867769782646376,0.10874282438981998,0.0001909611287203942,-0.0002455892517077906,0.05422177017736229
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,전기통신서비스,173,0.007342062059276334,0.0076229274494048855,-0.00016700966982119252,7.65007647393275e-05,0.01162050686170976
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,전자와 전기제품,196,0.020480755000714352,0.007023790680816565,-1.1703625080937865e-05,0.00013633613434406005,0.021041478658395365
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,제약과생물공학,196,0.1849955454799645,0.1840706367241297,-0.00029420675166311677,0.0003369639893793855,0.1963762327308486
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,증권,196,0.009362454338350323,0.025500154032222562,1.92332109422687e-05,-9.86358104970914e-05,0.029613773000160153
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,"호텔,레스토랑,레저등",196,0.017056401528263914,0.03412772493168475,-6.410425860702201e-05,8.650154289646324e-05,0.022469874091512396
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,UNKNOWN,195,0.010512084726566697,0.008785556291360809,-1.9717778665724714e-05,8.258305283712212e-05,0.013638527718960998
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,가정용품과개인용품,11,0.009300827649592606,0.004759105004421686,-0.00019846141349133325,0.0,0.014059932654014291
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,건강관리장비와서비스,196,0.05522152316063217,0.06469576008185085,7.295667143504032e-05,0.00016455649906309928,0.04838117875357375
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,교육서비스,165,0.005387833574627836,0.005535545400289768,-1.709934638151766e-06,3.276401905019229e-06,0.008485286548743668
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,기술하드웨어와장비,196,0.06350931822583043,0.04524937596105012,-1.501600177208606e-05,9.507820255528929e-05,0.04869431852689236
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,내구소비재와의류,196,0.07665072476540293,0.08063645379686347,-0.00015637545025919372,0.00018819525292426353,0.05769337624265848
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,다각화된금융,166,0.0069528122043943826,0.004940988769739662,7.477598037437455e-05,2.441668235752744e-05,0.010180298220650292
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,디스플레이,196,0.03144482983034325,0.02529924658809602,-9.180300059124246e-05,0.00016083643450092176,0.029949214950559844
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,미디어와엔터테인먼트,196,0.06236540220370766,0.07103925901853285,-0.000118813218706988,-0.0003931813189465493,0.05020891408401328
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,반도체와반도체장비,196,0.08192766182862472,0.06276835531679631,7.067013996704414e-05,-0.00020614035248599062,0.07860086712603545
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,보험,196,0.01111390369277492,0.015105655772490154,-1.0823043218483244e-05,3.741171314013363e-05,0.021965559586004536
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,부동산,196,0.006563832690631461,0.008781554259394123,-1.3531951454326173e-05,-5.1195177334150355e-05,0.013580847701498353
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,상업서비스와공급품,196,0.013616705230568503,0.011260647350195158,-2.8317571947072372e-05,-3.979023984056634e-05,0.018281191016109734
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,소매(유통),196,0.013645016798877013,0.01663448036142634,-4.525310567632557e-05,5.368771579026878e-05,0.014793980784536325
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,소재,196,0.08381776717908834,0.0678231036167514,0.00015575931767032784,-0.00032994419067905413,0.05232129223133481
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,소프트웨어와서비스,196,0.030023525335630522,0.03477592003523061,4.309000695819744e-05,-7.723242504496515e-05,0.02729810623326769
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,"식품,음료,담배",196,0.02943655622234689,0.032559332790089546,-6.908523619960577e-05,-0.00014997597043063578,0.03314859751127957
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,식품과기본식료품소매,196,0.00237315670259477,0.004072596809127069,-2.5485287437252284e-05,-1.314036402876671e-06,0.006445753511721839
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,에너지,196,0.011065434090749239,0.009698869541681922,4.524590133606195e-05,7.026712495398505e-07,0.01646470115319416
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,운송,196,0.030274017485480045,0.03640058820105678,1.6923177797492983e-05,-0.0002961839437181442,0.03557825291006389
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,유틸리티,196,0.007861018243155276,0.006909860082501859,-3.827353789853139e-05,2.3716464581908684e-05,0.012842866058835185
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,은행,196,0.0027590762622388193,0.0032338651442937218,-3.442962732931676e-05,-9.286717431033466e-06,0.005992941406532541
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,자동차와부품,196,0.016817892644939353,0.02106657611872811,-1.806312708340369e-05,-3.2323945667011226e-05,0.0237046139973112
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,자본재,196,0.10458246334225735,0.10093499585686243,-3.8964407411244276e-05,-0.0010119589582466696,0.07254471942741067
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,전기통신서비스,173,0.004268934515424199,0.0060012138025973515,-1.0469977166671734e-05,6.254927635880163e-05,0.008697196093138028
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,전자와 전기제품,196,0.016179072056626154,0.012678125501516693,-7.543461117245273e-05,5.33460248105924e-05,0.018652125368972976
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,제약과생물공학,196,0.17905927629574758,0.19387013918939364,0.00026212336082186827,-0.000757244985036459,0.16834076808379392
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,증권,196,0.022043412341493863,0.0246055849279806,-0.00010432450041065488,-0.0001428957737636246,0.03492216107878466
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,"호텔,레스토랑,레저등",196,0.022475705907312463,0.026750098848815018,-1.428062173729024e-05,-0.00013515202063638115,0.02988100538869468
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,UNKNOWN,195,0.006903922781264629,0.008382354892560034,-3.613437483068154e-05,1.5796990643254446e-05,0.011959499148027167
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,건강관리장비와서비스,196,0.05916891936507751,0.04911310578632453,0.00014882172392644425,0.00019753680605368644,0.05031183604864643
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,교육서비스,159,0.00733546159070002,0.005750653795197441,0.0001375777303359154,1.4965023409824934e-05,0.01308611538589746
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,기술하드웨어와장비,196,0.08940915117553243,0.05541200241249572,-4.2341939694346465e-05,0.0004688541326064532,0.052608310159571126
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,내구소비재와의류,196,0.0887200264436603,0.0799366406414536,-0.0002632199952975413,0.0004471435422928914,0.05789471319634324
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,다각화된금융,41,0.004777490124667193,0.002220163180976025,0.00010297255184999183,0.0,0.006997653305643218
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,디스플레이,196,0.03256250606990228,0.03771251022282605,-1.4181729432062475e-05,0.00021746714859222172,0.03728097829944044
