date,year,universe,eligible,valid_all8,coverage
2021-03-23,2021,KOSDAQ,1344,146,0.10863095238095238
2021-03-30,2021,K200,194,160,0.8247422680412371
2021-03-30,2021,KOSPI_EX_K200,554,73,0.13176895306859207
2021-03-30,2021,KOSDAQ,1346,146,0.10846953937592868
2021-04-06,2021,K200,194,160,0.8247422680412371
2021-04-06,2021,KOSPI_EX_K200,554,73,0.13176895306859207
2021-04-06,2021,KOSDAQ,1347,148,0.10987379361544172
2021-04-13,2021,K200,194,160,0.8247422680412371
2021-04-13,2021,KOSPI_EX_K200,554,75,0.13537906137184116
2021-04-13,2021,KOSDAQ,1347,148,0.10987379361544172
2021-04-20,2021,K200,194,161,0.8298969072164949
2021-04-20,2021,KOSPI_EX_K200,554,73,0.13176895306859207
2021-04-20,2021,KOSDAQ,1347,155,0.11507052709725316
2021-04-27,2021,K200,194,160,0.8247422680412371
2021-04-27,2021,KOSPI_EX_K200,554,77,0.13898916967509026
2021-04-27,2021,KOSDAQ,1349,157,0.11638250555967383
2021-05-04,2021,K200,194,164,0.845360824742268
2021-05-04,2021,KOSPI_EX_K200,554,80,0.1444043321299639
2021-05-04,2021,KOSDAQ,1350,154,0.11407407407407408
2021-05-12,2021,K200,194,162,0.8350515463917526
2021-05-12,2021,KOSPI_EX_K200,555,77,0.13873873873873874
2021-05-12,2021,KOSDAQ,1350,152,0.11259259259259259
2021-05-20,2021,K200,194,158,0.8144329896907216
2021-05-20,2021,KOSPI_EX_K200,555,78,0.14054054054054055
2021-05-20,2021,KOSDAQ,1353,156,0.11529933481152993
2021-05-27,2021,K200,194,158,0.8144329896907216
2021-05-27,2021,KOSPI_EX_K200,557,81,0.14542190305206462
2021-05-27,2021,KOSDAQ,1356,155,0.11430678466076696
2021-06-03,2021,K200,195,160,0.8205128205128205
2021-06-03,2021,KOSPI_EX_K200,556,85,0.1528776978417266
2021-06-03,2021,KOSDAQ,1358,156,0.11487481590574374
2021-06-10,2021,K200,195,162,0.8307692307692308
2021-06-10,2021,KOSPI_EX_K200,556,83,0.14928057553956833
2021-06-10,2021,KOSDAQ,1358,156,0.11487481590574374
2021-06-17,2021,K200,194,164,0.845360824742268
2021-06-17,2021,KOSPI_EX_K200,557,83,0.1490125673249551
2021-06-17,2021,KOSDAQ,1359,153,0.11258278145695365
2021-06-24,2021,K200,194,162,0.8350515463917526
2021-06-24,2021,KOSPI_EX_K200,557,91,0.16337522441651706
2021-06-24,2021,KOSDAQ,1360,160,0.11764705882352941
2021-07-01,2021,K200,194,164,0.845360824742268
2021-07-01,2021,KOSPI_EX_K200,557,100,0.17953321364452424
2021-07-01,2021,KOSDAQ,1361,172,0.12637766348273327
2021-07-08,2021,K200,194,164,0.845360824742268
2021-07-08,2021,KOSPI_EX_K200,558,103,0.18458781362007168
2021-07-08,2021,KOSDAQ,1360,167,0.12279411764705882
2021-07-15,2021,K200,194,161,0.8298969072164949
2021-07-15,2021,KOSPI_EX_K200,558,103,0.18458781362007168
2021-07-15,2021,KOSDAQ,1361,166,0.12196914033798678
2021-07-22,2021,K200,194,159,0.8195876288659794
2021-07-22,2021,KOSPI_EX_K200,559,96,0.17173524150268335
2021-07-22,2021,KOSDAQ,1362,161,0.11820851688693099
2021-07-29,2021,K200,194,160,0.8247422680412371
2021-07-29,2021,KOSPI_EX_K200,559,97,0.1735241502683363
2021-07-29,2021,KOSDAQ,1364,170,0.12463343108504399
2021-08-05,2021,K200,194,162,0.8350515463917526
2021-08-05,2021,KOSPI_EX_K200,559,100,0.17889087656529518
